k,count,prob
1,1282,0.0682932
2,1719,0.0915726
3,1596,0.0850202
4,1267,0.0674941
5,986,0.052525
6,810,0.0431494
7,705,0.0375559
8,565,0.030098
9,510,0.0271681
10,479,0.0255167
11,414,0.0220541
12,445,0.0237055
13,317,0.0168869
14,292,0.0155551
15,289,0.0153953
16,267,0.0142233
17,293,0.0156084
18,287,0.0152887
19,260,0.0138504
20,205,0.0109205
21,190,0.0101215
22,227,0.0120925
23,195,0.0103878
24,152,0.00809717
25,157,0.00836352
26,150,0.00799062
27,154,0.00820371
28,157,0.00836352
29,154,0.00820371
30,156,0.00831025
31,140,0.00745792
32,133,0.00708502
33,101,0.00538035
34,97,0.00516727
35,124,0.00660558
36,117,0.00623269
37,99,0.00527381
38,95,0.00506073
39,109,0.00580652
40,98,0.00522054
41,104,0.00554017
42,96,0.005114
43,85,0.00452802
44,82,0.00436821
45,103,0.0054869
46,90,0.00479437
47,88,0.00468783
48,92,0.00490092
49,65,0.0034626
50,61,0.00324952
51,91,0.00484765
52,74,0.00394204
53,73,0.00388877
54,50,0.00266354
55,47,0.00250373
56,52,0.00277008
57,43,0.00229065
58,39,0.00207756
59,47,0.00250373
60,33,0.00175794
61,56,0.00298317
62,35,0.00186448
63,34,0.00181121
64,39,0.00207756
65,36,0.00191775
66,43,0.00229065
67,32,0.00170467
68,41,0.0021841
69,47,0.00250373
70,34,0.00181121
71,23,0.00122523
72,34,0.00181121
73,31,0.0016514
74,37,0.00197102
75,34,0.00181121
76,29,0.00154485
77,23,0.00122523
78,18,0.000958875
79,24,0.0012785
80,41,0.0021841
81,28,0.00149158
82,23,0.00122523
83,22,0.00117196
84,19,0.00101215
85,34,0.00181121
86,20,0.00106542
87,22,0.00117196
88,19,0.00101215
89,5,0.000266354
90,12,0.00063925
91,26,0.00138504
92,14,0.000745792
93,21,0.00111869
94,14,0.000745792
95,14,0.000745792
96,15,0.000799062
97,5,0.000266354
98,11,0.000585979
99,13,0.000692521
100,12,0.00063925
101,9,0.000479437
102,9,0.000479437
103,8,0.000426167
104,7,0.000372896
105,22,0.00117196
106,8,0.000426167
107,13,0.000692521
108,16,0.000852333
109,10,0.000532708
110,7,0.000372896
111,11,0.000585979
112,13,0.000692521
113,10,0.000532708
114,10,0.000532708
115,6,0.000319625
116,7,0.000372896
117,8,0.000426167
118,9,0.000479437
119,7,0.000372896
120,10,0.000532708
121,4,0.000213083
122,4,0.000213083
123,10,0.000532708
124,9,0.000479437
125,9,0.000479437
126,7,0.000372896
127,4,0.000213083
128,6,0.000319625
129,7,0.000372896
130,6,0.000319625
131,3,0.000159812
132,11,0.000585979
133,8,0.000426167
134,7,0.000372896
135,3,0.000159812
136,6,0.000319625
137,5,0.000266354
138,6,0.000319625
139,8,0.000426167
140,4,0.000213083
141,5,0.000266354
142,6,0.000319625
143,6,0.000319625
144,5,0.000266354
145,4,0.000213083
146,2,0.000106542
147,3,0.000159812
148,6,0.000319625
149,6,0.000319625
150,3,0.000159812
151,3,0.000159812
152,4,0.000213083
153,6,0.000319625
154,1,5.32708e-05
155,4,0.000213083
156,3,0.000159812
157,3,0.000159812
158,4,0.000213083
159,2,0.000106542
161,3,0.000159812
162,5,0.000266354
163,2,0.000106542
165,2,0.000106542
166,5,0.000266354
168,1,5.32708e-05
169,4,0.000213083
171,1,5.32708e-05
172,3,0.000159812
173,4,0.000213083
174,5,0.000266354
175,3,0.000159812
176,1,5.32708e-05
178,3,0.000159812
180,2,0.000106542
181,1,5.32708e-05
182,1,5.32708e-05
185,2,0.000106542
188,2,0.000106542
189,1,5.32708e-05
190,1,5.32708e-05
192,3,0.000159812
193,1,5.32708e-05
194,2,0.000106542
195,1,5.32708e-05
196,2,0.000106542
197,1,5.32708e-05
200,1,5.32708e-05
202,1,5.32708e-05
208,1,5.32708e-05
210,1,5.32708e-05
211,2,0.000106542
212,1,5.32708e-05
213,4,0.000213083
214,3,0.000159812
216,1,5.32708e-05
219,2,0.000106542
220,1,5.32708e-05
222,2,0.000106542
224,2,0.000106542
229,1,5.32708e-05
230,1,5.32708e-05
233,1,5.32708e-05
234,1,5.32708e-05
235,1,5.32708e-05
236,1,5.32708e-05
249,1,5.32708e-05
252,1,5.32708e-05
253,1,5.32708e-05
256,1,5.32708e-05
257,1,5.32708e-05
258,1,5.32708e-05
269,1,5.32708e-05
270,1,5.32708e-05
271,2,0.000106542
274,1,5.32708e-05
281,1,5.32708e-05
292,1,5.32708e-05
297,1,5.32708e-05
313,1,5.32708e-05
323,2,0.000106542
329,1,5.32708e-05
330,1,5.32708e-05
333,1,5.32708e-05
336,1,5.32708e-05
350,1,5.32708e-05
351,1,5.32708e-05
362,1,5.32708e-05
369,1,5.32708e-05
384,1,5.32708e-05
387,1,5.32708e-05
418,1,5.32708e-05
420,1,5.32708e-05
427,1,5.32708e-05
504,1,5.32708e-05
