k,count,prob
2,1197,0.228348
4,1114,0.212514
6,776,0.148035
8,498,0.0950019
10,296,0.056467
12,225,0.0429225
14,159,0.0303319
16,141,0.0268981
18,99,0.0188859
20,92,0.0175506
22,66,0.0125906
24,46,0.00877528
26,57,0.0108737
28,38,0.00724914
30,48,0.00915681
32,25,0.00476917
34,43,0.00820298
36,21,0.0040061
38,18,0.0034338
40,28,0.00534147
42,16,0.00305227
44,12,0.0022892
46,44,0.00839374
48,8,0.00152614
50,8,0.00152614
52,7,0.00133537
54,3,0.000572301
56,5,0.000953834
58,3,0.000572301
60,8,0.00152614
62,9,0.0017169
64,3,0.000572301
66,9,0.0017169
68,37,0.00705837
70,1,0.000190767
72,2,0.000381534
74,5,0.000953834
76,1,0.000190767
80,1,0.000190767
82,3,0.000572301
84,19,0.00362457
86,2,0.000381534
88,1,0.000190767
90,13,0.00247997
92,2,0.000381534
94,4,0.000763068
96,3,0.000572301
98,4,0.000763068
102,2,0.000381534
106,1,0.000190767
108,1,0.000190767
110,1,0.000190767
112,3,0.000572301
114,1,0.000190767
118,1,0.000190767
120,1,0.000190767
124,1,0.000190767
126,1,0.000190767
130,1,0.000190767
132,1,0.000190767
134,1,0.000190767
136,2,0.000381534
154,2,0.000381534
158,1,0.000190767
162,1,0.000190767
