k,count,prob
1,226147,0.852696
2,21740,0.0819715
3,6364,0.0239957
4,3054,0.0115152
5,1696,0.00639484
6,1049,0.0039553
7,733,0.00276381
8,541,0.00203986
9,394,0.00148559
10,318,0.00119903
11,268,0.0010105
12,197,0.000742796
13,170,0.000640992
14,157,0.000591975
15,118,0.000444924
16,101,0.000380825
17,77,0.000290332
18,83,0.000312955
19,82,0.000309184
20,67,0.000252626
21,79,0.000297873
22,46,0.000173445
23,43,0.000162133
24,36,0.000135739
25,43,0.000162133
26,41,0.000154592
27,33,0.000124428
28,35,0.000131969
29,26,9.8034e-05
30,29,0.000109346
31,20,7.54108e-05
32,27,0.000101805
33,15,5.65581e-05
34,20,7.54108e-05
35,15,5.65581e-05
36,21,7.91813e-05
37,23,8.67224e-05
38,18,6.78697e-05
39,22,8.29519e-05
40,18,6.78697e-05
41,25,9.42635e-05
42,19,7.16403e-05
43,6,2.26232e-05
44,21,7.91813e-05
45,16,6.03286e-05
46,16,6.03286e-05
47,15,5.65581e-05
48,13,4.9017e-05
49,14,5.27876e-05
50,13,4.9017e-05
51,9,3.39349e-05
52,14,5.27876e-05
53,8,3.01643e-05
54,11,4.14759e-05
55,5,1.88527e-05
56,5,1.88527e-05
57,5,1.88527e-05
58,9,3.39349e-05
59,7,2.63938e-05
60,6,2.26232e-05
61,6,2.26232e-05
62,7,2.63938e-05
63,4,1.50822e-05
64,8,3.01643e-05
65,8,3.01643e-05
66,9,3.39349e-05
67,6,2.26232e-05
68,3,1.13116e-05
69,5,1.88527e-05
70,10,3.77054e-05
71,8,3.01643e-05
72,3,1.13116e-05
73,4,1.50822e-05
74,7,2.63938e-05
75,5,1.88527e-05
76,8,3.01643e-05
78,7,2.63938e-05
79,5,1.88527e-05
80,7,2.63938e-05
81,4,1.50822e-05
82,5,1.88527e-05
83,2,7.54108e-06
84,7,2.63938e-05
85,4,1.50822e-05
86,4,1.50822e-05
87,4,1.50822e-05
88,5,1.88527e-05
90,7,2.63938e-05
91,3,1.13116e-05
93,6,2.26232e-05
94,8,3.01643e-05
95,8,3.01643e-05
96,4,1.50822e-05
97,8,3.01643e-05
98,1,3.77054e-06
99,4,1.50822e-05
100,4,1.50822e-05
101,3,1.13116e-05
102,11,4.14759e-05
103,6,2.26232e-05
104,6,2.26232e-05
105,2,7.54108e-06
106,2,7.54108e-06
107,3,1.13116e-05
108,5,1.88527e-05
109,5,1.88527e-05
110,4,1.50822e-05
111,2,7.54108e-06
112,3,1.13116e-05
113,4,1.50822e-05
114,4,1.50822e-05
115,7,2.63938e-05
116,4,1.50822e-05
117,3,1.13116e-05
118,3,1.13116e-05
119,8,3.01643e-05
120,2,7.54108e-06
121,3,1.13116e-05
122,5,1.88527e-05
123,3,1.13116e-05
124,6,2.26232e-05
125,2,7.54108e-06
126,3,1.13116e-05
127,3,1.13116e-05
128,6,2.26232e-05
129,3,1.13116e-05
130,1,3.77054e-06
131,4,1.50822e-05
132,3,1.13116e-05
133,3,1.13116e-05
134,4,1.50822e-05
135,5,1.88527e-05
136,3,1.13116e-05
137,3,1.13116e-05
138,5,1.88527e-05
139,7,2.63938e-05
140,5,1.88527e-05
141,3,1.13116e-05
142,2,7.54108e-06
143,2,7.54108e-06
144,4,1.50822e-05
145,1,3.77054e-06
146,1,3.77054e-06
147,2,7.54108e-06
148,2,7.54108e-06
149,2,7.54108e-06
150,2,7.54108e-06
151,1,3.77054e-06
152,1,3.77054e-06
153,1,3.77054e-06
154,2,7.54108e-06
155,2,7.54108e-06
156,3,1.13116e-05
157,1,3.77054e-06
158,1,3.77054e-06
159,2,7.54108e-06
160,4,1.50822e-05
161,2,7.54108e-06
162,5,1.88527e-05
163,3,1.13116e-05
164,1,3.77054e-06
166,2,7.54108e-06
167,1,3.77054e-06
168,6,2.26232e-05
169,3,1.13116e-05
171,3,1.13116e-05
172,4,1.50822e-05
173,2,7.54108e-06
174,2,7.54108e-06
175,3,1.13116e-05
177,4,1.50822e-05
178,1,3.77054e-06
179,1,3.77054e-06
180,4,1.50822e-05
182,1,3.77054e-06
183,3,1.13116e-05
184,1,3.77054e-06
185,2,7.54108e-06
186,3,1.13116e-05
187,5,1.88527e-05
188,3,1.13116e-05
189,1,3.77054e-06
190,2,7.54108e-06
191,3,1.13116e-05
192,1,3.77054e-06
193,3,1.13116e-05
194,3,1.13116e-05
195,4,1.50822e-05
196,3,1.13116e-05
197,1,3.77054e-06
198,1,3.77054e-06
199,1,3.77054e-06
200,2,7.54108e-06
201,3,1.13116e-05
202,2,7.54108e-06
203,4,1.50822e-05
204,1,3.77054e-06
205,2,7.54108e-06
206,2,7.54108e-06
207,3,1.13116e-05
208,1,3.77054e-06
209,2,7.54108e-06
210,5,1.88527e-05
211,2,7.54108e-06
212,4,1.50822e-05
213,6,2.26232e-05
214,2,7.54108e-06
215,2,7.54108e-06
217,1,3.77054e-06
219,1,3.77054e-06
220,4,1.50822e-05
221,3,1.13116e-05
222,3,1.13116e-05
223,1,3.77054e-06
224,1,3.77054e-06
225,1,3.77054e-06
229,1,3.77054e-06
230,1,3.77054e-06
231,1,3.77054e-06
233,3,1.13116e-05
234,2,7.54108e-06
236,2,7.54108e-06
237,5,1.88527e-05
238,1,3.77054e-06
239,2,7.54108e-06
240,1,3.77054e-06
241,1,3.77054e-06
243,1,3.77054e-06
244,1,3.77054e-06
245,3,1.13116e-05
246,2,7.54108e-06
249,2,7.54108e-06
251,1,3.77054e-06
254,3,1.13116e-05
256,2,7.54108e-06
258,2,7.54108e-06
259,1,3.77054e-06
261,2,7.54108e-06
263,3,1.13116e-05
265,1,3.77054e-06
268,3,1.13116e-05
269,1,3.77054e-06
270,3,1.13116e-05
273,3,1.13116e-05
274,1,3.77054e-06
275,2,7.54108e-06
276,6,2.26232e-05
277,1,3.77054e-06
278,2,7.54108e-06
279,2,7.54108e-06
280,1,3.77054e-06
281,1,3.77054e-06
282,4,1.50822e-05
283,2,7.54108e-06
285,2,7.54108e-06
286,1,3.77054e-06
287,2,7.54108e-06
288,1,3.77054e-06
289,1,3.77054e-06
290,1,3.77054e-06
291,2,7.54108e-06
293,1,3.77054e-06
294,2,7.54108e-06
295,1,3.77054e-06
298,1,3.77054e-06
299,2,7.54108e-06
300,2,7.54108e-06
301,2,7.54108e-06
302,2,7.54108e-06
303,1,3.77054e-06
304,1,3.77054e-06
305,1,3.77054e-06
307,3,1.13116e-05
308,2,7.54108e-06
309,1,3.77054e-06
310,1,3.77054e-06
312,4,1.50822e-05
313,2,7.54108e-06
314,2,7.54108e-06
315,3,1.13116e-05
316,1,3.77054e-06
317,2,7.54108e-06
319,2,7.54108e-06
320,3,1.13116e-05
321,2,7.54108e-06
322,2,7.54108e-06
326,1,3.77054e-06
328,2,7.54108e-06
330,2,7.54108e-06
332,2,7.54108e-06
333,1,3.77054e-06
334,3,1.13116e-05
335,1,3.77054e-06
337,2,7.54108e-06
339,1,3.77054e-06
340,1,3.77054e-06
341,1,3.77054e-06
342,1,3.77054e-06
343,1,3.77054e-06
345,1,3.77054e-06
346,2,7.54108e-06
348,1,3.77054e-06
350,1,3.77054e-06
353,1,3.77054e-06
354,2,7.54108e-06
355,1,3.77054e-06
356,1,3.77054e-06
357,2,7.54108e-06
358,1,3.77054e-06
360,1,3.77054e-06
361,2,7.54108e-06
363,1,3.77054e-06
364,1,3.77054e-06
367,1,3.77054e-06
369,3,1.13116e-05
370,2,7.54108e-06
371,1,3.77054e-06
372,2,7.54108e-06
373,1,3.77054e-06
374,1,3.77054e-06
377,3,1.13116e-05
378,2,7.54108e-06
379,1,3.77054e-06
380,1,3.77054e-06
382,1,3.77054e-06
384,1,3.77054e-06
386,1,3.77054e-06
389,1,3.77054e-06
390,1,3.77054e-06
391,2,7.54108e-06
394,1,3.77054e-06
395,1,3.77054e-06
401,2,7.54108e-06
402,1,3.77054e-06
404,3,1.13116e-05
408,1,3.77054e-06
409,1,3.77054e-06
410,1,3.77054e-06
412,2,7.54108e-06
414,3,1.13116e-05
415,4,1.50822e-05
416,1,3.77054e-06
417,1,3.77054e-06
418,1,3.77054e-06
419,1,3.77054e-06
421,3,1.13116e-05
425,1,3.77054e-06
427,2,7.54108e-06
429,2,7.54108e-06
432,2,7.54108e-06
433,1,3.77054e-06
434,1,3.77054e-06
