k,count,prob
1,2315,0.325369
2,641,0.0900914
3,387,0.0543921
4,245,0.0344343
5,165,0.0231904
6,160,0.0224877
7,138,0.0193956
8,111,0.0156008
9,89,0.0125088
10,110,0.0154603
11,86,0.0120871
12,93,0.013071
13,64,0.00899508
14,65,0.00913563
15,59,0.00829234
16,53,0.00744905
17,47,0.00660576
18,56,0.0078707
19,33,0.00463809
20,44,0.00618412
21,42,0.00590302
22,41,0.00576247
23,28,0.00393535
24,38,0.00534083
25,26,0.00365425
26,38,0.00534083
27,31,0.00435699
28,39,0.00548138
29,37,0.00520028
30,32,0.00449754
31,36,0.00505973
32,22,0.00309206
33,28,0.00393535
34,26,0.00365425
35,20,0.00281096
36,22,0.00309206
37,29,0.0040759
38,25,0.0035137
39,29,0.0040759
40,25,0.0035137
41,27,0.0037948
42,27,0.0037948
43,23,0.00323261
44,30,0.00421644
45,28,0.00393535
46,26,0.00365425
47,27,0.0037948
48,28,0.00393535
49,22,0.00309206
50,27,0.0037948
51,26,0.00365425
52,27,0.0037948
53,16,0.00224877
54,21,0.00295151
55,26,0.00365425
56,18,0.00252987
57,28,0.00393535
58,24,0.00337316
59,17,0.00238932
60,22,0.00309206
61,24,0.00337316
62,13,0.00182713
63,19,0.00267041
64,22,0.00309206
65,13,0.00182713
66,24,0.00337316
67,22,0.00309206
68,7,0.000983837
69,16,0.00224877
70,22,0.00309206
71,15,0.00210822
72,21,0.00295151
73,17,0.00238932
74,10,0.00140548
75,18,0.00252987
76,11,0.00154603
77,13,0.00182713
78,10,0.00140548
79,15,0.00210822
80,12,0.00168658
81,15,0.00210822
82,5,0.000702741
83,8,0.00112439
84,12,0.00168658
85,11,0.00154603
86,10,0.00140548
87,19,0.00267041
88,7,0.000983837
89,16,0.00224877
90,5,0.000702741
91,8,0.00112439
92,8,0.00112439
93,11,0.00154603
94,7,0.000983837
95,6,0.000843289
96,10,0.00140548
97,10,0.00140548
98,10,0.00140548
99,8,0.00112439
100,9,0.00126493
101,8,0.00112439
102,3,0.000421644
103,10,0.00140548
104,8,0.00112439
105,9,0.00126493
106,4,0.000562193
107,8,0.00112439
