k,count,prob
1,8864,0.0164
2,11337,0.0209755
3,11778,0.0217915
4,11806,0.0218433
5,11550,0.0213696
6,11180,0.020685
7,10940,0.020241
8,10593,0.019599
9,10068,0.0186276
10,9851,0.0182262
11,9464,0.0175101
12,9264,0.0171401
13,8821,0.0163205
14,8266,0.0152936
15,8469,0.0156692
16,7916,0.0146461
17,8140,0.0150605
18,7388,0.0136692
19,7343,0.0135859
20,7042,0.013029
21,6500,0.0120262
22,6766,0.0125183
23,6717,0.0124277
24,6682,0.0123629
25,5995,0.0110918
26,6075,0.0112399
27,5995,0.0110918
28,5600,0.010361
29,5695,0.0105368
30,5403,0.00999654
31,5432,0.0100502
32,5299,0.00980412
33,5222,0.00966166
34,4860,0.00899189
35,4934,0.0091288
36,4708,0.00871066
37,4495,0.00831657
38,4646,0.00859595
39,4463,0.00825737
40,4186,0.00774487
41,4398,0.00813711
42,4185,0.00774302
43,4218,0.00780407
44,4073,0.0075358
45,4105,0.007595
46,3766,0.00696779
47,3952,0.00731192
48,3567,0.0065996
49,3698,0.00684198
50,3451,0.00638498
51,3559,0.0065848
52,3598,0.00665696
53,3384,0.00626102
54,3444,0.00637203
55,3303,0.00611116
56,3039,0.00562271
57,3171,0.00586693
58,3163,0.00585213
59,2847,0.00526747
60,3114,0.00576147
61,2680,0.00495849
62,2636,0.00487708
63,2609,0.00482713
64,2534,0.00468836
65,2597,0.00480493
66,2479,0.0045866
67,2442,0.00451815
68,2305,0.00426467
69,2188,0.0040482
70,2117,0.00391684
71,2307,0.00426837
72,2469,0.0045681
73,2227,0.00412036
74,2133,0.00394644
75,2216,0.00410001
76,1938,0.00358566
77,2137,0.00395384
78,2020,0.00373737
79,1933,0.0035764
80,1800,0.00333033
81,2066,0.00382248
82,2062,0.00381508
83,1873,0.00346539
84,1742,0.00322302
85,1789,0.00330998
86,1626,0.0030084
87,1597,0.00295474
88,1592,0.00294549
89,1873,0.00346539
90,1632,0.0030195
91,1564,0.00289369
92,1467,0.00271422
93,1394,0.00257916
94,1442,0.00266796
95,1345,0.0024885
96,1764,0.00326372
97,1480,0.00273827
98,1478,0.00273457
99,1320,0.00244224
100,1387,0.0025662
101,1239,0.00229238
102,1114,0.0020611
103,1198,0.00221652
104,1236,0.00228683
105,1327,0.00245519
106,1103,0.00204075
107,1293,0.00239229
108,1144,0.00211661
109,1102,0.0020389
110,1196,0.00221282
111,1130,0.00209071
112,1030,0.00190569
113,1159,0.00214436
114,1085,0.00200745
115,1063,0.00196674
116,1090,0.0020167
117,1037,0.00191864
118,1172,0.00216841
119,1203,0.00222577
120,989,0.00182983
121,1086,0.0020093
122,995,0.00184093
123,878,0.00162446
124,1045,0.00193344
125,980,0.00181318
126,1066,0.0019723
127,898,0.00166146
128,868,0.00160596
129,936,0.00173177
130,804,0.00148755
131,858,0.00158746
132,781,0.00144499
133,926,0.00171327
134,819,0.0015153
135,754,0.00139504
136,880,0.00162816
137,711,0.00131548
138,851,0.00157451
139,834,0.00154305
140,804,0.00148755
141,783,0.00144869
142,703,0.00130068
143,754,0.00139504
144,664,0.00122852
145,725,0.00134138
146,613,0.00113416
147,628,0.00116192
148,627,0.00116006
149,710,0.00131363
150,556,0.0010287
151,580,0.00107311
152,636,0.00117672
153,534,0.000987998
154,455,0.000841833
155,503,0.000930642
156,537,0.000993548
157,481,0.000889938
158,679,0.00125627
159,430,0.000795579
160,513,0.000949144
161,537,0.000993548
162,472,0.000873286
163,435,0.00080483
164,410,0.000758575
165,424,0.000784478
166,465,0.000860335
167,473,0.000875137
168,339,0.000627212
169,451,0.000834433
170,392,0.000725272
171,455,0.000841833
172,441,0.000815931
173,336,0.000621662
174,301,0.000556905
175,334,0.000617961
176,436,0.00080668
177,325,0.00060131
178,427,0.000790028
179,484,0.000895489
180,318,0.000588358
181,303,0.000560606
182,457,0.000845534
183,352,0.000651265
184,308,0.000569856
185,359,0.000664216
186,305,0.000564306
187,362,0.000669766
188,286,0.000529152
189,374,0.000691969
190,338,0.000625362
191,316,0.000584658
192,289,0.000534703
193,411,0.000760425
194,333,0.000616111
195,299,0.000553205
196,526,0.000973196
197,278,0.000514351
198,259,0.000479197
199,313,0.000579107
200,231,0.000427392
201,229,0.000423692
202,242,0.000447744
203,213,0.000394089
204,268,0.000495849
205,348,0.000643864
206,396,0.000732673
207,252,0.000466246
208,237,0.000438493
209,243,0.000449595
210,253,0.000468096
211,226,0.000418141
212,311,0.000575407
213,248,0.000458845
214,317,0.000586508
215,288,0.000532853
216,254,0.000469947
217,351,0.000649414
218,199,0.000368186
219,231,0.000427392
220,281,0.000519901
221,226,0.000418141
222,236,0.000436643
223,241,0.000445894
224,280,0.000518051
225,189,0.000349685
226,211,0.000390389
227,166,0.00030713
228,184,0.000340434
229,203,0.000375587
230,187,0.000345984
231,243,0.000449595
232,174,0.000321932
233,151,0.000279378
234,301,0.000556905
235,225,0.000416291
236,198,0.000366336
237,147,0.000271977
238,226,0.000418141
239,128,0.000236823
240,199,0.000368186
241,137,0.000253475
242,139,0.000257175
243,160,0.000296029
244,144,0.000266426
245,163,0.00030158
246,165,0.00030528
247,136,0.000251625
248,138,0.000255325
249,116,0.000214621
250,107,0.00019797
251,129,0.000238674
252,122,0.000225722
253,121,0.000223872
254,155,0.000286778
255,144,0.000266426
256,125,0.000231273
257,172,0.000318232
258,107,0.00019797
259,174,0.000321932
260,140,0.000259026
261,100,0.000185018
262,137,0.000253475
263,103,0.000190569
264,116,0.000214621
265,94,0.000173917
266,130,0.000240524
267,127,0.000234973
268,89,0.000164666
269,72,0.000133213
270,144,0.000266426
271,90,0.000166516
272,90,0.000166516
273,76,0.000140614
274,113,0.000209071
275,190,0.000351535
276,74,0.000136914
277,159,0.000294179
278,73,0.000135063
279,105,0.000194269
280,166,0.00030713
281,83,0.000153565
282,151,0.000279378
283,67,0.000123962
284,96,0.000177618
285,57,0.00010546
286,96,0.000177618
287,81,0.000149865
288,73,0.000135063
289,74,0.000136914
290,73,0.000135063
291,99,0.000183168
292,89,0.000164666
293,53,9.80597e-05
294,77,0.000142464
295,65,0.000120262
296,47,8.69586e-05
297,54,9.99099e-05
298,71,0.000131363
299,80,0.000148015
300,74,0.000136914
301,74,0.000136914
302,73,0.000135063
303,85,0.000157266
304,80,0.000148015
305,97,0.000179468
306,71,0.000131363
307,79,0.000146164
308,79,0.000146164
309,105,0.000194269
310,75,0.000138764
311,56,0.00010361
312,60,0.000111011
313,63,0.000116562
314,50,9.25092e-05
315,68,0.000125812
316,222,0.000410741
317,84,0.000155415
318,47,8.69586e-05
319,56,0.00010361
320,74,0.000136914
321,61,0.000112861
322,63,0.000116562
323,33,6.1056e-05
324,57,0.00010546
325,33,6.1056e-05
326,104,0.000192419
327,53,9.80597e-05
328,39,7.21571e-05
329,64,0.000118412
330,92,0.000170217
331,82,0.000151715
332,65,0.000120262
333,75,0.000138764
334,51,9.43593e-05
335,52,9.62095e-05
336,78,0.000144314
337,35,6.47564e-05
338,39,7.21571e-05
339,61,0.000112861
340,49,9.0659e-05
341,74,0.000136914
342,49,9.0659e-05
343,61,0.000112861
344,52,9.62095e-05
345,50,9.25092e-05
346,55,0.00010176
347,36,6.66066e-05
348,44,8.14081e-05
349,41,7.58575e-05
350,47,8.69586e-05
351,45,8.32582e-05
352,36,6.66066e-05
353,43,7.95579e-05
354,34,6.29062e-05
355,19,3.51535e-05
356,45,8.32582e-05
357,39,7.21571e-05
358,35,6.47564e-05
359,55,0.00010176
360,31,5.73557e-05
361,35,6.47564e-05
362,51,9.43593e-05
363,28,5.18051e-05
364,25,4.62546e-05
365,61,0.000112861
366,47,8.69586e-05
367,35,6.47564e-05
368,32,5.92059e-05
369,16,2.96029e-05
370,23,4.25542e-05
371,40,7.40073e-05
372,16,2.96029e-05
373,27,4.99549e-05
374,41,7.58575e-05
375,38,7.0307e-05
376,69,0.000127663
377,27,4.99549e-05
378,36,6.66066e-05
379,28,5.18051e-05
380,31,5.73557e-05
381,39,7.21571e-05
382,14,2.59026e-05
383,31,5.73557e-05
384,30,5.55055e-05
385,13,2.40524e-05
386,18,3.33033e-05
387,16,2.96029e-05
388,24,4.44044e-05
389,25,4.62546e-05
390,30,5.55055e-05
391,13,2.40524e-05
392,12,2.22022e-05
393,36,6.66066e-05
394,30,5.55055e-05
395,41,7.58575e-05
396,16,2.96029e-05
397,20,3.70037e-05
398,19,3.51535e-05
399,16,2.96029e-05
400,20,3.70037e-05
401,11,2.0352e-05
402,33,6.1056e-05
403,22,4.0704e-05
404,8,1.48015e-05
405,25,4.62546e-05
406,11,2.0352e-05
407,24,4.44044e-05
408,25,4.62546e-05
409,19,3.51535e-05
410,24,4.44044e-05
411,12,2.22022e-05
412,10,1.85018e-05
413,25,4.62546e-05
414,15,2.77527e-05
415,12,2.22022e-05
416,14,2.59026e-05
417,18,3.33033e-05
418,25,4.62546e-05
419,20,3.70037e-05
420,7,1.29513e-05
421,20,3.70037e-05
422,11,2.0352e-05
423,30,5.55055e-05
424,22,4.0704e-05
425,4,7.40073e-06
426,13,2.40524e-05
427,17,3.14531e-05
428,9,1.66516e-05
429,26,4.81048e-05
430,21,3.88538e-05
431,15,2.77527e-05
432,21,3.88538e-05
433,8,1.48015e-05
434,13,2.40524e-05
435,13,2.40524e-05
436,9,1.66516e-05
437,7,1.29513e-05
438,14,2.59026e-05
439,5,9.25092e-06
440,10,1.85018e-05
441,4,7.40073e-06
442,5,9.25092e-06
443,7,1.29513e-05
444,6,1.11011e-05
445,11,2.0352e-05
446,4,7.40073e-06
447,12,2.22022e-05
448,10,1.85018e-05
449,13,2.40524e-05
450,8,1.48015e-05
451,18,3.33033e-05
452,14,2.59026e-05
453,16,2.96029e-05
454,6,1.11011e-05
455,11,2.0352e-05
456,12,2.22022e-05
457,11,2.0352e-05
458,28,5.18051e-05
459,9,1.66516e-05
460,22,4.0704e-05
461,7,1.29513e-05
462,9,1.66516e-05
463,13,2.40524e-05
464,13,2.40524e-05
465,12,2.22022e-05
466,16,2.96029e-05
467,9,1.66516e-05
468,5,9.25092e-06
469,9,1.66516e-05
470,1,1.85018e-06
471,7,1.29513e-05
472,21,3.88538e-05
473,3,5.55055e-06
474,5,9.25092e-06
475,2,3.70037e-06
476,7,1.29513e-05
477,1,1.85018e-06
478,4,7.40073e-06
479,8,1.48015e-05
480,8,1.48015e-05
481,5,9.25092e-06
482,9,1.66516e-05
483,5,9.25092e-06
484,15,2.77527e-05
485,2,3.70037e-06
486,7,1.29513e-05
487,2,3.70037e-06
488,9,1.66516e-05
489,1,1.85018e-06
490,9,1.66516e-05
491,6,1.11011e-05
492,7,1.29513e-05
493,4,7.40073e-06
494,7,1.29513e-05
495,12,2.22022e-05
496,14,2.59026e-05
497,6,1.11011e-05
498,1,1.85018e-06
499,5,9.25092e-06
500,5,9.25092e-06
501,3,5.55055e-06
502,3,5.55055e-06
503,4,7.40073e-06
504,6,1.11011e-05
505,13,2.40524e-05
506,2,3.70037e-06
507,6,1.11011e-05
508,6,1.11011e-05
509,8,1.48015e-05
510,9,1.66516e-05
511,3,5.55055e-06
512,5,9.25092e-06
513,5,9.25092e-06
514,4,7.40073e-06
515,13,2.40524e-05
516,3,5.55055e-06
517,9,1.66516e-05
518,3,5.55055e-06
519,5,9.25092e-06
520,4,7.40073e-06
521,4,7.40073e-06
522,4,7.40073e-06
523,7,1.29513e-05
524,2,3.70037e-06
525,3,5.55055e-06
526,4,7.40073e-06
527,21,3.88538e-05
528,5,9.25092e-06
529,10,1.85018e-05
530,1,1.85018e-06
531,4,7.40073e-06
532,2,3.70037e-06
533,2,3.70037e-06
536,3,5.55055e-06
537,2,3.70037e-06
538,3,5.55055e-06
541,2,3.70037e-06
542,8,1.48015e-05
543,2,3.70037e-06
544,5,9.25092e-06
545,6,1.11011e-05
546,2,3.70037e-06
547,1,1.85018e-06
548,5,9.25092e-06
549,2,3.70037e-06
550,3,5.55055e-06
551,6,1.11011e-05
552,2,3.70037e-06
554,3,5.55055e-06
555,2,3.70037e-06
556,9,1.66516e-05
557,5,9.25092e-06
559,6,1.11011e-05
560,3,5.55055e-06
561,2,3.70037e-06
562,2,3.70037e-06
563,1,1.85018e-06
564,2,3.70037e-06
565,14,2.59026e-05
566,4,7.40073e-06
567,3,5.55055e-06
568,1,1.85018e-06
570,11,2.0352e-05
571,3,5.55055e-06
572,2,3.70037e-06
573,3,5.55055e-06
574,1,1.85018e-06
575,3,5.55055e-06
576,1,1.85018e-06
577,1,1.85018e-06
579,4,7.40073e-06
580,1,1.85018e-06
581,3,5.55055e-06
582,1,1.85018e-06
583,3,5.55055e-06
584,1,1.85018e-06
588,5,9.25092e-06
592,4,7.40073e-06
593,11,2.0352e-05
594,9,1.66516e-05
595,4,7.40073e-06
596,1,1.85018e-06
598,2,3.70037e-06
600,1,1.85018e-06
601,1,1.85018e-06
603,2,3.70037e-06
604,6,1.11011e-05
605,3,5.55055e-06
609,3,5.55055e-06
610,2,3.70037e-06
611,1,1.85018e-06
614,5,9.25092e-06
617,2,3.70037e-06
618,1,1.85018e-06
619,1,1.85018e-06
621,2,3.70037e-06
622,1,1.85018e-06
623,9,1.66516e-05
625,2,3.70037e-06
626,2,3.70037e-06
628,1,1.85018e-06
630,1,1.85018e-06
631,3,5.55055e-06
633,2,3.70037e-06
634,3,5.55055e-06
639,1,1.85018e-06
641,3,5.55055e-06
644,5,9.25092e-06
645,3,5.55055e-06
646,2,3.70037e-06
648,4,7.40073e-06
650,3,5.55055e-06
651,1,1.85018e-06
652,2,3.70037e-06
653,1,1.85018e-06
656,2,3.70037e-06
657,7,1.29513e-05
659,4,7.40073e-06
660,3,5.55055e-06
665,2,3.70037e-06
668,2,3.70037e-06
670,1,1.85018e-06
671,1,1.85018e-06
674,2,3.70037e-06
676,1,1.85018e-06
680,3,5.55055e-06
686,2,3.70037e-06
687,1,1.85018e-06
692,2,3.70037e-06
698,1,1.85018e-06
711,2,3.70037e-06
719,1,1.85018e-06
721,1,1.85018e-06
723,1,1.85018e-06
724,1,1.85018e-06
728,4,7.40073e-06
734,2,3.70037e-06
735,1,1.85018e-06
737,1,1.85018e-06
738,2,3.70037e-06
739,1,1.85018e-06
746,1,1.85018e-06
758,1,1.85018e-06
759,1,1.85018e-06
762,6,1.11011e-05
764,1,1.85018e-06
765,1,1.85018e-06
769,2,3.70037e-06
774,1,1.85018e-06
776,2,3.70037e-06
777,1,1.85018e-06
782,1,1.85018e-06
784,2,3.70037e-06
785,1,1.85018e-06
788,1,1.85018e-06
794,1,1.85018e-06
796,3,5.55055e-06
799,1,1.85018e-06
803,1,1.85018e-06
808,1,1.85018e-06
811,1,1.85018e-06
812,1,1.85018e-06
813,1,1.85018e-06
822,1,1.85018e-06
826,1,1.85018e-06
830,1,1.85018e-06
832,1,1.85018e-06
839,1,1.85018e-06
851,2,3.70037e-06
861,2,3.70037e-06
