k,count,prob
1,67767,0.0220564
2,43254,0.0140781
3,38376,0.0124904
4,37457,0.0121913
5,36751,0.0119615
6,36808,0.0119801
7,37060,0.0120621
8,37463,0.0121932
9,37382,0.0121669
10,37876,0.0123277
11,37618,0.0122437
12,37851,0.0123195
13,37307,0.0121425
14,37172,0.0120985
15,37717,0.0122759
16,37368,0.0121623
17,37209,0.0121106
18,37065,0.0120637
19,36429,0.0118567
20,36002,0.0117177
21,35877,0.011677
22,35256,0.0114749
23,35147,0.0114394
24,35010,0.0113948
25,34183,0.0111257
26,34103,0.0110996
27,33056,0.0107589
28,33002,0.0107413
29,32385,0.0105405
30,32047,0.0104305
31,31302,0.010188
32,30990,0.0100864
33,30544,0.00994128
34,29697,0.0096656
35,29400,0.00956894
36,29321,0.00954323
37,28934,0.00941727
38,28407,0.00924574
39,27947,0.00909602
40,27281,0.00887926
41,26656,0.00867584
42,26348,0.00857559
43,25557,0.00831814
44,25474,0.00829113
45,24932,0.00811472
46,24317,0.00791455
47,24141,0.00785727
48,23647,0.00769649
49,23159,0.00753765
50,22940,0.00746638
51,22310,0.00726133
52,22111,0.00719656
53,21649,0.00704619
54,21267,0.00692186
55,20752,0.00675424
56,20535,0.00668361
57,19981,0.0065033
58,19828,0.0064535
59,19366,0.00630313
60,19259,0.00626831
61,18589,0.00605024
62,18539,0.00603396
63,18169,0.00591354
64,17687,0.00575666
65,17455,0.00568115
66,17232,0.00560857
67,16704,0.00543672
68,16831,0.00547805
69,16237,0.00528472
70,15879,0.0051682
71,15690,0.00510669
72,15266,0.00496869
73,15101,0.00491498
74,14804,0.00481832
75,14731,0.00479456
76,14286,0.00464972
77,14079,0.00458235
78,13791,0.00448861
79,13616,0.00443166
80,13088,0.00425981
81,12930,0.00420838
82,12720,0.00414003
83,12530,0.00407819
84,12304,0.00400463
85,12152,0.00395516
86,11951,0.00388974
87,11767,0.00382985
88,11643,0.0037895
89,11298,0.00367721
90,11071,0.00360332
91,10949,0.00356362
92,10600,0.00345003
93,10359,0.00337159
94,10375,0.00337679
95,10215,0.00332472
96,9833,0.00320039
97,9751,0.0031737
98,9606,0.0031265
99,9483,0.00308647
100,9252,0.00301129
101,9294,0.00302496
102,9056,0.00294749
103,8822,0.00287133
104,8814,0.00286873
105,8671,0.00282219
106,8276,0.00269362
107,8330,0.0027112
108,7955,0.00258915
109,8131,0.00264643
110,7919,0.00257743
111,7687,0.00250192
112,7756,0.00252438
113,7499,0.00244073
114,7467,0.00243032
115,7152,0.00232779
116,7058,0.0022972
117,7041,0.00229166
118,6927,0.00225456
119,6911,0.00224935
120,6628,0.00215724
121,6598,0.00214748
122,6389,0.00207945
123,6397,0.00208206
124,6197,0.00201696
125,6130,0.00199516
126,6038,0.00196521
127,6118,0.00199125
128,5783,0.00188222
129,5717,0.00186074
130,5795,0.00188612
131,5403,0.00175854
132,5331,0.0017351
133,5419,0.00176374
134,5223,0.00169995
135,5182,0.00168661
136,5126,0.00166838
137,5104,0.00166122
138,4911,0.0015984
139,4826,0.00157074
140,4768,0.00155186
141,4646,0.00151215
142,4769,0.00155219
143,4621,0.00150402
144,4586,0.00149262
145,4497,0.00146366
146,4388,0.00142818
147,4301,0.00139986
148,4269,0.00138945
149,4220,0.0013735
150,4036,0.00131361
151,3898,0.0012687
152,4009,0.00130483
153,3898,0.0012687
154,3929,0.00127879
155,3812,0.00124071
156,3565,0.00116032
157,3746,0.00121923
158,3594,0.00116975
159,3606,0.00117366
160,3516,0.00114437
161,3407,0.00110889
162,3340,0.00108708
163,3339,0.00108676
164,3208,0.00104412
165,3188,0.00103761
166,3179,0.00103468
167,3186,0.00103696
168,3120,0.00101548
169,3130,0.00101873
170,2986,0.000971866
171,2904,0.000945177
172,2936,0.000955592
173,2924,0.000951686
174,2865,0.000932483
175,2871,0.000934436
176,2693,0.000876502
177,2784,0.00090612
178,2651,0.000862832
179,2641,0.000859577
180,2552,0.00083061
181,2526,0.000822148
182,2500,0.000813685
183,2485,0.000808803
184,2464,0.000801968
185,2416,0.000786345
186,2346,0.000763562
187,2355,0.000766492
188,2304,0.000749892
189,2306,0.000750543
190,2258,0.000734921
191,2198,0.000715392
192,2155,0.000701397
193,2111,0.000687076
194,2099,0.00068317
195,2028,0.000660061
196,2021,0.000657783
197,1995,0.000649321
198,1982,0.00064509
199,1983,0.000645415
200,2010,0.000654203
201,1970,0.000641184
202,1926,0.000626863
203,1939,0.000631094
204,1883,0.000612868
205,1883,0.000612868
206,1761,0.00057316
207,1791,0.000582924
208,1700,0.000553306
209,1750,0.00056958
210,1699,0.000552981
211,1761,0.00057316
212,1747,0.000568603
213,1726,0.000561768
214,1641,0.000534103
215,1594,0.000518806
216,1638,0.000533127
217,1607,0.000523037
218,1620,0.000527268
219,1483,0.000482678
220,1510,0.000491466
221,1527,0.000496999
222,1516,0.000493419
223,1475,0.000480074
224,1440,0.000468683
225,1425,0.000463801
226,1365,0.000444272
227,1415,0.000460546
228,1348,0.000438739
229,1333,0.000433857
230,1330,0.000432881
231,1355,0.000441017
232,1308,0.00042572
233,1299,0.000422791
234,1318,0.000428975
235,1263,0.000411074
236,1259,0.000409772
237,1185,0.000385687
238,1246,0.000405541
239,1158,0.000376899
240,1235,0.000401961
241,1170,0.000380805
242,1209,0.000393498
243,1127,0.000366809
244,1153,0.000375272
245,1095,0.000356394
246,1112,0.000361927
247,1024,0.000333285
248,1082,0.000352163
249,1087,0.00035379
250,1089,0.000354441
251,1031,0.000335564
252,1070,0.000348257
253,1046,0.000340446
254,960,0.000312455
255,955,0.000310828
256,982,0.000319616
257,1011,0.000329054
258,959,0.00031213
259,994,0.000323521
260,934,0.000303993
261,917,0.00029846
262,942,0.000306597
263,944,0.000307248
264,926,0.000301389
265,913,0.000297158
266,871,0.000283488
267,871,0.000283488
268,847,0.000275677
269,881,0.000286743
270,833,0.00027112
271,830,0.000270144
272,809,0.000263309
273,793,0.000258101
274,752,0.000244757
275,765,0.000248988
276,774,0.000251917
277,820,0.000266889
278,824,0.000268191
279,798,0.000259728
280,770,0.000250615
281,777,0.000252893
282,748,0.000243455
283,718,0.00023369
284,700,0.000227832
285,735,0.000239223
286,702,0.000228483
287,667,0.000217091
288,666,0.000216766
289,652,0.000212209
290,718,0.00023369
291,671,0.000218393
292,673,0.000219044
293,686,0.000223275
294,634,0.000206351
295,632,0.0002057
296,641,0.000208629
297,646,0.000210256
298,617,0.000200818
299,597,0.000194308
300,601,0.00019561
301,579,0.00018845
302,586,0.000190728
303,611,0.000198865
304,598,0.000194634
305,569,0.000185195
306,590,0.00019203
307,585,0.000190402
308,597,0.000194308
309,547,0.000178034
310,589,0.000191704
311,593,0.000193006
312,530,0.000172501
313,536,0.000174454
314,523,0.000170223
315,547,0.000178034
316,515,0.000167619
317,534,0.000173803
318,503,0.000163713
319,520,0.000169247
320,531,0.000172827
321,508,0.000165341
322,453,0.00014744
323,525,0.000170874
324,494,0.000160784
325,482,0.000156879
326,484,0.000157529
327,447,0.000145487
328,487,0.000158506
329,440,0.000143209
330,463,0.000150695
331,495,0.00016111
332,462,0.000150369
333,433,0.00014093
334,473,0.000153949
335,400,0.00013019
336,470,0.000152973
337,412,0.000134095
338,443,0.000144185
339,430,0.000139954
340,475,0.0001546
341,428,0.000139303
342,440,0.000143209
343,432,0.000140605
344,377,0.000122704
345,388,0.000126284
346,424,0.000138001
347,389,0.000126609
348,399,0.000129864
349,398,0.000129539
350,406,0.000132142
351,383,0.000124657
352,419,0.000136374
353,382,0.000124331
354,378,0.000123029
355,393,0.000127911
356,375,0.000122053
357,362,0.000117822
358,384,0.000124982
359,339,0.000110336
360,382,0.000124331
361,363,0.000118147
362,352,0.000114567
363,351,0.000114241
364,355,0.000115543
365,338,0.00011001
366,337,0.000109685
367,320,0.000104152
368,351,0.000114241
369,342,0.000111312
370,318,0.000103501
371,333,0.000108383
372,323,0.000105128
373,320,0.000104152
374,299,9.73168e-05
375,302,9.82932e-05
376,306,9.95951e-05
377,316,0.00010285
378,303,9.86187e-05
379,301,9.79677e-05
380,283,9.21092e-05
381,318,0.000103501
382,292,9.50384e-05
383,311,0.000101222
384,297,9.66658e-05
385,259,8.42978e-05
386,281,9.14582e-05
387,313,0.000101873
388,290,9.43875e-05
389,277,9.01563e-05
390,260,8.46233e-05
391,277,9.01563e-05
392,264,8.59252e-05
393,263,8.55997e-05
394,260,8.46233e-05
395,265,8.62506e-05
396,284,9.24346e-05
397,260,8.46233e-05
398,259,8.42978e-05
399,229,7.45336e-05
400,243,7.90902e-05
401,246,8.00666e-05
402,256,8.33214e-05
403,249,8.10431e-05
404,272,8.8529e-05
405,222,7.22553e-05
406,234,7.61609e-05
407,225,7.32317e-05
408,262,8.52742e-05
409,259,8.42978e-05
410,252,8.20195e-05
411,285,9.27601e-05
412,223,7.25807e-05
413,260,8.46233e-05
414,224,7.29062e-05
415,226,7.35571e-05
416,252,8.20195e-05
417,246,8.00666e-05
418,226,7.35571e-05
419,231,7.51845e-05
420,246,8.00666e-05
421,221,7.19298e-05
422,227,7.38826e-05
423,220,7.16043e-05
424,216,7.03024e-05
425,217,7.06279e-05
426,201,6.54203e-05
427,195,6.34675e-05
428,212,6.90005e-05
429,220,7.16043e-05
430,217,7.06279e-05
431,221,7.19298e-05
432,233,7.58355e-05
433,185,6.02127e-05
434,238,7.74628e-05
435,218,7.09534e-05
436,208,6.76986e-05
437,219,7.12788e-05
438,203,6.60712e-05
439,214,6.96515e-05
440,215,6.99769e-05
441,185,6.02127e-05
442,172,5.59815e-05
443,209,6.80241e-05
444,185,6.02127e-05
445,172,5.59815e-05
446,207,6.73731e-05
447,202,6.57458e-05
448,209,6.80241e-05
449,196,6.37929e-05
450,172,5.59815e-05
451,171,5.56561e-05
452,191,6.21656e-05
453,177,5.76089e-05
454,178,5.79344e-05
455,181,5.89108e-05
456,171,5.56561e-05
457,188,6.11891e-05
458,161,5.24013e-05
459,167,5.43542e-05
460,172,5.59815e-05
461,178,5.79344e-05
462,182,5.92363e-05
463,181,5.89108e-05
464,196,6.37929e-05
465,193,6.28165e-05
466,159,5.17504e-05
467,185,6.02127e-05
468,158,5.14249e-05
469,173,5.6307e-05
470,149,4.84956e-05
471,139,4.52409e-05
472,178,5.79344e-05
473,164,5.33778e-05
474,158,5.14249e-05
475,168,5.46797e-05
476,154,5.0123e-05
477,143,4.65428e-05
478,150,4.88211e-05
479,153,4.97975e-05
480,135,4.3939e-05
481,162,5.27268e-05
482,161,5.24013e-05
483,156,5.0774e-05
484,169,5.50051e-05
485,153,4.97975e-05
486,130,4.23116e-05
487,156,5.0774e-05
488,171,5.56561e-05
489,133,4.32881e-05
490,136,4.42645e-05
491,171,5.56561e-05
492,123,4.00333e-05
493,142,4.62173e-05
494,139,4.52409e-05
495,132,4.29626e-05
496,149,4.84956e-05
497,135,4.3939e-05
498,138,4.49154e-05
499,139,4.52409e-05
500,121,3.93824e-05
501,165,5.37032e-05
502,123,4.00333e-05
503,142,4.62173e-05
504,140,4.55664e-05
505,145,4.71937e-05
506,149,4.84956e-05
507,116,3.7755e-05
508,143,4.65428e-05
509,129,4.19862e-05
510,138,4.49154e-05
511,121,3.93824e-05
512,128,4.16607e-05
513,117,3.80805e-05
514,126,4.10097e-05
515,130,4.23116e-05
516,132,4.29626e-05
517,124,4.03588e-05
518,114,3.7104e-05
519,131,4.26371e-05
