k,count,prob
1,602539,0.530923
2,182237,0.160577
3,92860,0.0818229
4,55876,0.0492347
5,36733,0.032367
6,26149,0.023041
7,19340,0.0170413
8,15372,0.0135449
9,12020,0.0105913
10,9600,0.00845897
11,7889,0.00695133
12,6625,0.00583757
13,5513,0.00485774
14,4790,0.00422067
15,4175,0.00367877
16,3554,0.00313158
17,3147,0.00277296
18,2746,0.00241962
19,2502,0.00220462
20,2285,0.00201341
21,2076,0.00182925
22,1887,0.00166272
23,1700,0.00149794
24,1555,0.00137018
25,1507,0.00132788
26,1291,0.00113756
27,1256,0.00110672
28,1077,0.000948991
29,1072,0.000944585
30,954,0.00084061
31,891,0.000785098
32,818,0.000720775
33,823,0.00072518
34,756,0.000666144
35,737,0.000649402
36,640,0.000563931
37,640,0.000563931
38,535,0.000471411
39,583,0.000513706
40,472,0.000415899
41,535,0.000471411
42,473,0.00041678
43,449,0.000395633
44,431,0.000379772
45,379,0.000333953
46,396,0.000348932
47,377,0.000332191
48,364,0.000320736
49,328,0.000289015
50,321,0.000282847
51,342,0.000301351
52,287,0.000252888
53,282,0.000248482
54,266,0.000234384
55,244,0.000214999
56,270,0.000237909
57,293,0.000258175
58,250,0.000220286
59,243,0.000214118
60,232,0.000204425
61,257,0.000226454
62,222,0.000195614
63,190,0.000167417
64,200,0.000176229
65,203,0.000178872
66,188,0.000165655
67,163,0.000143626
68,168,0.000148032
69,154,0.000135696
70,168,0.000148032
71,152,0.000133934
72,152,0.000133934
73,161,0.000141864
74,142,0.000125122
75,141,0.000124241
76,124,0.000109262
77,124,0.000109262
78,120,0.000105737
79,148,0.000130409
80,121,0.000106618
81,117,0.000103094
82,125,0.000110143
83,124,0.000109262
84,103,9.07577e-05
85,93,8.19463e-05
86,103,9.07577e-05
87,93,8.19463e-05
88,102,8.98766e-05
89,80,7.04914e-05
90,84,7.4016e-05
91,66,5.81554e-05
92,109,9.60446e-05
93,77,6.7848e-05
94,103,9.07577e-05
95,74,6.52046e-05
96,85,7.48971e-05
97,78,6.87291e-05
98,86,7.57783e-05
99,85,7.48971e-05
100,103,9.07577e-05
101,84,7.4016e-05
102,60,5.28686e-05
103,69,6.07988e-05
104,72,6.34423e-05
105,71,6.25611e-05
106,64,5.63931e-05
107,57,5.02251e-05
108,60,5.28686e-05
109,60,5.28686e-05
110,56,4.9344e-05
111,53,4.67006e-05
112,50,4.40571e-05
113,42,3.7008e-05
114,53,4.67006e-05
115,55,4.84628e-05
116,56,4.9344e-05
117,54,4.75817e-05
118,67,5.90366e-05
119,43,3.78891e-05
120,58,5.11063e-05
121,42,3.7008e-05
122,40,3.52457e-05
123,39,3.43646e-05
124,60,5.28686e-05
125,36,3.17211e-05
126,35,3.084e-05
127,30,2.64343e-05
128,35,3.084e-05
129,48,4.22948e-05
130,43,3.78891e-05
131,42,3.7008e-05
132,38,3.34834e-05
133,31,2.73154e-05
134,38,3.34834e-05
135,38,3.34834e-05
136,32,2.81966e-05
137,23,2.02663e-05
138,33,2.90777e-05
139,33,2.90777e-05
140,31,2.73154e-05
141,42,3.7008e-05
142,34,2.99589e-05
143,30,2.64343e-05
144,36,3.17211e-05
145,44,3.87703e-05
146,37,3.26023e-05
147,27,2.37909e-05
148,31,2.73154e-05
149,33,2.90777e-05
150,31,2.73154e-05
151,30,2.64343e-05
152,28,2.4672e-05
153,23,2.02663e-05
154,27,2.37909e-05
155,24,2.11474e-05
156,24,2.11474e-05
157,18,1.58606e-05
158,25,2.20286e-05
159,31,2.73154e-05
160,30,2.64343e-05
161,23,2.02663e-05
162,29,2.55531e-05
163,21,1.8504e-05
164,25,2.20286e-05
165,21,1.8504e-05
166,26,2.29097e-05
167,25,2.20286e-05
168,25,2.20286e-05
169,29,2.55531e-05
170,20,1.76229e-05
171,26,2.29097e-05
172,30,2.64343e-05
173,15,1.32171e-05
174,14,1.2336e-05
175,19,1.67417e-05
176,31,2.73154e-05
177,31,2.73154e-05
178,19,1.67417e-05
179,20,1.76229e-05
180,17,1.49794e-05
181,20,1.76229e-05
182,19,1.67417e-05
183,22,1.93851e-05
184,23,2.02663e-05
