k,count,prob
1,35,0.0363825
2,19,0.0197505
3,14,0.014553
4,14,0.014553
5,10,0.010395
6,21,0.0218295
7,17,0.0176715
8,21,0.0218295
9,18,0.018711
10,21,0.0218295
11,15,0.0155925
12,16,0.016632
13,14,0.014553
14,18,0.018711
15,24,0.024948
16,11,0.0114345
17,18,0.018711
18,15,0.0155925
19,14,0.014553
20,19,0.0197505
21,19,0.0197505
22,10,0.010395
23,17,0.0176715
24,15,0.0155925
25,15,0.0155925
26,21,0.0218295
27,16,0.016632
28,10,0.010395
29,18,0.018711
30,7,0.00727651
31,12,0.012474
32,9,0.00935551
33,11,0.0114345
34,17,0.0176715
35,11,0.0114345
36,8,0.00831601
37,8,0.00831601
38,8,0.00831601
39,7,0.00727651
40,15,0.0155925
41,7,0.00727651
42,8,0.00831601
43,11,0.0114345
44,10,0.010395
45,8,0.00831601
46,10,0.010395
47,11,0.0114345
48,11,0.0114345
49,5,0.00519751
50,5,0.00519751
51,11,0.0114345
52,7,0.00727651
53,8,0.00831601
54,5,0.00519751
55,9,0.00935551
56,4,0.004158
57,3,0.0031185
58,8,0.00831601
59,8,0.00831601
60,5,0.00519751
61,3,0.0031185
62,7,0.00727651
63,2,0.002079
64,4,0.004158
65,6,0.00623701
66,3,0.0031185
67,6,0.00623701
68,5,0.00519751
69,4,0.004158
70,6,0.00623701
71,4,0.004158
72,6,0.00623701
73,3,0.0031185
74,2,0.002079
75,6,0.00623701
76,4,0.004158
77,3,0.0031185
79,3,0.0031185
80,4,0.004158
81,4,0.004158
82,4,0.004158
83,2,0.002079
84,5,0.00519751
85,2,0.002079
86,4,0.004158
87,4,0.004158
88,2,0.002079
89,6,0.00623701
90,3,0.0031185
91,3,0.0031185
92,3,0.0031185
93,1,0.0010395
94,4,0.004158
95,3,0.0031185
96,4,0.004158
97,1,0.0010395
98,4,0.004158
99,2,0.002079
100,2,0.002079
101,1,0.0010395
102,2,0.002079
106,2,0.002079
107,1,0.0010395
108,2,0.002079
109,3,0.0031185
110,1,0.0010395
111,1,0.0010395
112,1,0.0010395
115,2,0.002079
116,3,0.0031185
118,1,0.0010395
120,1,0.0010395
121,1,0.0010395
123,1,0.0010395
124,3,0.0031185
126,3,0.0031185
127,1,0.0010395
131,1,0.0010395
132,1,0.0010395
134,2,0.002079
135,1,0.0010395
136,1,0.0010395
138,2,0.002079
141,1,0.0010395
149,1,0.0010395
151,1,0.0010395
154,3,0.0031185
155,2,0.002079
157,1,0.0010395
158,1,0.0010395
160,1,0.0010395
162,1,0.0010395
175,1,0.0010395
182,1,0.0010395
183,1,0.0010395
211,1,0.0010395
213,1,0.0010395
313,1,0.0010395
