k,count,prob
1,5045,0.13382
2,4620,0.122546
3,3670,0.0973475
4,2837,0.075252
5,2476,0.0656764
6,1990,0.0527851
7,1711,0.0453846
8,1375,0.0364721
9,1267,0.0336074
10,1070,0.028382
11,912,0.024191
12,804,0.0213263
13,715,0.0189655
14,590,0.0156499
15,560,0.0148541
16,536,0.0142175
17,479,0.0127056
18,407,0.0107958
19,394,0.0104509
20,330,0.00875332
21,317,0.00840849
22,296,0.00785146
23,257,0.00681698
24,241,0.00639257
25,218,0.00578249
26,246,0.0065252
27,203,0.00538462
28,177,0.00469496
29,156,0.00413793
30,142,0.00376658
31,156,0.00413793
32,160,0.00424403
33,134,0.00355438
34,121,0.00320955
35,103,0.0027321
36,91,0.00241379
37,111,0.0029443
38,85,0.00225464
39,85,0.00225464
40,96,0.00254642
41,79,0.00209549
42,71,0.00188329
43,78,0.00206897
44,94,0.00249337
45,61,0.00161804
46,74,0.00196286
47,57,0.00151194
48,57,0.00151194
49,56,0.00148541
50,46,0.00122016
51,49,0.00129973
52,41,0.00108753
53,48,0.00127321
54,35,0.000928382
55,41,0.00108753
56,45,0.00119363
57,39,0.00103448
58,41,0.00108753
59,45,0.00119363
60,38,0.00100796
61,35,0.000928382
62,30,0.000795756
63,34,0.000901857
64,23,0.00061008
65,28,0.000742706
66,36,0.000954907
67,21,0.000557029
68,24,0.000636605
69,23,0.00061008
70,34,0.000901857
71,26,0.000689655
72,18,0.000477454
73,20,0.000530504
74,25,0.00066313
75,26,0.000689655
76,17,0.000450928
77,21,0.000557029
78,17,0.000450928
79,27,0.00071618
80,12,0.000318302
81,21,0.000557029
82,19,0.000503979
83,13,0.000344828
84,12,0.000318302
85,16,0.000424403
86,15,0.000397878
87,16,0.000424403
88,19,0.000503979
89,16,0.000424403
90,15,0.000397878
91,14,0.000371353
92,14,0.000371353
93,9,0.000238727
94,20,0.000530504
95,8,0.000212202
96,12,0.000318302
97,12,0.000318302
98,10,0.000265252
99,10,0.000265252
100,13,0.000344828
101,10,0.000265252
102,10,0.000265252
103,10,0.000265252
104,17,0.000450928
105,7,0.000185676
106,8,0.000212202
107,8,0.000212202
108,6,0.000159151
109,6,0.000159151
110,8,0.000212202
111,6,0.000159151
112,4,0.000106101
113,10,0.000265252
114,3,7.95756e-05
115,11,0.000291777
116,11,0.000291777
117,8,0.000212202
118,6,0.000159151
119,7,0.000185676
120,5,0.000132626
121,6,0.000159151
122,7,0.000185676
123,4,0.000106101
124,6,0.000159151
125,4,0.000106101
126,8,0.000212202
127,8,0.000212202
128,5,0.000132626
129,6,0.000159151
130,6,0.000159151
131,2,5.30504e-05
132,11,0.000291777
133,6,0.000159151
134,9,0.000238727
135,3,7.95756e-05
136,8,0.000212202
137,2,5.30504e-05
138,2,5.30504e-05
139,3,7.95756e-05
140,3,7.95756e-05
141,1,2.65252e-05
142,6,0.000159151
143,3,7.95756e-05
144,7,0.000185676
145,3,7.95756e-05
146,4,0.000106101
147,5,0.000132626
148,7,0.000185676
149,1,2.65252e-05
150,2,5.30504e-05
151,8,0.000212202
152,3,7.95756e-05
153,4,0.000106101
154,5,0.000132626
155,5,0.000132626
157,2,5.30504e-05
158,2,5.30504e-05
159,1,2.65252e-05
160,4,0.000106101
162,2,5.30504e-05
163,4,0.000106101
164,3,7.95756e-05
165,3,7.95756e-05
166,1,2.65252e-05
167,4,0.000106101
168,4,0.000106101
170,2,5.30504e-05
171,2,5.30504e-05
172,2,5.30504e-05
174,3,7.95756e-05
176,4,0.000106101
177,2,5.30504e-05
178,5,0.000132626
179,5,0.000132626
181,2,5.30504e-05
182,3,7.95756e-05
183,1,2.65252e-05
184,1,2.65252e-05
186,4,0.000106101
187,3,7.95756e-05
188,2,5.30504e-05
189,2,5.30504e-05
191,1,2.65252e-05
193,4,0.000106101
194,2,5.30504e-05
196,1,2.65252e-05
197,3,7.95756e-05
199,1,2.65252e-05
200,1,2.65252e-05
201,2,5.30504e-05
202,2,5.30504e-05
203,3,7.95756e-05
204,2,5.30504e-05
205,1,2.65252e-05
206,1,2.65252e-05
207,2,5.30504e-05
208,1,2.65252e-05
209,4,0.000106101
210,1,2.65252e-05
211,2,5.30504e-05
212,1,2.65252e-05
213,1,2.65252e-05
215,3,7.95756e-05
218,2,5.30504e-05
220,2,5.30504e-05
223,1,2.65252e-05
225,3,7.95756e-05
226,1,2.65252e-05
228,1,2.65252e-05
230,1,2.65252e-05
232,1,2.65252e-05
233,3,7.95756e-05
234,1,2.65252e-05
235,1,2.65252e-05
236,2,5.30504e-05
237,1,2.65252e-05
238,1,2.65252e-05
239,2,5.30504e-05
241,2,5.30504e-05
243,1,2.65252e-05
245,1,2.65252e-05
248,1,2.65252e-05
249,2,5.30504e-05
251,1,2.65252e-05
253,2,5.30504e-05
255,2,5.30504e-05
257,1,2.65252e-05
258,3,7.95756e-05
259,1,2.65252e-05
262,2,5.30504e-05
265,3,7.95756e-05
266,3,7.95756e-05
267,2,5.30504e-05
275,1,2.65252e-05
277,1,2.65252e-05
280,1,2.65252e-05
282,2,5.30504e-05
284,1,2.65252e-05
286,1,2.65252e-05
288,2,5.30504e-05
290,2,5.30504e-05
292,1,2.65252e-05
294,2,5.30504e-05
295,1,2.65252e-05
296,1,2.65252e-05
297,2,5.30504e-05
299,2,5.30504e-05
302,1,2.65252e-05
303,2,5.30504e-05
304,3,7.95756e-05
305,1,2.65252e-05
307,1,2.65252e-05
308,1,2.65252e-05
309,2,5.30504e-05
312,1,2.65252e-05
313,1,2.65252e-05
315,1,2.65252e-05
317,1,2.65252e-05
318,1,2.65252e-05
319,1,2.65252e-05
320,2,5.30504e-05
323,1,2.65252e-05
324,1,2.65252e-05
325,1,2.65252e-05
327,1,2.65252e-05
328,1,2.65252e-05
331,1,2.65252e-05
336,1,2.65252e-05
340,2,5.30504e-05
345,1,2.65252e-05
347,1,2.65252e-05
349,1,2.65252e-05
350,1,2.65252e-05
351,1,2.65252e-05
352,1,2.65252e-05
356,1,2.65252e-05
359,1,2.65252e-05
364,1,2.65252e-05
365,1,2.65252e-05
367,1,2.65252e-05
372,2,5.30504e-05
378,2,5.30504e-05
385,1,2.65252e-05
388,1,2.65252e-05
389,1,2.65252e-05
392,1,2.65252e-05
398,1,2.65252e-05
400,1,2.65252e-05
403,1,2.65252e-05
405,1,2.65252e-05
412,1,2.65252e-05
413,1,2.65252e-05
423,1,2.65252e-05
431,1,2.65252e-05
441,1,2.65252e-05
456,1,2.65252e-05
467,1,2.65252e-05
469,1,2.65252e-05
477,1,2.65252e-05
478,1,2.65252e-05
489,3,7.95756e-05
493,1,2.65252e-05
501,1,2.65252e-05
510,1,2.65252e-05
518,1,2.65252e-05
519,1,2.65252e-05
523,1,2.65252e-05
526,1,2.65252e-05
529,1,2.65252e-05
534,1,2.65252e-05
544,1,2.65252e-05
554,1,2.65252e-05
558,1,2.65252e-05
571,1,2.65252e-05
572,1,2.65252e-05
576,1,2.65252e-05
577,1,2.65252e-05
584,1,2.65252e-05
589,1,2.65252e-05
604,1,2.65252e-05
607,1,2.65252e-05
613,1,2.65252e-05
618,1,2.65252e-05
635,1,2.65252e-05
665,1,2.65252e-05
667,1,2.65252e-05
684,1,2.65252e-05
689,1,2.65252e-05
729,1,2.65252e-05
738,1,2.65252e-05
748,1,2.65252e-05
769,1,2.65252e-05
780,1,2.65252e-05
785,1,2.65252e-05
905,1,2.65252e-05
928,1,2.65252e-05
933,1,2.65252e-05
942,1,2.65252e-05
967,1,2.65252e-05
982,1,2.65252e-05
989,1,2.65252e-05
1016,1,2.65252e-05
1055,1,2.65252e-05
1240,1,2.65252e-05
1264,1,2.65252e-05
1267,1,2.65252e-05
1316,1,2.65252e-05
1347,1,2.65252e-05
1368,1,2.65252e-05
1404,1,2.65252e-05
1485,1,2.65252e-05
1507,1,2.65252e-05
1568,1,2.65252e-05
1571,1,2.65252e-05
1797,1,2.65252e-05
1924,1,2.65252e-05
2343,1,2.65252e-05
