k,count,prob
1,191,0.214848
2,143,0.160855
3,89,0.100112
4,80,0.0899888
5,58,0.0652418
6,45,0.0506187
7,33,0.0371204
8,40,0.0449944
9,30,0.0337458
10,22,0.0247469
11,20,0.0224972
12,16,0.0179978
13,15,0.0168729
14,16,0.0179978
15,4,0.00449944
16,13,0.0146232
17,7,0.00787402
18,9,0.0101237
19,10,0.0112486
20,4,0.00449944
21,5,0.0056243
22,7,0.00787402
23,1,0.00112486
24,5,0.0056243
25,1,0.00112486
26,3,0.00337458
27,2,0.00224972
31,2,0.00224972
32,2,0.00224972
33,1,0.00112486
34,1,0.00112486
35,1,0.00112486
36,1,0.00112486
37,2,0.00224972
43,2,0.00224972
49,1,0.00112486
50,1,0.00112486
55,1,0.00112486
56,1,0.00112486
60,1,0.00112486
66,1,0.00112486
92,1,0.00112486
102,1,0.00112486
