k,count,prob
1,690887,0.214847
2,425315,0.132261
3,319932,0.09949
4,251831,0.0783125
5,203214,0.0631939
6,165435,0.0514457
7,137106,0.0426362
8,114339,0.0355563
9,96277,0.0299395
10,81370,0.0253038
11,69885,0.0217323
12,60792,0.0189046
13,52107,0.0162038
14,45529,0.0141583
15,40398,0.0125627
16,35493,0.0110373
17,31198,0.00970172
18,27941,0.00868888
19,25200,0.0078365
20,22458,0.00698382
21,20526,0.00638302
22,18456,0.00573931
23,16772,0.00521563
24,15251,0.00474264
25,13786,0.00428706
26,12597,0.00391732
27,11616,0.00361225
28,10719,0.00333331
29,9807,0.00304971
30,9075,0.00282207
31,8415,0.00261683
32,7699,0.00239418
33,7196,0.00223776
34,6693,0.00208134
35,6162,0.00191621
36,5828,0.00181235
37,5434,0.00168982
38,5155,0.00160306
39,4715,0.00146623
40,4454,0.00138507
41,4301,0.00133749
42,3929,0.00122181
43,3723,0.00115775
44,3570,0.00111017
45,3416,0.00106228
46,3163,0.000983606
47,3034,0.00094349
48,2829,0.000879741
49,2618,0.000814126
50,2599,0.000808217
51,2421,0.000752864
52,2472,0.000768724
53,2254,0.000700932
54,2111,0.000656463
55,1880,0.000584628
56,1995,0.00062039
57,1810,0.00056286
58,1728,0.00053736
59,1640,0.000509995
60,1600,0.000497556
61,1650,0.000513104
62,1394,0.000433495
63,1335,0.000415148
64,1388,0.00043163
65,1298,0.000403642
66,1234,0.00038374
67,1230,0.000382496
68,1158,0.000360106
69,1036,0.000322167
70,997,0.000310039
71,1015,0.000315637
72,992,0.000308485
73,844,0.000262461
74,891,0.000277076
75,894,0.000278009
76,809,0.000251577
77,841,0.000261528
78,795,0.000247223
79,801,0.000249089
80,732,0.000227632
81,665,0.000206797
82,693,0.000215504
83,681,0.000211772
84,695,0.000216126
85,631,0.000196224
86,618,0.000192181
87,560,0.000174145
88,644,0.000200266
89,553,0.000171968
90,521,0.000162017
91,577,0.000179431
92,495,0.000153931
93,528,0.000164193
94,529,0.000164504
95,499,0.000155175
96,472,0.000146779
97,493,0.000153309
98,459,0.000142736
99,459,0.000142736
100,446,0.000138694
101,407,0.000126566
102,437,0.000135895
103,429,0.000133407
104,359,0.000111639
105,391,0.00012159
106,374,0.000116304
107,353,0.000109773
108,343,0.000106664
109,357,0.000111017
110,321,9.98221e-05
111,322,0.000100133
112,298,9.26698e-05
113,320,9.95112e-05
114,348,0.000108218
115,302,9.39136e-05
116,268,8.33406e-05
117,273,8.48955e-05
118,303,9.42246e-05
119,333,0.000103554
120,294,9.14259e-05
121,283,8.80052e-05
122,288,8.956e-05
123,254,7.8987e-05
124,256,7.96089e-05
125,243,7.55663e-05
126,226,7.02798e-05
127,246,7.64992e-05
128,226,7.02798e-05
129,245,7.61882e-05
130,235,7.30785e-05
131,198,6.15725e-05
132,214,6.65481e-05
133,208,6.46822e-05
134,189,5.87738e-05
135,209,6.49932e-05
136,215,6.68591e-05
