k,count,prob
1,130912,0.149492
2,109975,0.125583
3,74248,0.0847858
4,57733,0.0659269
5,47306,0.05402
6,39938,0.0456063
7,34399,0.0392811
8,32711,0.0373536
9,30368,0.034678
10,27464,0.0313619
11,25223,0.0288028
12,22423,0.0256054
13,19745,0.0225473
14,18464,0.0210845
15,16674,0.0190405
16,15277,0.0174452
17,13728,0.0156764
18,12020,0.013726
19,11105,0.0126811
20,10362,0.0118326
21,9355,0.0106827
22,8481,0.00968468
23,7724,0.00882024
24,7175,0.00819332
25,6562,0.00749332
26,5737,0.00655123
27,5603,0.00639821
28,5102,0.00582611
29,4690,0.00535564
30,4229,0.00482921
31,4099,0.00468076
32,3464,0.00395563
33,3283,0.00374895
34,3056,0.00348973
35,3078,0.00351485
36,2953,0.00337211
37,2806,0.00320425
38,2594,0.00296216
39,2214,0.00252823
40,2061,0.00235351
41,1643,0.00187619
42,1437,0.00164095
43,1300,0.0014845
44,1089,0.00124356
45,1047,0.0011956
46,1057,0.00120702
47,979,0.00111795
48,940,0.00107341
49,865,0.000987767
50,816,0.000931812
51,787,0.000898696
52,793,0.000905548
53,703,0.000802774
54,683,0.000779936
55,616,0.000703427
56,557,0.000636053
57,539,0.000615498
58,596,0.000680588
59,457,0.00052186
60,425,0.000485319
61,431,0.00049217
62,421,0.000480751
63,408,0.000465906
64,373,0.000425939
65,362,0.000413377
66,306,0.00034943
67,353,0.0004031
68,293,0.000334585
69,288,0.000328875
70,291,0.000332301
71,282,0.000322023
72,254,0.000290049
73,294,0.000335726
74,240,0.000274062
75,252,0.000287766
76,237,0.000270637
77,195,0.000222676
78,196,0.000223818
79,198,0.000226101
80,210,0.000239805
81,206,0.000235237
82,185,0.000211256
83,168,0.000191844
84,164,0.000187276
85,184,0.000210115
86,155,0.000176999
87,161,0.00018385
88,153,0.000174715
89,131,0.000149592
90,127,0.000145025
91,160,0.000182708
92,117,0.000133605
93,135,0.00015416
94,138,0.000157586
95,128,0.000146167
96,125,0.000142741
97,101,0.000115335
98,128,0.000146167
99,113,0.000129038
100,133,0.000151876
101,105,0.000119902
102,88,0.00010049
103,94,0.000107341
104,90,0.000102773
105,85,9.70638e-05
106,105,0.000119902
107,83,9.47799e-05
108,93,0.000106199
109,83,9.47799e-05
110,100,0.000114193
111,63,7.19414e-05
112,85,9.70638e-05
113,72,8.22187e-05
114,60,6.85156e-05
115,61,6.96575e-05
116,76,8.67864e-05
117,68,7.7651e-05
118,73,8.33606e-05
119,60,6.85156e-05
120,60,6.85156e-05
121,72,8.22187e-05
122,55,6.2806e-05
123,72,8.22187e-05
124,45,5.13867e-05
125,47,5.36706e-05
126,57,6.50898e-05
127,44,5.02448e-05
128,50,5.70963e-05
129,50,5.70963e-05
130,55,6.2806e-05
131,37,4.22513e-05
132,48,5.48125e-05
133,39,4.45351e-05
134,37,4.22513e-05
135,32,3.65417e-05
136,49,5.59544e-05
137,46,5.25286e-05
138,45,5.13867e-05
139,44,5.02448e-05
140,24,2.74062e-05
141,36,4.11094e-05
142,24,2.74062e-05
143,34,3.88255e-05
144,21,2.39805e-05
145,31,3.53997e-05
146,40,4.56771e-05
147,39,4.45351e-05
148,22,2.51224e-05
149,30,3.42578e-05
150,39,4.45351e-05
151,37,4.22513e-05
152,30,3.42578e-05
153,37,4.22513e-05
154,24,2.74062e-05
155,32,3.65417e-05
156,31,3.53997e-05
157,32,3.65417e-05
158,22,2.51224e-05
159,33,3.76836e-05
160,19,2.16966e-05
161,22,2.51224e-05
162,26,2.96901e-05
163,23,2.62643e-05
164,22,2.51224e-05
165,22,2.51224e-05
166,17,1.94128e-05
167,18,2.05547e-05
168,15,1.71289e-05
169,11,1.25612e-05
170,17,1.94128e-05
171,17,1.94128e-05
172,11,1.25612e-05
173,26,2.96901e-05
174,22,2.51224e-05
175,26,2.96901e-05
176,13,1.4845e-05
177,18,2.05547e-05
178,9,1.02773e-05
179,15,1.71289e-05
180,11,1.25612e-05
181,11,1.25612e-05
182,16,1.82708e-05
183,15,1.71289e-05
184,16,1.82708e-05
185,14,1.5987e-05
186,14,1.5987e-05
187,14,1.5987e-05
188,10,1.14193e-05
189,13,1.4845e-05
190,17,1.94128e-05
191,10,1.14193e-05
192,10,1.14193e-05
193,19,2.16966e-05
194,18,2.05547e-05
195,10,1.14193e-05
196,11,1.25612e-05
197,10,1.14193e-05
198,14,1.5987e-05
199,9,1.02773e-05
200,8,9.13541e-06
201,14,1.5987e-05
202,16,1.82708e-05
203,13,1.4845e-05
204,11,1.25612e-05
205,13,1.4845e-05
206,7,7.99349e-06
207,17,1.94128e-05
208,9,1.02773e-05
209,10,1.14193e-05
210,9,1.02773e-05
211,15,1.71289e-05
212,18,2.05547e-05
213,16,1.82708e-05
214,11,1.25612e-05
215,10,1.14193e-05
216,10,1.14193e-05
217,11,1.25612e-05
218,14,1.5987e-05
219,14,1.5987e-05
220,14,1.5987e-05
221,11,1.25612e-05
222,11,1.25612e-05
223,10,1.14193e-05
224,12,1.37031e-05
225,7,7.99349e-06
226,6,6.85156e-06
227,11,1.25612e-05
228,15,1.71289e-05
229,13,1.4845e-05
230,6,6.85156e-06
231,7,7.99349e-06
232,5,5.70963e-06
233,6,6.85156e-06
234,5,5.70963e-06
235,8,9.13541e-06
236,5,5.70963e-06
237,9,1.02773e-05
238,7,7.99349e-06
239,4,4.56771e-06
240,8,9.13541e-06
241,3,3.42578e-06
242,6,6.85156e-06
243,7,7.99349e-06
244,5,5.70963e-06
245,7,7.99349e-06
246,4,4.56771e-06
247,5,5.70963e-06
248,6,6.85156e-06
249,7,7.99349e-06
250,4,4.56771e-06
251,3,3.42578e-06
252,9,1.02773e-05
253,7,7.99349e-06
254,6,6.85156e-06
255,8,9.13541e-06
256,5,5.70963e-06
257,5,5.70963e-06
258,11,1.25612e-05
259,5,5.70963e-06
260,5,5.70963e-06
261,3,3.42578e-06
262,3,3.42578e-06
263,5,5.70963e-06
264,7,7.99349e-06
265,1,1.14193e-06
266,9,1.02773e-05
267,5,5.70963e-06
268,8,9.13541e-06
269,3,3.42578e-06
270,10,1.14193e-05
271,8,9.13541e-06
272,7,7.99349e-06
273,6,6.85156e-06
274,6,6.85156e-06
275,3,3.42578e-06
276,3,3.42578e-06
277,2,2.28385e-06
278,7,7.99349e-06
279,8,9.13541e-06
280,5,5.70963e-06
281,3,3.42578e-06
282,4,4.56771e-06
283,7,7.99349e-06
284,9,1.02773e-05
285,3,3.42578e-06
286,6,6.85156e-06
287,9,1.02773e-05
288,3,3.42578e-06
289,3,3.42578e-06
290,8,9.13541e-06
291,6,6.85156e-06
292,7,7.99349e-06
293,2,2.28385e-06
294,7,7.99349e-06
295,1,1.14193e-06
296,1,1.14193e-06
297,3,3.42578e-06
298,1,1.14193e-06
299,3,3.42578e-06
300,6,6.85156e-06
301,6,6.85156e-06
302,3,3.42578e-06
303,2,2.28385e-06
304,3,3.42578e-06
305,3,3.42578e-06
306,4,4.56771e-06
307,9,1.02773e-05
308,5,5.70963e-06
309,3,3.42578e-06
310,6,6.85156e-06
311,6,6.85156e-06
312,4,4.56771e-06
313,6,6.85156e-06
314,2,2.28385e-06
315,3,3.42578e-06
316,3,3.42578e-06
318,6,6.85156e-06
319,2,2.28385e-06
320,5,5.70963e-06
321,5,5.70963e-06
322,3,3.42578e-06
323,2,2.28385e-06
324,3,3.42578e-06
325,1,1.14193e-06
326,1,1.14193e-06
328,4,4.56771e-06
329,1,1.14193e-06
330,4,4.56771e-06
332,3,3.42578e-06
333,3,3.42578e-06
334,3,3.42578e-06
335,3,3.42578e-06
336,1,1.14193e-06
337,2,2.28385e-06
338,1,1.14193e-06
339,5,5.70963e-06
340,4,4.56771e-06
341,2,2.28385e-06
342,2,2.28385e-06
343,1,1.14193e-06
344,1,1.14193e-06
345,2,2.28385e-06
346,1,1.14193e-06
347,2,2.28385e-06
348,3,3.42578e-06
349,1,1.14193e-06
