k,count,prob
1,161115,0.494629
2,34566,0.106119
3,21441,0.0658247
4,19794,0.0607683
5,9994,0.0306819
6,15300,0.0469716
7,7990,0.0245296
8,6945,0.0213214
9,5466,0.0167808
10,4584,0.014073
11,3497,0.0107359
12,3019,0.00926844
13,3194,0.0098057
14,2296,0.0070488
15,1756,0.00539098
16,1776,0.00545239
17,1191,0.00365641
18,1233,0.00378536
19,1137,0.00349063
20,973,0.00298715
21,632,0.00194026
22,999,0.00306697
23,438,0.00134468
24,451,0.00138459
25,441,0.00135389
26,337,0.0010346
27,717,0.00220122
28,777,0.00238542
29,271,0.00083198
30,970,0.00297794
31,529,0.00162405
32,206,0.000632428
33,459,0.00140915
34,789,0.00242226
35,490,0.00150432
36,313,0.000960922
37,738,0.00226569
38,129,0.000396035
39,162,0.000497346
40,453,0.00139073
41,146,0.000448225
42,759,0.00233016
43,95,0.000291653
44,122,0.000374544
45,77,0.000236393
46,449,0.00137845
47,110,0.000337704
48,474,0.0014552
49,70,0.000214903
50,83,0.000254813
51,47,0.000144292
52,67,0.000205692
53,48,0.000147362
54,495,0.00151967
55,39,0.000119731
56,503,0.00154423
57,48,0.000147362
58,521,0.00159949
59,73,0.000224113
60,35,0.000107451
61,141,0.000432875
62,43,0.000132012
63,28,8.5961e-05
64,41,0.000125872
65,39,0.000119731
66,33,0.000101311
67,39,0.000119731
68,29,8.90311e-05
69,33,0.000101311
70,42,0.000128942
71,28,8.5961e-05
72,621,0.00190649
73,44,0.000135082
74,19,5.83307e-05
75,20,6.14007e-05
76,18,5.52607e-05
77,18,5.52607e-05
78,23,7.06108e-05
79,14,4.29805e-05
80,10,3.07004e-05
81,25,7.67509e-05
82,16,4.91206e-05
83,33,0.000101311
84,11,3.37704e-05
85,18,5.52607e-05
86,15,4.60506e-05
87,44,0.000135082
88,13,3.99105e-05
89,15,4.60506e-05
90,22,6.75408e-05
91,16,4.91206e-05
92,21,6.44708e-05
93,11,3.37704e-05
94,26,7.9821e-05
95,25,7.67509e-05
96,15,4.60506e-05
97,9,2.76303e-05
98,9,2.76303e-05
99,11,3.37704e-05
100,28,8.5961e-05
101,7,2.14903e-05
102,15,4.60506e-05
103,11,3.37704e-05
104,7,2.14903e-05
105,8,2.45603e-05
106,10,3.07004e-05
107,13,3.99105e-05
108,7,2.14903e-05
109,7,2.14903e-05
110,10,3.07004e-05
111,6,1.84202e-05
112,4,1.22801e-05
113,9,2.76303e-05
114,13,3.99105e-05
115,13,3.99105e-05
116,12,3.68404e-05
117,3,9.21011e-06
118,1,3.07004e-06
119,11,3.37704e-05
120,9,2.76303e-05
121,9,2.76303e-05
122,5,1.53502e-05
124,6,1.84202e-05
125,6,1.84202e-05
126,8,2.45603e-05
127,4,1.22801e-05
128,4,1.22801e-05
129,3,9.21011e-06
130,5,1.53502e-05
131,2,6.14007e-06
132,6,1.84202e-05
133,4,1.22801e-05
134,4,1.22801e-05
135,4,1.22801e-05
136,3,9.21011e-06
137,2,6.14007e-06
138,5,1.53502e-05
139,13,3.99105e-05
140,2,6.14007e-06
141,6,1.84202e-05
142,3,9.21011e-06
145,4,1.22801e-05
146,1,3.07004e-06
147,6,1.84202e-05
148,8,2.45603e-05
149,5,1.53502e-05
150,4,1.22801e-05
151,1,3.07004e-06
153,3,9.21011e-06
155,3,9.21011e-06
156,1202,0.00369018
157,154,0.000472786
158,2,6.14007e-06
159,2,6.14007e-06
160,4,1.22801e-05
161,3,9.21011e-06
162,3,9.21011e-06
163,1,3.07004e-06
164,1,3.07004e-06
166,2,6.14007e-06
167,10,3.07004e-05
168,3,9.21011e-06
169,2,6.14007e-06
170,3,9.21011e-06
171,1,3.07004e-06
173,9,2.76303e-05
174,7,2.14903e-05
175,2,6.14007e-06
176,3,9.21011e-06
177,2,6.14007e-06
178,2,6.14007e-06
179,4,1.22801e-05
180,3,9.21011e-06
181,4,1.22801e-05
182,2,6.14007e-06
183,3,9.21011e-06
184,4,1.22801e-05
185,2,6.14007e-06
187,3,9.21011e-06
189,5,1.53502e-05
190,3,9.21011e-06
191,1,3.07004e-06
192,2,6.14007e-06
193,4,1.22801e-05
194,2,6.14007e-06
195,1,3.07004e-06
198,9,2.76303e-05
199,4,1.22801e-05
200,2,6.14007e-06
201,3,9.21011e-06
202,3,9.21011e-06
203,3,9.21011e-06
204,6,1.84202e-05
205,4,1.22801e-05
206,5,1.53502e-05
207,1,3.07004e-06
208,1,3.07004e-06
209,4,1.22801e-05
210,2,6.14007e-06
211,4,1.22801e-05
212,1,3.07004e-06
214,5,1.53502e-05
215,3,9.21011e-06
218,2,6.14007e-06
219,2,6.14007e-06
220,3,9.21011e-06
221,2,6.14007e-06
223,2,6.14007e-06
225,1,3.07004e-06
226,3,9.21011e-06
227,2,6.14007e-06
228,1,3.07004e-06
229,1,3.07004e-06
230,1,3.07004e-06
231,2,6.14007e-06
232,2,6.14007e-06
233,2,6.14007e-06
234,1,3.07004e-06
235,3,9.21011e-06
238,1,3.07004e-06
239,1,3.07004e-06
240,1,3.07004e-06
242,3,9.21011e-06
243,5,1.53502e-05
244,3,9.21011e-06
247,2,6.14007e-06
249,1,3.07004e-06
250,5,1.53502e-05
251,1,3.07004e-06
252,5,1.53502e-05
253,2,6.14007e-06
254,3,9.21011e-06
256,1,3.07004e-06
258,4,1.22801e-05
259,2,6.14007e-06
262,1,3.07004e-06
264,2,6.14007e-06
265,1,3.07004e-06
266,1,3.07004e-06
267,3,9.21011e-06
268,1,3.07004e-06
269,1,3.07004e-06
270,4,1.22801e-05
271,1,3.07004e-06
272,2,6.14007e-06
273,1,3.07004e-06
275,3,9.21011e-06
278,1,3.07004e-06
279,1,3.07004e-06
280,1,3.07004e-06
282,2,6.14007e-06
283,3,9.21011e-06
284,1,3.07004e-06
286,1,3.07004e-06
287,1,3.07004e-06
288,2,6.14007e-06
292,1,3.07004e-06
293,1,3.07004e-06
294,1,3.07004e-06
295,3,9.21011e-06
296,2,6.14007e-06
297,2,6.14007e-06
300,2,6.14007e-06
301,1,3.07004e-06
304,2,6.14007e-06
307,1,3.07004e-06
311,1,3.07004e-06
312,1,3.07004e-06
314,1,3.07004e-06
315,1,3.07004e-06
321,1,3.07004e-06
322,2,6.14007e-06
324,2,6.14007e-06
325,1,3.07004e-06
337,9,2.76303e-05
341,1,3.07004e-06
346,2,6.14007e-06
347,1,3.07004e-06
350,1,3.07004e-06
352,1,3.07004e-06
358,2,6.14007e-06
361,1,3.07004e-06
365,1,3.07004e-06
366,1,3.07004e-06
367,1,3.07004e-06
371,1,3.07004e-06
372,1,3.07004e-06
375,1,3.07004e-06
378,1,3.07004e-06
380,1,3.07004e-06
382,1,3.07004e-06
383,1,3.07004e-06
384,1,3.07004e-06
386,1,3.07004e-06
389,2,6.14007e-06
396,2,6.14007e-06
397,1,3.07004e-06
398,1,3.07004e-06
399,1,3.07004e-06
401,1,3.07004e-06
402,1,3.07004e-06
407,1,3.07004e-06
413,1,3.07004e-06
414,1,3.07004e-06
415,1,3.07004e-06
416,1,3.07004e-06
425,1,3.07004e-06
428,1,3.07004e-06
429,3,9.21011e-06
430,1,3.07004e-06
434,1,3.07004e-06
435,1,3.07004e-06
446,1,3.07004e-06
453,10,3.07004e-05
455,1,3.07004e-06
458,1,3.07004e-06
467,2,6.14007e-06
468,1,3.07004e-06
469,1,3.07004e-06
470,1,3.07004e-06
475,1,3.07004e-06
477,1,3.07004e-06
484,1,3.07004e-06
488,1,3.07004e-06
496,1,3.07004e-06
498,4,1.22801e-05
500,1,3.07004e-06
501,2,6.14007e-06
502,2,6.14007e-06
505,1,3.07004e-06
514,1,3.07004e-06
519,1,3.07004e-06
520,1,3.07004e-06
524,2,6.14007e-06
525,1,3.07004e-06
526,1,3.07004e-06
528,3,9.21011e-06
529,5,1.53502e-05
530,2,6.14007e-06
533,2,6.14007e-06
534,1,3.07004e-06
535,1,3.07004e-06
536,1,3.07004e-06
538,1,3.07004e-06
542,1,3.07004e-06
545,1,3.07004e-06
547,1,3.07004e-06
550,1,3.07004e-06
552,2,6.14007e-06
557,2,6.14007e-06
559,1,3.07004e-06
560,1,3.07004e-06
563,2,6.14007e-06
582,1,3.07004e-06
586,3,9.21011e-06
589,9,2.76303e-05
590,4,1.22801e-05
605,1,3.07004e-06
614,1,3.07004e-06
615,1,3.07004e-06
616,3,9.21011e-06
617,1,3.07004e-06
