k,count,prob
1,13991,0.0496305
2,30965,0.109843
3,29496,0.104632
4,26101,0.0925886
5,29620,0.105072
6,34523,0.122464
7,17460,0.0619362
8,10127,0.0359237
9,7439,0.0263885
10,5579,0.0197905
11,9345,0.0331497
12,7090,0.0251505
13,2908,0.0103156
14,2462,0.0087335
15,2869,0.0101773
16,4295,0.0152357
17,2610,0.0092585
18,1941,0.00688535
19,4728,0.0167717
20,1550,0.00549835
21,1204,0.00427097
22,1157,0.00410425
23,1538,0.00545578
24,1069,0.00379208
25,3541,0.0125611
26,936,0.00332029
27,861,0.00305424
28,767,0.00272079
29,848,0.00300813
30,847,0.00300458
31,834,0.00295846
32,947,0.00335931
33,916,0.00324934
34,1204,0.00427097
35,2583,0.00916273
36,1398,0.00495915
37,1915,0.00679312
38,1609,0.00570764
39,444,0.00157501
40,434,0.00153954
41,330,0.00117062
42,274,0.000971966
43,324,0.00114933
44,289,0.00102518
45,267,0.000947134
46,251,0.000890377
47,264,0.000936492
48,364,0.00129122
49,686,0.00243346
50,989,0.0035083
51,945,0.00335222
52,290,0.00102872
53,235,0.00083362
54,180,0.000638518
55,179,0.00063497
56,228,0.000808789
57,176,0.000624328
58,118,0.000418584
59,110,0.000390205
60,224,0.0007946
61,311,0.00110322
62,248,0.000879735
63,175,0.000620781
64,102,0.000361827
65,126,0.000446962
66,96,0.000340543
67,110,0.000390205
68,86,0.000305069
69,76,0.000269596
70,78,0.000276691
71,87,0.000308617
72,98,0.000347637
73,63,0.000223481
74,54,0.000191555
75,92,0.000326353
76,67,0.00023767
77,73,0.000258954
78,60,0.000212839
79,66,0.000234123
80,73,0.000258954
81,47,0.000166724
82,41,0.00014544
83,45,0.000159629
84,35,0.000124156
85,47,0.000166724
86,33,0.000117062
87,29,0.000102872
88,33,0.000117062
89,52,0.000184461
90,35,0.000124156
91,44,0.000156082
92,35,0.000124156
93,31,0.000109967
94,27,9.57776e-05
95,36,0.000127704
96,40,0.000141893
97,30,0.00010642
98,35,0.000124156
99,82,0.00029088
100,67,0.00023767
101,46,0.000163177
102,19,6.73991e-05
103,26,9.22303e-05
104,28,9.93249e-05
105,45,0.000159629
106,22,7.8041e-05
107,19,6.73991e-05
108,26,9.22303e-05
109,19,6.73991e-05
110,24,8.51357e-05
111,11,3.90205e-05
112,25,8.8683e-05
113,20,7.09464e-05
114,29,0.000102872
115,15,5.32098e-05
116,16,5.67571e-05
117,18,6.38518e-05
118,8,2.83786e-05
119,17,6.03044e-05
120,16,5.67571e-05
121,16,5.67571e-05
122,22,7.8041e-05
123,17,6.03044e-05
124,15,5.32098e-05
125,9,3.19259e-05
126,8,2.83786e-05
127,15,5.32098e-05
128,20,7.09464e-05
129,11,3.90205e-05
130,8,2.83786e-05
131,12,4.25678e-05
132,9,3.19259e-05
133,8,2.83786e-05
134,10,3.54732e-05
135,5,1.77366e-05
136,8,2.83786e-05
137,8,2.83786e-05
138,5,1.77366e-05
139,4,1.41893e-05
140,5,1.77366e-05
141,11,3.90205e-05
142,5,1.77366e-05
143,6,2.12839e-05
144,10,3.54732e-05
145,7,2.48312e-05
146,9,3.19259e-05
147,4,1.41893e-05
148,10,3.54732e-05
