Metric,data/CA-AstroPh.txt,data/CA-GrQc.txt,data/Email-EuAll.txt,data/digraph_1.txt,data/digraph_2.txt,data/digraph_3.txt,data/graph_0.txt,data/graph_1.txt,data/graph_2.txt,data/graph_3.txt,data/graph_4.txt,data/graph_5.txt,data/graph_6.txt,data/graph_7.txt,data/graph_8.txt,test_graph.txt
Number of nodes,18772,5242,265214,1000,1000,1000,34,962,3075,864,955,991,999,1000,1000,14
Number of edges,396160,28980,420045,5062,4053,2947,78,18812,124610,995,1447,2490,3737,5038,49852,16
Graph density,0.00225,0.00211,1e-05,0.00507,0.00406,0.00295,0.13904,0.0407,0.02637,0.00267,0.00318,0.00508,0.0075,0.01009,0.0998,0.17582
Number of weakly connected components,290,355,15836,10,24,45,1,1,4,28,5,1,1,1,1,3
Share of nodes in largest weak component,0.95371,0.79321,0.84774,0.991,0.976,0.956,1.0,1.0,0.99805,0.90625,0.99162,1.0,1.0,1.0,1.0,0.57143
Number of strongly connected components,,,,17,43,101,,,,,,,,,,
Share of nodes in largest strong component,,,,0.984,0.956,0.894,,,,,,,,,,
Diameter via double BFS,14,17,14,5,5,7,5,6,7,19,12,8,6,5,2,4
Estimated diameter from sample,6,9,2,8,10,13,5,7,8,53,35,14,10,8,3,4
90th percentile distance (sample),5.0,6.0,2.0,5.0,6.0,8.0,4.0,3.0,4.0,29.0,21.0,9.0,6.0,5.0,2.0,3.0
Estimated diameter from snowball,3,4,2,3,3,4,3,2,2,9,6,4,4,3,2,3
90th percentile distance (snowball),3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,9.0,6.0,4.0,4.0,3.0,2.0,2.3
Number of triangles,1352469,48283,362721,169,86,34,45,97137,1119231,2,3,24,71,163,165334,1
Average local clustering coefficient,0.63078,0.53019,0.06724,0.01036,0.00905,0.00603,0.57064,0.31836,0.28163,0.00181,0.0022,0.00546,0.0079,0.0096,0.09992,0.11905
Global clustering coefficient,0.31817,0.62995,0.00556,0.01001,0.00796,0.00591,0.25568,0.22071,0.21084,0.00301,0.00218,0.00574,0.00767,0.00959,0.09988,0.13636
Average clustering coefficient of largest weak component,0.63302,0.55705,0.07927,0.01036,0.00905,0.00603,0.57064,0.31836,0.28218,0.002,0.00222,0.00546,0.0079,0.0096,0.09992,0.0
Minimum degree,1,1,1,3,1,1,1,1,1,1,1,1,1,1,70,1
Maximum degree,504,81,7636,21,17,16,17,313,473,8,10,14,19,23,133,3
Average degree,21.10377,5.52842,2.75269,10.098,8.078,5.888,4.58824,39.11019,81.04715,2.30324,3.03037,5.02523,7.48148,10.076,99.704,2.21429
Random removal 10%,0.8912472769926828,0.8434343434343434,0.7990766438941076,0.9,0.9,0.9,0.9117647058823529,0.9002079002079002,0.8983382209188661,0.7994891443167306,0.8753959873284055,0.893037336024218,0.9009009009009009,0.9,0.9,0.875
Degree-based removal 10%,0.8558900742892253,0.6262626262626263,1.779106177056647e-05,0.9,0.897,0.894,0.5882352941176471,0.8918918918918919,0.895405669599218,0.23499361430395913,0.7983104540654699,0.8869828456104945,0.8998998998998999,0.899,0.9,1.0
Random removal 20%,0.7750656314584148,0.7068302068302068,0.6450816609735269,0.799,0.8,0.794,0.8235294117647058,0.7952182952182952,0.7970022808732486,0.6564495530012772,0.7465681098204857,0.786074672048436,0.7987987987987988,0.8,0.8,0.875
Degree-based removal 20%,0.6871474054627716,0.008417508417508417,8.895530885283234e-06,0.8,0.792,0.78,0.23529411764705882,0.7848232848232848,0.7904855001629195,0.019157088122605363,0.4625131995776135,0.763874873864783,0.7947947947947948,0.799,0.8,1.0
Random removal 30%,0.6590515556052058,0.5757575757575758,0.49514304013663535,0.7,0.698,0.689,0.7058823529411765,0.6923076923076923,0.6943629846855653,0.4929757343550447,0.6082365364308342,0.6851664984863775,0.6946946946946947,0.698,0.7,0.75
Degree-based removal 30%,0.4593084957828297,0.0026455026455026454,8.895530885283234e-06,0.699,0.687,0.654,0.14705882352941177,0.6632016632016632,0.6842619745845552,0.010217113665389528,0.0665258711721225,0.5963673057517659,0.6836836836836837,0.698,0.7,0.5
Random removal 40%,0.5513042506842428,0.42664742664742666,0.40916328636493027,0.599,0.597,0.584,0.5294117647058824,0.5945945945945946,0.5933528836754643,0.26947637292464877,0.4424498416050686,0.5671039354187689,0.5965965965965966,0.597,0.6,0.625
Degree-based removal 40%,0.157683069876557,0.001924001924001924,8.895530885283234e-06,0.592,0.565,0.466,0.08823529411764706,0.5478170478170478,0.5783642880417074,0.007662835249042145,0.011615628299894404,0.24117053481331988,0.5635635635635635,0.592,0.6,0.25
Random removal 50%,0.4447299335306932,0.31192881192881194,0.3078698761742101,0.496,0.492,0.476,0.2647058823529412,0.49064449064449067,0.49136526555881394,0.070242656449553,0.25448785638859556,0.437941473259334,0.48848848848848847,0.495,0.5,0.375
Degree-based removal 50%,0.005027090431771211,0.0012025012025012026,8.895530885283234e-06,0.48,0.43,0.203,0.058823529411764705,0.4002079002079002,0.472792440534376,0.005108556832694764,0.007391763463569166,0.04339051463168517,0.37537537537537535,0.478,0.5,0.25
Random removal 60%,0.3272077305479529,0.20562770562770563,0.15339453458582408,0.388,0.368,0.356,0.38235294117647056,0.3814968814968815,0.3936135549038775,0.022988505747126436,0.14783526927138332,0.30171543895055497,0.36736736736736736,0.393,0.4,0.375
Degree-based removal 60%,0.000726135284589175,0.0007215007215007215,8.895530885283234e-06,0.345,0.176,0.03,0.029411764705882353,0.21725571725571727,0.35842293906810035,0.0038314176245210726,0.0031678986272439284,0.008072653884964682,0.12212212212212212,0.349,0.4,0.25
Random removal 70%,0.22633078255041056,0.11159211159211159,0.09952319954454882,0.281,0.261,0.24,0.17647058823529413,0.28482328482328484,0.28967090257412836,0.016602809706257982,0.011615628299894404,0.14934409687184663,0.2552552552552553,0.279,0.3,0.25
Degree-based removal 70%,0.00039099592247109424,0.0007215007215007215,8.895530885283234e-06,0.135,0.025,0.008,0.029411764705882353,0.09251559251559252,0.22124470511567285,0.002554278416347382,0.0031678986272439284,0.0030272452068617556,0.011011011011011011,0.067,0.3,0.125
Random removal 80%,0.12930793721722617,0.014911014911014911,0.04233827924850555,0.163,0.15,0.053,0.08823529411764706,0.17567567567567569,0.19126751384815902,0.006385696040868455,0.010559662090813094,0.0615539858728557,0.08708708708708708,0.149,0.2,0.25
Degree-based removal 80%,0.00022342624141205385,0.000481000481000481,8.895530885283234e-06,0.009,0.005,0.003,0.029411764705882353,0.012474012474012475,0.06549364613880743,0.002554278416347382,0.0021119324181626186,0.0030272452068617556,0.005005005005005005,0.01,0.2,0.125
Random removal 90%,0.044294252359939675,0.003367003367003367,0.016185418445772842,0.009,0.017,0.006,0.08823529411764706,0.0841995841995842,0.08895405669599218,0.002554278416347382,0.004223864836325237,0.006054490413723511,0.03403403403403404,0.008,0.1,0.125
Degree-based removal 90%,0.0001675696810590404,0.000481000481000481,8.895530885283234e-06,0.004,0.003,0.002,0.029411764705882353,0.004158004158004158,0.0019550342130987292,0.002554278416347382,0.0021119324181626186,0.0030272452068617556,0.002002002002002002,0.002,0.1,0.125
Random removal 100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
