graph_id,directed,degree_k,count_nodes,probability,log_k,log_prob
txt.txt,directed,1,349,0.000399,0.000000,-3.399536
txt.txt,directed,2,262,0.000299,0.301030,-3.524061
txt.txt,directed,3,212,0.000242,0.477121,-3.616026
txt.txt,directed,4,242,0.000276,0.602060,-3.558546
txt.txt,directed,5,217,0.000248,0.698970,-3.605902
txt.txt,directed,6,204,0.000233,0.778151,-3.632732
txt.txt,directed,7,198,0.000226,0.845098,-3.645697
txt.txt,directed,8,231,0.000264,0.903090,-3.578750
txt.txt,directed,9,219,0.000250,0.954243,-3.601918
txt.txt,directed,10,228,0.000260,1.000000,-3.584427
txt.txt,directed,11,208,0.000238,1.041393,-3.624298
txt.txt,directed,12,193,0.000220,1.079181,-3.656804
txt.txt,directed,13,195,0.000223,1.113943,-3.652327
txt.txt,directed,14,165,0.000188,1.146128,-3.724878
txt.txt,directed,15,143,0.000163,1.176091,-3.787026
txt.txt,directed,16,172,0.000196,1.204120,-3.706833
txt.txt,directed,17,160,0.000183,1.230449,-3.738242
txt.txt,directed,18,175,0.000200,1.255273,-3.699324
txt.txt,directed,19,196,0.000224,1.278754,-3.650106
txt.txt,directed,20,110,0.000126,1.301030,-3.900969
txt.txt,directed,21,60,0.000069,1.322219,-4.164211
txt.txt,directed,22,61,0.000070,1.342423,-4.157032
txt.txt,directed,23,36,0.000041,1.361728,-4.386059
txt.txt,directed,24,46,0.000053,1.380211,-4.279604
txt.txt,directed,25,31,0.000035,1.397940,-4.451000
txt.txt,directed,26,20,0.000023,1.414973,-4.641332
txt.txt,directed,27,18,0.000021,1.431364,-4.687089
txt.txt,directed,28,9,0.000010,1.447158,-4.988119
txt.txt,directed,29,9,0.000010,1.462398,-4.988119
txt.txt,directed,30,7,0.000008,1.477121,-5.097264
txt.txt,directed,31,9,0.000010,1.491362,-4.988119
txt.txt,directed,32,12,0.000014,1.505150,-4.863181
txt.txt,directed,33,4,0.000005,1.518514,-5.340302
txt.txt,directed,34,5,0.000006,1.531479,-5.243392
txt.txt,directed,35,6,0.000007,1.544068,-5.164211
txt.txt,directed,36,3,0.000003,1.556303,-5.465241
txt.txt,directed,37,2,0.000002,1.568202,-5.641332
txt.txt,directed,38,6,0.000007,1.579784,-5.164211
txt.txt,directed,39,2,0.000002,1.591065,-5.641332
txt.txt,directed,40,1,0.000001,1.602060,-5.942362
txt.txt,directed,42,5,0.000006,1.623249,-5.243392
txt.txt,directed,44,1,0.000001,1.643453,-5.942362
txt.txt,directed,45,1,0.000001,1.653213,-5.942362
txt.txt,directed,46,4,0.000005,1.662758,-5.340302
txt.txt,directed,47,1,0.000001,1.672098,-5.942362
txt.txt,directed,49,3,0.000003,1.690196,-5.465241
txt.txt,directed,51,1,0.000001,1.707570,-5.942362
txt.txt,directed,52,4,0.000005,1.716003,-5.340302
txt.txt,directed,53,1,0.000001,1.724276,-5.942362
txt.txt,directed,54,3,0.000003,1.732394,-5.465241
txt.txt,directed,55,3,0.000003,1.740363,-5.465241
txt.txt,directed,56,1,0.000001,1.748188,-5.942362
txt.txt,directed,58,1,0.000001,1.763428,-5.942362
txt.txt,directed,61,1,0.000001,1.785330,-5.942362
txt.txt,directed,63,1,0.000001,1.799341,-5.942362
txt.txt,directed,66,1,0.000001,1.819544,-5.942362
txt.txt,directed,68,1,0.000001,1.832509,-5.942362
txt.txt,directed,69,2,0.000002,1.838849,-5.641332
txt.txt,directed,70,1,0.000001,1.845098,-5.942362
txt.txt,directed,71,1,0.000001,1.851258,-5.942362
txt.txt,directed,75,2,0.000002,1.875061,-5.641332
txt.txt,directed,76,2,0.000002,1.880814,-5.641332
txt.txt,directed,82,1,0.000001,1.913814,-5.942362
txt.txt,directed,83,1,0.000001,1.919078,-5.942362
txt.txt,directed,84,1,0.000001,1.924279,-5.942362
txt.txt,directed,90,1,0.000001,1.954243,-5.942362
txt.txt,directed,93,1,0.000001,1.968483,-5.942362
txt.txt,directed,94,1,0.000001,1.973128,-5.942362
txt.txt,directed,96,1,0.000001,1.982271,-5.942362
txt.txt,directed,101,1,0.000001,2.004321,-5.942362
txt.txt,directed,111,1,0.000001,2.045323,-5.942362
txt.txt,directed,122,1,0.000001,2.086360,-5.942362
txt.txt,directed,130,1,0.000001,2.113943,-5.942362
txt.txt,directed,163,1,0.000001,2.212188,-5.942362
txt.txt,directed,191,1,0.000001,2.281033,-5.942362
txt.txt,directed,210,1,0.000001,2.322219,-5.942362
txt.txt,directed,330,1,0.000001,2.518514,-5.942362
txt.txt,directed,372,2,0.000002,2.570543,-5.641332
