время загрузки графа,54 ms
количество вершин,5242
время подсчета количества вершин,0 ms
количество ребер,28980
время подсчета количества ребер,0 ms
плотность графа,0.002110
время подсчета плотности,0 ms
кол-во слабосвязных компонент,355
время подсчета WCC,2 ms
кол-во сильно связанных компонент,-1
время подсчета SCC,0 ms
доля вершин в самой большой WCC,0.793209
время подсчета доли WCC,0 ms
доля вершин в самой большой SCC,0.000000
время подсчета доли SCC,0 ms
оценка диаметра (double sweep),17
время оценки double sweep,1 ms
оценка диаметра (рандомные пары - 500),10
90 процентиль (рандомные пары - 500),8
время подсчета дистанций (рандомные пары - 500),148 ms
оценка диаметра (snowball),9
90 процентиль расстояний (snowball),6
время подсчета дистанций (snowball),289 ms
число треугольников,48259
время подсчета треугольников,13 ms
средний коэфф. кластеризации,0.106148
время среднего кластеризации,4 ms
глобальный коэфф. кластеризации,0.152602
время глобального кластеризации,0 ms
средний коэфф. кластеризации в WCC,0.556677
время кластеризации в WCC,12 ms
мин. степень,2
макс. степень,162
средняя степень,11.056849
время подсчета степеней,0 ms
random removal ratio 10%,0.792247
random time 10%,3 ms
targeted removal ratio 10%,0.792057
targeted time 10%,2 ms
random removal ratio 20%,0.791476
random time 20%,2 ms
targeted removal ratio 20%,0.788800
targeted time 20%,3 ms
random removal ratio 30%,0.791236
random time 30%,2 ms
targeted removal ratio 30%,0.787409
targeted time 30%,2 ms
random removal ratio 40%,0.790653
random time 40%,2 ms
targeted removal ratio 40%,0.786631
targeted time 40%,2 ms
random removal ratio 50%,0.790644
random time 50%,2 ms
targeted removal ratio 50%,0.786426
targeted time 50%,2 ms
random removal ratio 60%,0.790827
random time 60%,2 ms
targeted removal ratio 60%,0.785262
targeted time 60%,2 ms
random removal ratio 70%,0.789625
random time 70%,2 ms
targeted removal ratio 70%,0.781940
targeted time 70%,2 ms
random removal ratio 80%,0.788654
random time 80%,2 ms
targeted removal ratio 80%,0.782692
targeted time 80%,2 ms
random removal ratio 90%,0.788258
random time 90%,3 ms
targeted removal ratio 90%,0.781906
targeted time 90%,2 ms
время препроцессинга landmarks,40 ms
количество допустимых пар,69
среднее расстояние по landmarks,7.565217
время подсчета по landmarks,0 ms
