время загрузки графа,13.070536 s
количество вершин,540486
время подсчета количества вершин,0 ms
количество ребер,15245729
время подсчета количества ребер,0 ms
плотность графа,0.000104
время подсчета плотности,0 ms
кол-во слабосвязных компонент,1
время подсчета WCC,464 ms
кол-во сильно связанных компонент,-1
время подсчета SCC,0 ms
доля вершин в самой большой WCC,1.000000
время подсчета доли WCC,0 ms
доля вершин в самой большой SCC,0.000000
время подсчета доли SCC,0 ms
оценка диаметра (double sweep),23
время оценки double sweep,339 ms
оценка диаметра (рандомные пары - 500),12
90 процентиль (рандомные пары - 500),7
время подсчета дистанций (рандомные пары - 500),22.758404 s
оценка диаметра (рандомные пары - 1000),12
90 процентиль (рандомные пары - 1000),7
время подсчета дистанций (рандомные пары - 1000),22.758404 s
оценка диаметра (snowball),4
90 процентиль расстояний (snowball),4
время подсчета дистанций (snowball),700 ms
число треугольников,444095058
время подсчета треугольников,2.873611 s
средний коэфф. кластеризации,0.801877
время среднего кластеризации,1.999563 s
глобальный коэфф. кластеризации,0.656150
время глобального кластеризации,0 ms
средний коэфф. кластеризации в WCC,0.801877
время кластеризации в WCC,3.221466 s
мин. степень,1
макс. степень,3299
средняя степень,56.414890
время подсчета степеней,0 ms
random removal ratio 10%,0.892106
random time 10%,463 ms
targeted removal ratio 10%,0.895154
targeted time 10%,346 ms
random removal ratio 20%,0.784363
random time 20%,436 ms
targeted removal ratio 20%,0.784636
targeted time 20%,271 ms
random removal ratio 30%,0.677340
random time 30%,398 ms
targeted removal ratio 30%,0.665723
targeted time 30%,218 ms
random removal ratio 40%,0.571086
random time 40%,387 ms
targeted removal ratio 40%,0.531276
targeted time 40%,185 ms
random removal ratio 50%,0.465648
random time 50%,368 ms
targeted removal ratio 50%,0.373680
targeted time 50%,156 ms
random removal ratio 60%,0.360675
random time 60%,343 ms
targeted removal ratio 60%,0.191237
targeted time 60%,127 ms
random removal ratio 70%,0.256880
random time 70%,332 ms
targeted removal ratio 70%,0.018124
targeted time 70%,109 ms
random removal ratio 80%,0.155123
random time 80%,358 ms
targeted removal ratio 80%,0.000165
targeted time 80%,96 ms
random removal ratio 90%,0.058503
random time 90%,412 ms
targeted removal ratio 90%,0.000030
targeted time 90%,91 ms
время препроцессинга landmarks,11.225327 s
количество допустимых пар,100
среднее расстояние по landmarks,8.050000
время подсчета по landmarks,4.761839 s
средняя погрешность landmarks vs BFS,2.500000
