время загрузки графа,69 ms
количество вершин,1000
время подсчета количества вершин,0 ms
количество ребер,49852
время подсчета количества ребер,0 ms
плотность графа,0.099804
время подсчета плотности,0 ms
кол-во слабосвязных компонент,1
время подсчета WCC,3 ms
кол-во сильно связанных компонент,-1
время подсчета SCC,0 ms
доля вершин в самой большой WCC,1.000000
время подсчета доли WCC,0 ms
доля вершин в самой большой SCC,0.000000
время подсчета доли SCC,0 ms
оценка диаметра (double sweep),2
время оценки double sweep,1 ms
оценка диаметра (рандомные пары - 500),2
90 процентиль (рандомные пары - 500),2
время подсчета дистанций (рандомные пары - 500),12 ms
оценка диаметра (snowball),3
90 процентиль расстояний (snowball),2
время подсчета дистанций (snowball),711 ms
число треугольников,165333
время подсчета треугольников,82 ms
средний коэфф. кластеризации,0.099915
время среднего кластеризации,62 ms
глобальный коэфф. кластеризации,0.099877
время глобального кластеризации,0 ms
средний коэфф. кластеризации в WCC,0.099915
время кластеризации в WCC,81 ms
мин. степень,70
макс. степень,133
средняя степень,99.704000
время подсчета степеней,0 ms
random removal ratio 10%,1.000000
random time 10%,3 ms
targeted removal ratio 10%,1.000000
targeted time 10%,3 ms
random removal ratio 20%,1.000000
random time 20%,3 ms
targeted removal ratio 20%,1.000000
targeted time 20%,2 ms
random removal ratio 30%,1.000000
random time 30%,2 ms
targeted removal ratio 30%,1.000000
targeted time 30%,2 ms
random removal ratio 40%,1.000000
random time 40%,3 ms
targeted removal ratio 40%,1.000000
targeted time 40%,3 ms
random removal ratio 50%,1.000000
random time 50%,2 ms
targeted removal ratio 50%,1.000000
targeted time 50%,2 ms
random removal ratio 60%,1.000000
random time 60%,2 ms
targeted removal ratio 60%,1.000000
targeted time 60%,3 ms
random removal ratio 70%,1.000000
random time 70%,3 ms
targeted removal ratio 70%,1.000000
targeted time 70%,2 ms
random removal ratio 80%,1.000000
random time 80%,2 ms
targeted removal ratio 80%,1.000000
targeted time 80%,2 ms
random removal ratio 90%,1.000000
random time 90%,2 ms
targeted removal ratio 90%,1.000000
targeted time 90%,3 ms
время препроцессинга landmarks,60 ms
количество допустимых пар,100
среднее расстояние по landmarks,2.350000
время подсчета по landmarks,0 ms
