время загрузки графа,76.404415 s
количество вершин,3215720
время подсчета количества вершин,0 ms
количество ребер,17414510
время подсчета количества ребер,0 ms
плотность графа,0.000003
время подсчета плотности,0 ms
кол-во слабосвязных компонент,24337
время подсчета WCC,4.515947 s
кол-во сильно связанных компонент,-1
время подсчета SCC,0 ms
доля вершин в самой большой WCC,0.983362
время подсчета доли WCC,0 ms
доля вершин в самой большой SCC,0.000000
время подсчета доли SCC,0 ms
оценка диаметра (double sweep),19
время оценки double sweep,6.223583 s
оценка диаметра (рандомные пары - 500),9
90 процентиль (рандомные пары - 500),7
время подсчета дистанций (рандомные пары - 500),406.697120 s
оценка диаметра (snowball),4
90 процентиль расстояний (snowball),2
время подсчета дистанций (snowball),4.795912 s
число треугольников,108030336
время подсчета треугольников,39.959027 s
средний коэфф. кластеризации,0.062893
время среднего кластеризации,31.220296 s
глобальный коэфф. кластеризации,0.109505
время глобального кластеризации,22 ms
средний коэфф. кластеризации в WCC,0.049862
время кластеризации в WCC,41.300058 s
мин. степень,1
макс. степень,6503
средняя степень,10.830862
время подсчета степеней,0 ms
random removal ratio 10%,0.983100
random time 10%,5.693151 s
targeted removal ratio 10%,0.974707
targeted time 10%,5.379442 s
random removal ratio 20%,0.982912
random time 20%,5.680387 s
targeted removal ratio 20%,0.969172
targeted time 20%,5.206738 s
random removal ratio 30%,0.982672
random time 30%,5.707825 s
targeted removal ratio 30%,0.964359
targeted time 30%,5.081807 s
random removal ratio 40%,0.982424
random time 40%,5.664288 s
targeted removal ratio 40%,0.960297
targeted time 40%,4.964959 s
random removal ratio 50%,0.982182
random time 50%,5.571702 s
targeted removal ratio 50%,0.956315
targeted time 50%,4.910044 s
random removal ratio 60%,0.981925
random time 60%,5.646505 s
targeted removal ratio 60%,0.952783
targeted time 60%,4.828947 s
random removal ratio 70%,0.981648
random time 70%,5.630257 s
targeted removal ratio 70%,0.949451
targeted time 70%,4.779918 s
random removal ratio 80%,0.981418
random time 80%,5.581234 s
targeted removal ratio 80%,0.946496
targeted time 80%,4.702716 s
random removal ratio 90%,0.981210
random time 90%,5.624286 s
targeted removal ratio 90%,0.943781
targeted time 90%,4.687206 s
время препроцессинга landmarks,186.083454 s
количество допустимых пар,100
среднее расстояние по landmarks,8.460000
время подсчета по landmarks,0 ms
