method,k,mae,total_time,time_select_landmarks,time_build_spt,time_get_path,time_distance_sc,time_landmarks_sc
random,5,1.1627906976744187,11.193603432997406,0.009570912005074206,5.574093715005802,0.0007040109940135153,0.0021616689964503166,5.607073125996067
random,10,0.627906976744186,21.60158133801906,0.009928047998073453,10.764766010004678,0.00134803901619307,0.004082950002157304,10.821456290997958
random,20,0.2558139534883721,43.25490669102783,0.009750625001288427,21.56541916101196,0.002645783003572433,0.007899248009380244,21.669191874001626
random,50,0.046511627906976744,109.34988548205183,0.010148542001843452,54.530403829032366,0.006687809007416945,0.019855968012052472,54.78278933399815
random,100,0.046511627906976744,215.62032411199743,0.010549420995630499,107.53531062494585,0.013129052050317114,0.038652473007459776,108.02268254099818
random,200,0.0,433.35218076011006,0.011850832001073286,216.1306892770681,0.02643853406607377,0.0782789549748486,217.10492316199998
degree,5,0.7906976744186046,12.544465243998275,0.2849874089970399,5.973975746001997,0.0006662160021733143,0.0021418710002762964,6.282694001996788
degree,10,0.6046511627906976,23.191667561988652,0.2283446690034907,11.341017300999738,0.0012660919901463785,0.003917170995009656,11.617122329000267
degree,20,0.32558139534883723,46.575341376986216,0.2392177100018671,22.99594433497805,0.0025278660032199696,0.007663961002435826,23.329987505000645
degree,50,0.13953488372093023,114.01895926603174,0.2368227080005454,56.64026369701878,0.0061247300036484376,0.01871921901420137,57.117028911994566
degree,100,0.09302325581395349,226.87796008202258,0.23698129000058543,112.93206242400902,0.012403341017488856,0.038268116996732715,113.65824490999876
degree,200,0.046511627906976744,453.88361145906765,0.2343774159980967,226.1641348760004,0.025166129054923658,0.07740432801529096,227.38252870999895
coverage,5,0.6046511627906976,81.89148588000899,35.35727854299421,5.574725087001752,0.0006552880095114233,0.0020795870022993768,40.956747375001214
coverage,10,0.4186046511627907,91.13830210098877,34.4438574600008,11.098352413996508,0.0013124439610692207,0.004016031027276767,45.59076375200311
coverage,20,0.3953488372093023,114.79362986111119,34.49599224699887,22.844131621044653,0.0026299210330762435,0.008146943035171716,57.44272912899942
coverage,50,0.046511627906976744,182.05857430514698,34.3153835430021,56.573446470993076,0.00673940608430712,0.020616135061573004,91.14238875000592
coverage,100,0.046511627906976744,234.35653103980076,35.537219627995,81.43849064893584,0.00973042190344131,0.02980146797199268,117.34128887299448
coverage,200,0.09302325581395349,234.6642913630294,34.74441383000158,82.38079565995395,0.009689563046777039,0.030007020022821962,117.49938529000428
