Dataset,Landmarks,Rand,High Degree,Coverage,Total_Time
Wiki-Vote.txt,5,0.001260,0.000706,0.001633,0.901996
Wiki-Vote.txt,10,0.001922,0.000685,0.000940,1.543876
Wiki-Vote.txt,20,0.002142,0.000637,0.000739,2.971992
soc-wiki-Vote.mtx,5,0.000612,0.001790,0.000578,0.052619
soc-wiki-Vote.mtx,10,0.000620,0.000744,0.000838,0.061385
soc-wiki-Vote.mtx,20,0.000568,0.000733,0.000446,0.102732
web-Google.txt,5,0.001071,0.002195,0.000477,153.294887
web-Google.txt,10,0.001243,0.000633,0.000560,265.212455
web-Google.txt,20,0.001466,0.000763,0.000704,476.893164
web-NotreDame.txt,5,0.001098,0.000459,0.000476,18.817033
web-NotreDame.txt,10,0.001169,0.000546,0.000608,31.953574
web-NotreDame.txt,20,0.001683,0.000713,0.000703,59.327488
web-Stanford.txt,5,0.001075,0.000486,0.000458,34.919995
web-Stanford.txt,10,0.001206,0.000581,0.000539,62.905808
web-Stanford.txt,20,0.001352,0.000705,0.000687,117.848045
