Dataset,Landmarks,Rand,High Degree,Coverage,Precompute
Wiki-Vote.txt,5,0.000224,0.021032,0.644949,0.022114
Wiki-Vote.txt,10,0.000102,0.019461,1.262051,0.033782
Wiki-Vote.txt,20,0.000116,0.018539,2.564534,0.074596
soc-wiki-Vote.mtx,5,0.000076,0.005431,0.029329,0.000559
soc-wiki-Vote.mtx,10,0.000045,0.005793,0.042286,0.001061
soc-wiki-Vote.mtx,20,0.000086,0.013839,0.072563,0.002110
web-Google.txt,5,0.000155,2.143373,102.133799,4.056176
web-Google.txt,10,0.000140,2.127403,201.462974,8.104512
web-Google.txt,20,0.000185,2.164644,388.580050,16.056002
web-NotreDame.txt,5,0.000175,0.499419,11.841314,0.537941
web-NotreDame.txt,10,0.000208,0.512263,23.539787,0.904351
web-NotreDame.txt,20,0.000221,0.503693,48.405368,1.658927
web-Stanford.txt,5,0.000178,0.664381,23.501956,1.121714
web-Stanford.txt,10,0.000194,0.678956,48.614877,1.843418
web-Stanford.txt,20,0.000191,0.691690,97.242133,3.905608
,,,,,
