Dataset,Landmarks,Rand,High Degree,Coverage,Total Time
Wiki-Vote.txt,5,0.014636,0.011511,0.012530,1.121494
Wiki-Vote.txt,10,0.015286,0.013983,0.015040,2.093791
Wiki-Vote.txt,20,0.015070,0.016444,0.017681,3.253936
soc-wiki-Vote.mtx,5,0.003138,0.002843,0.002562,0.063640
soc-wiki-Vote.mtx,10,0.004979,0.004183,0.004341,0.074973
soc-wiki-Vote.mtx,20,0.006607,0.006467,0.006436,0.127388
web-Google.txt,5,0.231512,0.229034,0.176029,165.889237
web-Google.txt,10,0.352085,0.375757,0.328620,242.588560
web-Google.txt,20,0.531813,0.583087,0.557914,398.188944
web-NotreDame.txt,5,0.165632,0.193424,0.136786,22.861256
web-NotreDame.txt,10,0.263468,0.457121,0.242783,34.117930
web-NotreDame.txt,20,0.625913,0.637682,0.618833,56.497351
web-Stanford.txt,5,0.904894,0.702349,0.575172,44.109624
web-Stanford.txt,10,1.667766,1.676758,1.531424,65.651723
web-Stanford.txt,20,2.895938,2.533323,2.389060,114.013512
,,,,,
