Dataset,Landmarks,Rand,High Degree,Coverage,Precompute
Wiki-Vote.txt,5,0.000170,0.019761,0.594562,0.025963
Wiki-Vote.txt,10,0.000038,0.017851,1.214032,0.036830
Wiki-Vote.txt,20,0.000052,0.017551,2.441099,0.081965
soc-wiki-Vote.mtx,5,0.000032,0.005094,0.021910,0.000786
soc-wiki-Vote.mtx,10,0.000032,0.004253,0.033655,0.001612
soc-wiki-Vote.mtx,20,0.000042,0.004354,0.069932,0.003152
web-Google.txt,5,0.000087,1.961812,72.479208,3.655408
web-Google.txt,10,0.000113,1.991582,135.118799,6.801995
web-Google.txt,20,0.000127,2.129227,267.166284,13.805137
web-NotreDame.txt,5,0.000091,0.459175,8.709211,0.508898
web-NotreDame.txt,10,0.000110,0.526832,18.846895,0.874183
web-NotreDame.txt,20,0.000129,0.466205,38.507948,1.906259
web-Stanford.txt,5,0.000075,0.630624,18.473385,0.923306
web-Stanford.txt,10,0.000088,0.629833,35.085558,1.639401
web-Stanford.txt,20,0.000101,0.645511,76.586692,3.462864
