Dataset,Landmarks,Rand,High Degree,Coverage,Total_Time
CA-AstroPh.txt,5,0.002611,0.000772,0.000655,2.066794
CA-AstroPh.txt,10,0.002255,0.001075,0.000748,4.056689
CA-AstroPh.txt,20,0.001672,0.000850,0.001450,7.157679
CA-GrQc.txt,5,0.002015,0.001414,0.001253,0.338205
CA-GrQc.txt,10,0.000767,0.000531,0.001427,0.331722
CA-GrQc.txt,20,0.000728,0.000565,0.000854,0.390377
Email-EuAll.txt,5,0.001102,0.000457,0.000449,20.733142
Email-EuAll.txt,10,0.001214,0.000521,0.000530,35.868772
Email-EuAll.txt,20,0.001381,0.000688,0.000683,66.549957
ca-coauthors-dblp.txt,5,0.001086,0.000506,0.000484,117.019771
ca-coauthors-dblp.txt,10,0.001279,0.000630,0.000562,213.273532
ca-coauthors-dblp.txt,20,0.001422,0.000775,0.000688,410.584135
musae_git_edges.csv,5,0.001096,0.000456,0.000460,4.407371
musae_git_edges.csv,10,0.001088,0.000538,0.000521,8.893707
musae_git_edges.csv,20,0.001281,0.000655,0.000628,15.551991
