Dataset,Landmarks,Rand,High Degree,Coverage,Precompute
CA-AstroPh.txt,5,0.000114,0.053941,1.409861,0.048114
CA-AstroPh.txt,10,0.000173,0.052068,2.821051,0.110733
CA-AstroPh.txt,20,0.000175,0.141015,5.635839,0.203893
CA-GrQc.txt,5,0.000128,0.034866,0.167267,0.008682
CA-GrQc.txt,10,0.000164,0.031538,0.238383,0.006181
CA-GrQc.txt,20,0.000274,0.012967,0.309363,0.012190
Email-EuAll.txt,5,0.000171,0.395290,13.751227,0.497704
Email-EuAll.txt,10,0.000305,0.396057,27.751644,0.988464
Email-EuAll.txt,20,0.000211,0.408981,54.308784,2.226536
ca-coauthors-dblp.txt,5,0.000119,2.455876,85.404852,3.177933
ca-coauthors-dblp.txt,10,0.000155,2.479553,170.366835,6.094375
ca-coauthors-dblp.txt,20,0.000177,1.807911,348.322917,12.211213
musae_git_edges.csv,5,0.000186,0.113790,2.884519,0.109743
musae_git_edges.csv,10,0.000169,0.116110,7.073359,0.215383
musae_git_edges.csv,20,0.000171,0.121426,13.031710,0.440447
