Dataset,Landmarks,Rand,High Degree,Coverage,Total Time
CA-AstroPh.txt,5,0.010225,0.006871,0.007562,3.063810
CA-AstroPh.txt,10,0.014486,0.012825,0.013655,4.479031
CA-AstroPh.txt,20,0.028917,0.022980,0.026694,6.477461
CA-GrQc.txt,5,0.003565,0.003171,0.003336,0.224541
CA-GrQc.txt,10,0.006279,0.005289,0.005644,0.322000
CA-GrQc.txt,20,0.012726,0.010100,0.010783,0.510633
Email-EuAll.txt,5,0.066280,0.068505,0.054862,21.426142
Email-EuAll.txt,10,0.112500,0.133226,0.128362,31.536147
Email-EuAll.txt,20,0.277840,0.235605,0.157464,11.578985
ca-coauthors-dblp.txt,5,0.033897,0.059974,0.035225,188.781517
ca-coauthors-dblp.txt,10,0.070184,0.098266,0.071866,280.967230
ca-coauthors-dblp.txt,20,0.140477,0.187327,0.134852,471.833045
musae_git_edges.csv,5,0.028361,0.015125,0.022077,5.829558
musae_git_edges.csv,10,0.083996,0.044657,0.036088,9.010396
musae_git_edges.csv,20,0.099404,0.117054,0.105006,3.385607
