Dataset,Landmarks,Rand,High Degree,Coverage,Precompute
CA-AstroPh.txt,5,0.000084,0.049318,1.362655,0.047651
CA-AstroPh.txt,10,0.000093,0.050449,2.773678,0.108400
CA-AstroPh.txt,20,0.000102,0.051514,5.401126,0.200499
CA-GrQc.txt,5,0.000068,0.011774,0.092841,0.003935
CA-GrQc.txt,10,0.000049,0.012155,0.165959,0.007657
CA-GrQc.txt,20,0.001301,0.012341,0.331086,0.015408
Email-EuAll.txt,5,0.000065,0.375434,8.976849,0.428261
Email-EuAll.txt,10,0.000083,0.374789,16.959543,0.879282
Email-EuAll.txt,20,0.000083,0.380578,34.183881,1.687238
ca-coauthors-dblp.txt,5,0.000075,2.108222,88.985891,3.243195
ca-coauthors-dblp.txt,10,0.000079,1.677367,171.586700,6.467381
ca-coauthors-dblp.txt,20,0.000113,1.696023,346.380861,13.013871
musae_git_edges.csv,5,0.000078,0.110719,2.546882,0.094077
musae_git_edges.csv,10,0.000067,0.113123,5.314754,0.188310
musae_git_edges.csv,20,0.000101,0.114428,10.582860,0.379461
,,,,,
