file,load time,diameter1,diameter1 time,diameter2(500),diameter2(500) time,p90(500),p90(500) time,diameter_snowball,diameter_snowball time,p90_snowball,p90_snowball time
datasets/very_large_graphs/com-orkut.ungraph.txt,149.410756 s,9,4.820284 s,6,150.967640 s,5,150.967640 s,5,7.439412 s,4,7.439412 s
datasets/very_large_graphs/com-youtube.ungraph.txt,5.462204 s,24,250 ms,9,17.686216 s,7,17.686216 s,3,311 ms,2,311 ms
datasets/very_large_graphs/vk.csv,50.995475 s,19,2.168173 s,9,147.483453 s,7,147.483453 s,4,1.551646 s,2,1.551646 s
datasets/undirected/Email-EuAll.txt,702 ms,14,32 ms,7,2.051985 s,5,2.051985 s,4,60 ms,4,60 ms
datasets/undirected/CA-GrQc.txt,37 ms,17,1 ms,12,46 ms,8,46 ms,9,35 ms,6,35 ms
datasets/undirected/CA-AstroPh.txt,427 ms,14,5 ms,10,437 ms,5,437 ms,6,61 ms,5,61 ms
datasets/undirected/ca-coauthors-dblp.txt,13.070536 s,23,339 ms,12,22.758404 s,7,22.758404 s,4,700 ms,4,700 ms
datasets/undirected/musae_git_edges.csv,216 ms,11,10 ms,5,401 ms,4,401 ms,4,61 ms,2,61 ms
datasets/directed/Wiki-Vote.txt,82 ms,7,1 ms,6,61 ms,4,61 ms,4,66 ms,3,66 ms
datasets/directed/soc-wiki-Vote.mtx,4 ms,13,0 ms,8,7 ms,6,7 ms,7,33 ms,5,33 ms
datasets/directed/web-Stanford.txt,3.272448 s,164,93 ms,95,10.024467 s,10,10.024467 s,5,179 ms,4,179 ms
datasets/directed/web-Google.txt,9.364484 s,24,405 ms,13,34.061793 s,9,34.061793 s,4,770 ms,4,770 ms
datasets/directed/web-NotreDame.txt,2.181871 s,46,34 ms,29,3.282561 s,10,3.282561 s,2,118 ms,2,118 ms
