file,load time,random removal ratio 10%,random time 10%,targeted removal ratio 10%,targeted time 10%,random removal ratio 20%,random time 20%,targeted removal ratio 20%,targeted time 20%,random removal ratio 30%,random time 30%,targeted removal ratio 30%,targeted time 30%,random removal ratio 40%,random time 40%,targeted removal ratio 40%,targeted time 40%,random removal ratio 50%,random time 50%,targeted removal ratio 50%,targeted time 50%,random removal ratio 60%,random time 60%,targeted removal ratio 60%,targeted time 60%,random removal ratio 70%,random time 70%,targeted removal ratio 70%,targeted time 70%,random removal ratio 80%,random time 80%,targeted removal ratio 80%,targeted time 80%,random removal ratio 90%,random time 90%,targeted removal ratio 90%,targeted time 90%
datasets/very_large_graphs/com-orkut.ungraph.txt,163.972648 s,0.999971,5.831253 s,0.998292,4.909004 s,0.999951,4.943598 s,0.997543,4.779290 s,0.999934,4.919145 s,0.997113,4.737052 s,0.999917,4.910933 s,0.996839,4.731231 s,0.999897,4.868597 s,0.996525,4.867341 s,0.999880,6.540119 s,0.996348,4.927729 s,0.999862,5.674409 s,0.996134,4.550362 s,0.999844,4.758493 s,0.995920,4.489780 s,0.999815,4.743297 s,0.995680,4.464740 s
datasets/very_large_graphs/com-youtube.ungraph.txt,5.363279 s,0.999391,254 ms,0.814320,273 ms,0.998768,250 ms,0.770181,272 ms,0.998147,254 ms,0.741987,270 ms,0.997288,252 ms,0.720313,267 ms,0.996746,251 ms,0.701021,271 ms,0.995344,250 ms,0.685097,269 ms,0.994537,253 ms,0.670718,269 ms,0.993669,253 ms,0.657634,274 ms,0.992851,252 ms,0.645805,275 ms
datasets/very_large_graphs/vk.csv,50.031578 s,0.983118,1.499077 s,0.974707,1.501696 s,0.982902,1.479466 s,0.969172,1.466880 s,0.982684,1.469159 s,0.964356,1.506622 s,0.982450,1.483380 s,0.960298,1.437986 s,0.982233,1.504440 s,0.956316,1.435929 s,0.982014,1.475809 s,0.952784,1.424820 s,0.981781,1.508247 s,0.949452,1.437964 s,0.981513,1.471487 s,0.946500,1.450260 s,0.981285,1.478980 s,0.943783,1.411790 s
datasets/undirected/Email-EuAll.txt,760 ms,0.847574,44 ms,0.309682,59 ms,0.847395,44 ms,0.162896,59 ms,0.847401,43 ms,0.079442,59 ms,0.847039,45 ms,0.037766,60 ms,0.846890,45 ms,0.015328,60 ms,0.846736,45 ms,0.006138,60 ms,0.846684,45 ms,0.000729,62 ms,0.846670,45 ms,0.000532,61 ms,0.842790,44 ms,0.000384,60 ms
datasets/undirected/CA-GrQc.txt,45 ms,0.793011,1 ms,0.792438,1 ms,0.792049,1 ms,0.788800,1 ms,0.791619,1 ms,0.787409,1 ms,0.791611,1 ms,0.786631,1 ms,0.791603,1 ms,0.786426,1 ms,0.791403,1 ms,0.785454,1 ms,0.791739,1 ms,0.781940,1 ms,0.791731,1 ms,0.782692,1 ms,0.791723,1 ms,0.781906,1 ms
datasets/undirected/CA-AstroPh.txt,462 ms,0.953821,17 ms,0.952914,16 ms,0.953560,15 ms,0.952813,15 ms,0.953516,15 ms,0.952607,15 ms,0.953362,15 ms,0.952452,15 ms,0.953475,15 ms,0.952190,15 ms,0.953052,15 ms,0.951766,15 ms,0.953060,15 ms,0.951666,15 ms,0.952851,15 ms,0.951294,15 ms,0.952588,15 ms,0.950922,15 ms
datasets/undirected/ca-coauthors-dblp.txt,16.509655 s,0.999972,582 ms,0.999930,588 ms,0.999911,579 ms,0.999868,584 ms,0.999870,579 ms,0.999868,579 ms,0.999786,582 ms,0.999857,578 ms,0.999691,580 ms,0.999838,568 ms,0.999635,581 ms,0.999767,566 ms,0.999529,580 ms,0.999691,564 ms,0.999470,580 ms,0.999646,561 ms,0.999354,578 ms,0.999688,557 ms
datasets/undirected/musae_git_edges.csv,330 ms,0.998832,15 ms,0.955897,14 ms,0.998804,14 ms,0.946365,14 ms,0.998670,14 ms,0.938809,14 ms,0.998535,14 ms,0.932968,14 ms,0.998081,14 ms,0.928048,14 ms,0.997945,14 ms,0.924107,14 ms,0.997890,14 ms,0.919783,14 ms,0.997861,14 ms,0.915584,13 ms,0.997805,14 ms,0.912021,13 ms
datasets/directed/Wiki-Vote.txt,105 ms,0.992966,4 ms,0.991981,4 ms,0.992959,4 ms,0.984932,4 ms,0.992106,4 ms,0.982661,4 ms,0.991393,4 ms,0.974037,4 ms,0.991242,4 ms,0.972454,4 ms,0.991092,4 ms,0.970164,4 ms,0.991083,4 ms,0.966737,4 ms,0.991074,4 ms,0.962879,4 ms,0.990498,4 ms,0.960715,4 ms
datasets/directed/soc-wiki-Vote.mtx,4 ms,1.000000,0 ms,0.993243,0 ms,1.000000,0 ms,0.993236,0 ms,1.000000,0 ms,0.988713,0 ms,1.000000,0 ms,0.987571,0 ms,1.000000,0 ms,0.987571,0 ms,1.000000,0 ms,0.986425,0 ms,1.000000,0 ms,0.985277,0 ms,1.000000,0 ms,0.982993,0 ms,1.000000,0 ms,0.981839,0 ms
