file,load time,valid pairs,pairs time,avg landmark dist,avg dist time,landmark preprocess time,avg error (landmarks vs bfs)
datasets/very_large_graphs/com-orkut.ungraph.txt,149.410756 s,100,26.077193 s,6.450000,26.077193 s,121.747076 s,2.200000
datasets/very_large_graphs/com-youtube.ungraph.txt,5.462204 s,100,3.562220 s,7.400000,3.562220 s,8.957411 s,2.010000
datasets/very_large_graphs/vk.csv,50.995475 s,97,32.738930 s,7.969072,32.738930 s,60.004855 s,2.412371
datasets/undirected/Email-EuAll.txt,702 ms,69,446 ms,6.333333,446 ms,1.043654 s,2.275362
datasets/undirected/CA-GrQc.txt,37 ms,56,7 ms,7.732143,7 ms,12 ms,2.053571
datasets/undirected/CA-AstroPh.txt,427 ms,92,94 ms,5.695652,94 ms,208 ms,1.456522
datasets/undirected/ca-coauthors-dblp.txt,13.070536 s,100,4.761839 s,8.050000,4.761839 s,11.225327 s,2.500000
datasets/undirected/musae_git_edges.csv,216 ms,100,71 ms,4.650000,71 ms,279 ms,1.450000
datasets/directed/Wiki-Vote.txt,82 ms,99,14 ms,4.454545,14 ms,31 ms,1.181818
datasets/directed/soc-wiki-Vote.mtx,4 ms,100,1 ms,4.870000,1 ms,2 ms,0.790000
datasets/directed/web-Stanford.txt,3.272448 s,84,2.010751 s,8.107143,2.010751 s,3.055095 s,1.869048
datasets/directed/web-Google.txt,9.364484 s,93,6.522636 s,9.494624,6.522636 s,11.832972 s,2.838710
datasets/directed/web-NotreDame.txt,2.181871 s,100,611 ms,10.000000,611 ms,1.182489 s,2.810000
