# degree frequency
15 290
78 18
132 11
202 1
60 35
50 61
56 53
137 5
270 1
69 48
144 5
92 13
74 37
102 9
158 4
210 1
214 3
427 1
105 22
159 2
115 6
190 1
7 705
271 2
234 1
99 13
84 18
151 2
504 1
229 1
274 1
70 33
67 32
169 4
387 1
193 1
5 985
129 8
145 4
81 28
57 42
134 6
155 4
63 33
180 1
37 99
152 4
141 5
153 6
168 1
40 100
112 13
292 1
420 1
24 153
219 2
162 5
195 1
233 1
150 4
208 1
146 2
89 5
38 96
59 46
88 18
94 15
110 7
1 1282
161 3
86 21
125 9
109 10
136 6
55 47
72 34
175 3
95 13
351 1
14 290
42 96
119 7
281 1
44 81
87 22
28 157
154 1
108 16
173 4
103 8
156 3
73 31
148 6
142 6
2 1720
230 1
91 26
100 12
127 4
128 6
350 1
33 100
179 1
249 1
143 6
130 5
200 1
418 1
11 412
53 73
257 1
93 21
23 193
54 50
213 4
178 3
20 204
47 88
22 229
139 8
36 117
80 41
32 134
122 4
46 90
111 11
75 34
77 22
171 1
181 1
147 3
83 23
157 3
27 152
138 6
25 156
172 3
79 24
19 261
104 7
45 103
43 86
235 1
258 1
216 1
117 8
48 94
149 6
123 10
106 8
196 2
124 9
197 1
13 318
39 108
51 92
62 36
323 2
96 15
131 3
185 2
120 10
329 1
224 2
31 140
66 43
163 2
68 41
18 287
97 5
121 4
85 34
52 72
101 9
82 23
113 10
330 1
90 13
35 123
41 102
114 10
174 5
362 1
58 40
252 2
383 1
3 1597
194 2
269 1
126 7
313 1
10 480
8 564
71 23
107 13
116 7
165 2
17 292
135 3
192 3
188 2
61 54
236 1
222 2
4 1266
16 267
98 11
369 1
220 1
333 1
34 98
21 190
297 1
140 4
29 157
9 511
12 446
49 64
64 39
189 1
212 1
65 36
256 1
26 152
76 30
176 1
6 810
133 9
118 9
0 1
336 1
182 1
211 2
30 153
166 5
