# degree frequency
299 3
480 2
57 6
1310 1
585 1
1106 1
49 13
126 2
64 7
82 3
698 1
756 1
741 1
278 3
3219 1
787 1
675 1
311 2
127 2
29 24
185 3
1487 1
75 6
104 4
799 1
1768 1
303 1
264 1
379 1
1849 1
119 3
334 2
401 1
254 1
169 1
308 1
794 1
346 1
248 2
36 23
236 3
530 2
279 1
555 1
1466 1
1407 1
219 4
54 11
183 3
186 4
911 1
320 2
35 15
360 2
173 2
124 2
25 42
116 5
182 2
549 1
151 1
515 2
390 2
656 1
449 1
172 4
33 16
6001 1
978 1
350 1
79 7
60 3
184 1
1653 1
220 4
287 1
107 4
1749 1
314 2
73 8
147 3
91 2
567 1
552 2
354 2
736 1
138 6
312 4
154 1
194 4
378 2
26 41
1750 1
259 1
514 1
465 1
1337 1
570 1
85 3
197 2
1086 1
177 2
74 5
69 11
8 540
148 2
260 2
693 2
352 1
599 1
481 1
110 4
159 4
598 1
65 10
178 2
393 1
502 1
144 2
516 1
87 4
753 1
810 1
190 3
58 9
300 1
418 1
133 6
436 2
285 2
468 2
621 1
123 6
117 2
905 1
40 16
1049 1
200 2
394 1
243 1
6 1046
1029 1
155 3
613 1
511 1
548 1
56 7
165 1
168 4
454 2
321 2
426 2
629 1
513 1
841 1
206 2
785 1
203 2
0 205
30 30
176 2
71 6
413 3
163 1
790 1
14 154
174 2
306 2
125 4
47 14
325 1
230 1
803 1
610 1
765 1
160 4
627 1
216 1
21 77
244 2
581 1
1302 1
1548 1
602 2
199 3
1771 1
70 8
369 2
475 1
702 1
7 735
120 4
275 5
441 1
18 81
135 6
141 3
318 2
417 1
1418 1
7636 1
139 8
237 3
388 1
89 1
498 1
41 25
493 2
890 1
211 2
289 1
433 1
288 1
2 21733
313 2
332 1
55 2
1098 1
245 1
861 1
362 1
657 1
208 3
269 2
424 1
504 1
798 1
3987 1
1828 1
94 9
81 5
356 3
526 1
452 2
276 3
50 13
31 20
1058 1
690 2
272 2
268 2
161 4
270 2
1368 1
38 22
665 1
130 4
162 4
342 1
153 3
207 1
1476 1
28 33
497 1
376 3
193 4
129 1
213 2
34 19
202 4
368 2
943 1
221 2
170 3
460 1
309 1
338 1
13 173
403 3
434 2
327 2
1587 1
191 1
113 6
374 1
564 1
224 2
1059 1
1045 1
920 1
238 1
316 2
339 1
37 21
524 1
175 2
255 2
758 1
1044 1
93 7
145 2
551 1
1500 1
78 5
48 13
400 2
103 5
975 1
716 1
786 1
336 2
114 4
631 2
61 9
862 1
536 1
1312 1
17 80
232 2
231 1
12 195
11 268
1322 2
214 3
228 1
20 67
83 7
76 5
492 2
292 1
1019 1
366 1
5 1697
386 1
109 3
105 3
137 3
180 1
187 3
290 2
39 20
416 1
371 2
329 2
307 3
302 2
574 1
811 1
80 4
88 3
643 1
411 2
189 3
9 395
808 1
315 2
1735 1
462 1
359 1
855 1
167 4
46 17
408 2
121 1
683 1
319 3
66 10
212 7
62 6
370 2
3119 1
196 1
201 2
482 1
22 45
112 2
157 2
592 1
108 5
246 2
331 2
633 1
345 1
209 1
389 1
59 7
122 6
97 4
565 1
45 15
99 4
142 2
277 1
134 1
282 3
409 1
420 3
353 1
561 1
715 1
333 2
294 1
298 1
1578 1
503 1
32 27
455 2
383 1
341 2
357 1
257 2
606 1
235 2
150 2
1411 1
297 1
1026 1
128 7
281 3
179 3
140 2
586 1
1101 1
24 40
381 1
233 3
4 3055
537 2
273 2
2655 1
90 7
143 3
485 1
67 2
557 1
377 1
1 225958
10 318
95 6
994 1
101 9
438 1
68 2
812 1
111 3
102 8
51 9
149 2
100 4
673 1
204 2
1674 1
414 4
957 1
267 1
506 1
848 1
239 2
571 1
1189 1
3 6359
43 8
253 2
447 4
428 2
347 1
77 4
641 1
519 1
755 1
432 1
535 1
115 5
823 1
1084 1
363 1
15 117
286 2
489 2
415 1
806 1
604 1
4308 1
686 2
623 2
210 6
106 3
512 1
1583 1
284 1
274 1
866 1
242 1
576 2
588 2
1145 1
372 1
205 2
508 2
678 1
507 1
131 2
92 4
84 4
96 4
263 2
27 34
52 13
118 8
293 2
796 1
1371 1
53 10
241 1
42 19
192 2
795 1
98 1
713 1
1090 1
583 1
777 1
431 2
195 2
171 1
304 1
499 2
250 1
188 2
136 3
301 2
463 1
6307 1
626 1
262 1
72 1
156 1
1047 1
63 5
166 2
19 84
23 42
132 3
222 2
474 1
844 1
589 2
1321 1
458 1
44 21
1108 1
1117 1
904 1
344 1
1057 1
16 101
86 5
283 1
