# degree frequency
72 21
154 4
117 5
187 2
54 21
19 33
353 1
179 4
112 9
14 65
253 1
309 2
425 1
266 2
254 1
115 9
65 13
75 18
149 3
176 1
477 1
42 27
81 15
77 13
99 8
246 1
152 3
128 3
110 7
732 1
275 3
159 4
63 19
173 2
303 1
229 1
105 9
4 245
96 10
93 11
234 1
256 1
12 93
52 27
130 5
134 3
298 3
123 7
244 2
129 3
188 1
58 24
368 1
169 2
36 22
356 1
227 3
446 1
212 4
232 1
175 3
193 3
57 28
111 6
255 1
200 1
132 2
20 44
38 25
124 7
104 8
435 1
269 1
86 10
107 8
248 2
10 110
3 387
51 26
73 17
146 5
141 4
153 1
88 7
24 38
109 9
84 12
207 1
158 2
352 1
41 27
331 1
265 1
26 38
11 86
136 3
95 6
192 2
61 24
15 59
35 20
233 2
64 22
291 2
67 22
135 2
618 1
145 2
143 3
216 2
70 22
144 8
288 1
191 3
213 1
181 4
133 5
119 8
50 27
30 32
194 4
94 7
334 1
243 1
195 3
40 25
161 1
167 2
517 1
773 1
106 4
113 5
182 1
46 26
98 10
91 8
103 10
164 3
186 3
166 1
274 2
206 1
126 12
66 24
53 16
139 6
171 2
250 1
247 1
17 47
32 22
172 3
219 1
268 2
205 4
410 2
29 37
59 17
43 23
34 26
297 1
249 1
121 6
18 56
16 53
163 4
56 18
228 2
311 2
258 1
257 2
395 1
251 1
39 29
85 11
60 22
142 3
108 4
177 2
740 1
44 30
83 8
27 31
230 2
118 9
157 5
403 1
8 111
28 39
31 36
260 1
302 1
743 1
1 2315
414 1
92 8
25 26
292 1
287 1
6 160
114 12
211 2
495 1
239 1
47 27
202 3
346 1
533 1
314 3
74 10
1065 1
365 1
150 4
361 2
210 2
263 3
22 41
178 2
223 1
378 1
170 1
406 1
189 2
168 3
271 1
5 165
138 5
78 10
45 28
147 8
49 22
23 28
125 4
199 1
190 4
362 1
221 2
21 42
120 3
387 1
9 89
238 2
80 12
204 4
122 4
467 1
55 26
79 15
208 2
332 1
276 1
33 28
399 3
222 1
100 9
217 2
68 7
372 1
7 138
62 13
321 1
82 5
162 4
245 1
76 11
87 19
48 28
226 2
218 2
156 3
131 2
180 1
69 16
688 1
160 4
116 8
90 5
305 1
101 8
264 1
214 2
148 3
102 3
231 1
328 1
281 1
2 641
89 16
71 15
37 29
140 2
155 1
197 2
203 1
184 1
13 64
224 3
97 10
384 1
318 1
