# degree frequency
171 455
180 318
527 21
650 3
646 2
58 3163
257 172
276 74
851 2
506 2
563 1
267 127
37 4495
71 2307
12 9264
88 1592
103 1198
157 481
266 130
6 11180
212 311
398 19
373 27
402 33
812 1
461 7
532 2
86 1626
337 35
418 25
489 1
680 3
517 9
737 1
113 1159
223 241
89 1873
376 69
570 11
467 9
676 1
26 6075
134 819
261 100
70 2117
476 7
386 18
306 71
488 9
50 3451
131 858
36 4708
80 1800
72 2469
199 313
259 174
408 25
128 868
312 60
605 3
559 6
625 2
154 455
32 5299
207 252
308 79
1913 2
830 1
530 1
1077 1
194 333
107 1293
239 128
429 26
192 289
565 14
106 1103
278 73
448 10
788 1
645 3
580 1
423 30
220 281
405 25
319 56
544 5
410 24
112 1030
152 636
387 16
377 27
417 18
784 2
120 989
75 2216
77 2137
118 1172
90 1632
87 1597
325 33
550 3
23 6717
167 473
345 50
494 7
302 73
1041 1
1201 1
46 3766
91 1564
197 278
687 1
582 1
383 31
465 12
659 4
514 4
621 2
875 3
474 5
512 5
477 1
30 5403
252 122
303 85
639 1
1217 1
115 1063
144 664
336 78
380 31
379 28
42 4185
454 6
441 4
310 75
551 6
808 1
19 7343
84 1742
54 3444
139 834
228 184
686 2
98 1478
56 3039
53 3384
311 56
317 84
349 41
556 9
794 1
17 8140
234 301
153 534
409 19
358 35
581 3
457 11
16 7916
126 1066
470 1
366 47
368 32
588 5
466 16
396 16
170 392
375 38
567 3
439 5
660 3
782 1
127 898
174 301
184 308
342 49
496 14
9 10068
285 57
444 6
529 10
443 7
436 9
803 1
79 1933
95 1345
374 41
549 2
522 4
10 9851
309 105
391 13
498 1
45 4105
67 2442
301 74
343 61
484 15
609 3
554 3
437 7
468 5
548 5
885 2
906 1
92 1467
316 222
326 104
265 94
262 137
282 151
130 804
296 47
222 236
363 28
475 2
217 351
404 8
208 237
206 396
203 213
427 17
456 12
479 8
592 4
280 166
283 67
314 50
538 3
40 4186
162 472
181 303
762 6
364 25
523 7
738 2
573 3
31 5432
166 465
290 73
329 64
463 13
813 1
719 1
73 2227
365 61
568 1
564 2
132 781
200 231
357 39
1076 1
158 679
168 339
256 125
307 79
351 45
460 22
546 2
258 107
175 334
671 1
219 231
451 18
483 5
3 11778
44 4073
137 711
361 35
271 90
294 77
397 20
734 2
15 8469
230 187
161 537
344 52
201 229
300 74
526 4
576 1
469 9
555 2
111 1130
389 25
594 9
631 3
55 3303
78 2020
129 936
145 725
279 105
148 627
182 457
957 1
76 1938
81 2066
298 71
1223 1
434 13
914 1
1632 1
723 1
227 166
552 2
218 199
272 90
471 7
674 2
27 5995
94 1442
277 159
69 2188
202 242
324 57
248 138
648 4
938 3
440 10
746 1
799 1
577 1
169 451
352 36
598 2
156 537
394 30
777 1
633 2
209 243
74 2133
393 36
263 103
515 13
776 2
446 4
348 44
331 82
232 174
547 1
29 5695
51 3559
146 613
275 190
431 15
518 3
724 1
503 4
293 53
236 198
415 12
610 2
574 1
472 21
238 226
341 74
584 1
593 11
533 2
224 280
191 316
8 10593
149 710
173 336
735 1
413 25
93 1394
291 99
445 11
100 1387
328 39
462 9
406 11
545 6
832 1
165 424
430 21
1007 1
370 23
452 14
541 2
525 3
511 3
447 12
575 3
38 4646
43 4218
382 14
313 63
561 2
507 6
62 2636
215 288
178 427
861 2
478 4
796 3
1165 1
273 76
354 34
505 13
652 2
758 1
225 189
438 14
482 9
1683 1
124 1045
210 253
315 68
542 8
728 4
243 160
323 33
237 147
196 526
355 19
656 2
401 11
622 1
487 2
603 2
601 1
596 1
147 628
299 80
340 49
322 63
450 8
480 8
59 2847
155 503
428 9
245 163
251 129
360 31
491 6
485 2
305 97
499 5
449 13
25 5995
221 226
822 1
327 53
543 2
516 3
20 7042
356 45
211 226
473 3
595 4
572 2
193 411
160 513
318 47
951 2
628 1
150 556
295 65
407 24
136 880
119 1203
101 1239
52 3598
321 61
347 36
334 51
3299 1
83 1873
249 116
657 7
668 2
141 783
260 140
268 89
286 96
362 51
566 4
481 5
692 2
114 1085
172 441
1037 1
537 2
764 1
839 1
7 10940
102 1114
28 5600
65 2597
253 121
226 211
416 14
769 2
48 3567
289 74
400 20
350 47
560 3
1282 1
68 2305
229 203
246 165
255 144
956 4
644 5
49 3698
4 11806
97 1480
292 89
34 4860
378 36
1039 1
85 1789
198 259
583 3
369 16
372 16
195 299
381 39
333 75
385 13
22 6766
504 6
501 3
497 6
110 1196
140 804
274 113
353 43
392 12
338 39
453 16
190 338
414 15
335 52
459 9
630 1
425 4
619 1
231 243
188 286
367 35
495 12
617 2
264 116
399 16
250 107
419 20
614 5
109 1102
99 1320
213 248
510 9
519 5
247 136
1270 1
21 6500
133 926
179 484
176 436
242 139
204 268
490 9
384 30
189 374
420 7
641 3
600 1
785 1
670 1
524 2
1687 1
63 2609
47 3952
665 2
513 5
500 5
520 4
811 1
24 6682
96 1764
371 40
557 5
739 1
611 1
35 4934
187 362
122 995
159 430
395 41
711 2
826 1
66 2479
185 359
388 24
954 1
421 20
14 8266
33 5222
39 4463
332 65
297 54
288 73
698 1
458 28
486 7
579 4
5 11550
104 1236
233 151
432 21
287 81
492 7
411 12
502 3
562 2
424 22
412 10
721 1
651 1
205 348
284 96
241 137
422 11
442 5
604 6
634 3
521 4
531 4
269 72
346 55
493 4
41 4398
108 1144
143 754
60 3114
403 22
435 13
870 2
618 1
164 410
304 80
509 8
1 8864
61 2680
177 325
151 580
281 83
774 1
125 980
105 1327
142 703
13 8821
116 1090
2 11336
18 7388
320 74
240 199
339 61
235 225
244 144
330 92
426 13
571 3
759 1
653 1
163 435
183 352
433 8
508 6
464 13
765 1
623 9
536 3
64 2534
135 754
254 155
214 317
121 1086
270 144
528 5
57 3171
186 305
359 55
390 30
940 1
11 9464
82 2062
216 254
626 2
455 11
138 851
117 1037
123 878
