# degree frequency
824 46
551 106
1440 3
3109 1
9272 1
2456 1
14 37172
291 671
817 60
2627 1
20968 1
2966 1
212 1747
2956 1
503 142
974 16
856 35
1146 6
2694 1
2121 1
292 673
818 39
1555 5
1476 2
1672 1
1250 4
368 351
2182 2
4120 1
1787 1
528 142
2081 1
1218 8
13908 1
2171 3
2603 1
2705 1
697 62
1691 2
1349 7
2567 2
1518 4
4380 1
255 955
571 111
3298 2
2639 1
1871 1
1415 3
1377 2
2033 1
29 32385
808 43
1597 6
1582 3
3969 1
3431 2
3242 1
2786 1
104 8814
107 8330
1813 5
1425 3
3191 2
1091 3
4803 1
1770 1
358 384
607 107
929 18
983 9
1057 15
177 2784
2673 1
8366 1
1273 3
1859 1
5785 1
2119 1
1257 6
1085 6
1262 1
116 7058
122 6389
250 1089
476 154
968 24
1699 2
1348 4
26 34103
869 39
3624 1
886 30
1591 1
3014 1
3126 1
428 212
502 123
449 196
2830 1
4728 1
2468 1
23 35147
404 272
748 52
1212 5
1506 2
5101 1
2075 1
5368 1
9 37382
51 22310
1160 2
1239 5
1456 3
3456 1
2601 1
71 15690
448 209
1391 5
1229 6
2734 1
153 3898
992 20
1185 2
1328 3
9322 1
9901 1
1444 6
295 632
770 66
643 62
19670 1
14784 1
13354 1
1628 2
2923 1
557 111
392 264
2415 2
1463 4
1480 1
317 534
887 30
647 79
1135 5
1092 4
1472 2
1294 4
1656 1
617 91
621 84
6377 1
2439 1
1623 4
1032 3
1598 1
2214 1
630 87
1204 3
1048 8
4600 1
2258 2
4200 1
316 515
687 60
990 11
4932 1
3707 1
3613 1
1571 1
500 121
667 71
916 32
1174 4
1283 2
4716 1
5074 1
9693 1
485 153
773 40
473 164
2620 1
4395 1
2074 2
296 641
555 96
1149 7
1749 3
2210 1
270 833
986 13
2445 1
7544 1
5208 1
1552 1
2063 1
2049 1
840 42
489 133
1659 5
6961 1
3773 1
1760 1
204 1883
170 2986
854 45
1114 7
2472 2
3896 1
31 31302
389 277
391 277
596 97
799 47
1014 12
2062 1
1322 5
325 482
373 320
2376 3
6347 1
2213 1
7584 1
2481 1
80 13088
1208 10
1288 4
1276 6
1414 2
2448 1
1560 2
284 700
597 93
1004 13
5585 1
1226 4
7234 1
16703 1
633 88
4407 1
1467 2
1697 1
2811 1
1539 2
861 40
1242 2
11888 1
1785 1
313 536
2383 2
1011 10
1249 3
3390 2
2516 1
1274 3
1072 3
4973 1
1074 10
1290 5
2099 2
481 162
1624 4
2397 1
3440 1
795 43
1200 8
942 18
2652 1
3798 1
2895 2
1490 2
139 4826
319 520
981 10
2076 1
1196 5
10 37876
447 202
577 114
472 178
1261 3
2702 1
12482 1
2536 1
772 49
6282 1
1588 1
3084 1
731 62
1034 9
2212 3
1010 11
707 77
458 161
4278 1
2840 1
823 65
675 61
1746 2
3388 2
2356 1
1167 9
1468 1
2169 1
4 37457
40 27281
240 1235
536 121
430 217
1264 9
1036 8
4081 1
890 33
1610 2
2159 1
1878 1
3565 1
29657 1
1488 1
383 311
181 2526
410 252
2224 1
1924 2
1858 3
1100 5
1410 3
133 5419
146 4388
673 76
8393 1
63 18169
588 104
1109 9
1978 2
1018 3
3807 1
2441 1
1991 1
624 84
711 64
700 62
3219 1
1583 1
2040 1
1667 2
34 29697
408 262
432 233
1255 6
766 43
4983 1
6976 1
496 149
1731 2
1069 3
1807 1
2395 1
2113 2
1116 7
2555 1
6415 1
525 119
1614 7
2310 2
3 38376
484 169
932 22
2181 1
1751 1
159 3606
332 462
814 48
993 23
1094 11
2078 4
1522 2
3548 1
1399 9
1023 10
1596 1
6029 1
211 1761
201 1970
1758 3
3159 1
1722 2
1981 1
2883 1
487 156
649 100
2851 1
2462 2
8328 1
518 114
221 1527
2018 3
784 48
2583 1
10698 1
3994 1
1182 4
84 12304
696 76
330 463
1678 4
7460 1
8079 1
2355 1
1812 1
340 475
1081 6
1992 1
2152 1
227 1415
1165 2
899 25
2203 1
2300 1
3881 1
8594 1
3005 1
44 25474
224 1440
189 2306
982 22
1819 1
638 79
1384 4
5775 1
873 35
1282 3
1553 1
12318 1
1317 1
486 130
1876 1
33313 1
1344 4
65 17455
962 19
2187 2
5425 1
2021 1
2953 1
69 16237
359 339
582 93
4349 1
4525 1
2320 1
941 16
3115 1
1497 2
3157 1
5281 2
202 1926
740 61
769 63
2849 1
13423 1
1798 1
216 1638
1062 7
256 982
415 226
732 54
1838 3
1657 1
3693 1
307 585
130 5795
341 428
550 111
2763 1
1496 4
2046 1
5570 1
451 171
717 67
631 100
805 54
1648 3
2889 2
2107 1
2667 1
380 283
2842 1
1175 8
1111 5
4425 1
2718 1
3203 1
553 115
1575 1
1003 13
8549 1
2914 1
3030 1
3469 1
233 1299
2624 2
1133 8
1874 1
5095 1
10130 1
285 735
324 494
3195 2
4185 1
3566 2
3697 1
470 149
2051 1
6394 1
581 103
855 41
1308 5
2464 3
5617 1
3745 1
478 150
5370 1
4819 1
22 35256
512 128
4538 1
6058 1
2131 2
426 201
835 31
2132 1
1765 1
686 83
622 98
752 61
958 9
2061 2
3244 1
2418 1
4312 1
