# degree frequency
180 17
179 20
624 1
699 1
320 9
376 4
672 2
2088 1
399 2
392 3
1407 1
2866 2
947 1
73 161
85 93
529 1
131 42
280 7
417 2
716 3
143 30
862 1
2488 1
668 2
839 1
389 1
133 31
539 1
726 1
263 15
820 1
257 15
577 2
1455 1
513 1
68 168
205 12
953 2
1000 2
582 2
894 1
729 1
1132 2
568 2
1459 1
37 640
1144 1
7917 1
609 1
4364 1
57 293
321 5
230 19
1816 1
1297 1
524 2
381 6
1971 1
654 1
744 1
22 1887
40 472
634 2
1959 1
229 10
629 2
69 154
338 4
32 818
88 102
312 9
1315 1
972 2
348 2
987 1
144 36
772 1
795 1
485 2
130 43
309 7
627 1
484 2
1369 1
7 19340
158 25
141 42
514 3
489 2
715 1
18 2746
598 2
1008 2
401 2
516 2
688 1
1183 1
404 1
6 26149
181 20
286 7
210 9
259 9
425 2
739 1
1582 1
2956 1
1251 1
1808 1
1337 1
1107 1
267 10
721 2
313 6
596 2
628 1
29 1072
454 1
103 69
236 7
877 1
437 2
357 2
605 1
202 19
26 1291
1379 1
59 243
297 10
330 5
563 4
778 1
547 1
322 2
528 1
765 1
1533 1
1594 1
17 3147
502 1
814 1
379 4
473 4
1442 1
620 2
340 7
222 16
858 1
781 2
736 1
109 60
2113 1
1924 1
64 200
150 31
899 1
2818 1
356 4
1480 1
2325 1
981 1
99 85
468 5
1419 1
680 1
860 1
8 15372
243 13
1018 1
94 103
224 13
1486 2
1024 1
648 1
221 20
285 8
933 1
488 1
646 2
2188 1
66 188
101 84
134 38
96 85
95 74
183 22
470 2
1079 1
657 1
1045 1
892 1
329 3
988 1
2380 1
61 257
47 377
370 2
238 11
702 1
530 2
2628 1
2464 1
186 21
1003 1
532 1
97 78
149 33
725 3
1823 1
505 1
87 93
661 1
244 6
311 8
2263 1
383 3
360 6
457 2
855 1
748 3
460 3
384 3
90 84
83 124
195 13
201 11
231 10
503 4
13 5513
34 756
706 1
517 2
269 4
2015 1
465 3
275 8
1951 1
189 20
2164 1
307 9
1060 1
523 1
107 57
203 17
553 3
537 2
925 1
1004 1
1588 1
2753 1
42 473
441 4
104 72
400 4
751 3
928 2
458 2
2199 1
697 1
318 7
223 16
718 1
233 6
2837 1
76 124
359 3
870 1
887 1
1491 1
140 31
197 20
676 1
614 4
512 1
753 1
1108 1
282 7
462 6
31 891
154 27
119 43
1208 1
8843 1
924 1
200 13
743 1
207 21
2217 1
785 1
720 1
38 535
387 2
375 5
883 1
65 203
157 18
1198 1
2742 1
78 120
352 7
922 1
1020 1
1478 1
549 2
595 1
443 4
1097 1
1436 1
603 1
1718 1
1085 1
432 3
155 24
626 2
1158 1
67 163
170 20
1040 1
406 2
845 1
819 1
3707 1
1152 1
10 9600
81 117
240 10
1131 1
794 3
1421 1
1178 1
1089 1
1 602539
612 1
1622 1
4044 1
1883 1
1258 1
1012 2
11281 1
844 1
2020 1
2128 1
394 1
219 11
171 26
256 11
112 50
414 4
656 1
28 1077
685 3
1095 1
1341 1
1061 1
11 7889
14 4790
102 60
323 3
455 3
2126 1
45 379
1853 1
43 449
147 27
177 31
305 6
344 6
3114 1
162 29
145 44
413 2
1019 1
869 1
776 1
164 25
3035 1
1174 1
386 1
2067 1
337 7
534 1
354 1
597 2
1666 1
632 1
1815 2
1651 1
573 2
640 1
1130 1
431 6
1762 1
812 1
345 5
418 3
225 12
227 7
169 29
948 1
1103 1
803 1
89 80
325 3
2094 1
448 4
1495 1
584 2
508 3
459 1
368 5
156 24
659 2
2504 1
440 2
12 6625
54 266
571 2
916 1
964 1
187 21
165 21
1116 1
492 2
838 1
873 1
607 1
449 3
788 1
1150 1
108 60
371 6
704 1
175 19
2211 1
1145 1
611 1
2400 1
847 1
1869 1
423 3
864 1
235 12
1321 1
1965 1
510 1
380 3
445 3
284 4
663 1
2378 1
2252 1
3024 1
766 1
2535 1
291 6
591 1
1532 1
20 2285
167 25
447 3
996 1
771 1
428 3
575 1
115 55
128 35
483 2
741 1
2257 1
558 1
1884 1
117 54
110 56
281 5
409 2
535 1
1015 1
292 10
358 3
574 1
258 15
194 22
1246 1
475 1
308 4
5393 1
854 1
56 270
2355 1
349 2
3160 1
2444 1
299 11
435 2
302 5
21 2076
193 19
374 5
351 4
294 6
377 3
790 1
290 11
1730 1
1841 1
560 1
874 1
124 60
335 6
1064 2
212 16
1898 1
572 1
486 3
1945 1
5 36733
36 640
204 11
615 1
667 3
586 1
1416 1
1161 1
2992 1
268 11
310 6
1113 1
1333 1
332 8
817 2
494 4
521 1
113 42
633 2
841 1
480 2
184 23
557 2
74 142
660 2
515 3
1172 1
658 1
671 1
410 1
824 1
882 1
520 2
747 1
852 1
569 3
971 1
2135 1
385 3
592 1
525 2
192 15
476 3
815 1
1392 1
690 1
821 2
1023 1
1565 1
60 232
245 8
673 1
23 1700
52 287
51 342
316 9
255 5
1903 1
86 103
347 7
168 25
317 2
427 4
957 1
439 2
160 30
226 10
303 5
1101 1
1310 1
1511 1
511 2
856 2
9762 1
106 64
543 1
452 1
926 1
120 58
326 3
1648 1
579 1
75 141
196 20
393 5
1365 1
1571 1
232 17
283 6
395 3
784 2
319 6
206 13
213 12
121 42
287 6
390 5
990 1
273 10
234 8
871 2
1350 1
755 3
15 4175
33 823
336 4
1283 1
100 103
1244 1
429 2
80 121
132 38
625 1
246 10
760 1
710 2
10461 1
430 2
707 2
3100 1
478 2
114 53
228 13
324 6
550 3
472 4
30 954
536 3
2634 1
2800 1
692 1
709 1
4877 1
218 17
546 3
1013 2
289 3
761 1
270 12
466 4
1276 1
25 1507
136 32
295 9
581 1
46 396
53 282
365 3
239 11
50 321
450 3
421 2
422 1
737 1
601 2
276 13
1583 1
2334 1
681 1
1558 1
649 1
1037 1
127 30
1287 1
477 2
542 2
1157 1
1427 1
39 583
91 66
1086 1
153 23
497 2
872 1
293 6
1007 1
415 1
438 5
398 1
209 17
554 1
585 1
1043 1
55 244
490 2
272 6
151 30
364 2
1033 1
461 2
253 3
2077 1
1239 1
139 33
367 2
2591 1
82 125
602 3
689 3
749 2
469 1
1046 1
148 31
1630 1
555 1
2083 1
588 2
1761 1
70 168
142 34
730 2
274 9
705 2
1729 3
416 2
315 3
643 3
433 3
1481 1
271 10
618 3
1163 1
2 182237
355 5
178 19
373 4
2924 1
331 2
333 5
4352 1
191 16
2058 1
617 1
182 19
327 8
551 1
541 1
969 1
62 222
411 3
369 5
434 4
1212 1
932 1
125 36
249 4
500 6
717 1
28754 1
889 1
2720 1
71 152
77 124
208 18
242 9
897 1
248 5
217 13
540 2
419 2
350 5
199 13
756 1
768 1
2161 1
174 14
372 4
495 3
713 1
278 4
215 14
353 7
6102 1
1254 1
3 92860
185 13
19 2502
304 2
2197 1
464 1
173 15
126 35
556 1
301 4
1059 1
176 31
163 21
918 1
27 1256
122 40
610 1
342 4
402 3
442 3
396 4
526 2
146 37
188 19
804 3
471 2
314 7
346 2
493 1
16 3554
538 3
1230 1
4422 1
264 14
1288 1
237 11
407 3
1589 1
732 2
118 67
247 13
388 5
678 1
159 31
277 6
552 5
866 1
531 2
166 26
288 4
2374 1
48 364
719 1
366 4
3394 1
980 1
3621 1
251 13
172 30
2204 1
129 48
298 11
265 10
518 1
214 11
250 9
583 1
850 1
1586 1
1707 1
49 328
72 152
378 3
501 4
1229 1
262 5
123 39
363 2
684 2
135 38
211 21
474 3
834 1
1860 1
3506 1
408 2
334 4
216 12
2830 1
836 1
