# degree frequency
136 8
208 4
262 1
28 22
29 13
45 22
78 26
255 4
166 2
61 24
122 8
261 1
31 21
155 8
47 25
184 4
248 1
16 11
140 12
277 2
214 1
18 20
198 2
82 15
185 3
332 1
181 5
126 10
194 5
5 33
80 15
246 2
160 5
472 1
4 26
69 18
79 26
216 1
110 16
178 5
311 1
201 2
123 12
121 12
210 4
224 1
220 2
98 25
234 1
188 1
167 7
36 23
56 27
19 15
172 11
360 1
279 1
169 8
109 14
293 1
235 1
200 3
111 10
193 3
213 3
104 19
197 1
274 1
22 18
54 28
100 12
65 21
187 5
156 7
209 3
189 2
3 36
44 12
276 4
138 8
73 25
24 21
71 23
70 21
192 5
217 2
403 1
57 23
103 16
92 14
171 2
32 14
105 11
116 16
89 20
94 17
13 27
175 4
170 4
245 1
53 28
6 22
250 2
202 1
132 16
149 10
48 23
148 6
298 1
15 23
88 25
10 25
20 22
173 7
131 13
180 1
236 2
141 8
38 15
67 21
99 18
118 12
146 12
275 1
310 1
113 12
144 8
303 1
33 19
42 27
85 14
106 23
120 16
25 15
271 1
84 16
91 18
17 22
93 18
40 11
229 2
154 7
211 3
473 1
39 31
23 17
55 22
112 15
60 9
389 1
75 21
119 11
284 1
68 21
11 19
66 26
291 1
237 1
125 12
191 1
270 1
76 27
287 1
290 1
153 9
267 1
263 1
46 16
2 40
240 2
256 3
266 1
43 25
222 2
218 1
177 2
464 1
90 14
223 3
134 8
205 5
34 15
107 4
221 4
247 1
231 3
158 5
162 7
182 7
174 9
212 2
143 7
145 8
130 14
233 3
21 20
35 10
150 8
228 2
62 21
361 2
179 3
350 1
115 14
14 24
63 15
64 25
165 9
161 2
7 34
87 19
339 1
207 3
50 20
163 3
27 11
295 1
72 19
86 16
230 3
315 2
108 15
137 11
58 16
238 1
159 8
364 1
128 15
164 3
129 12
117 9
196 4
26 19
41 22
114 12
77 16
139 5
151 6
186 2
102 15
101 21
204 1
297 1
199 3
157 6
243 1
215 2
225 2
142 10
95 23
242 2
241 3
97 19
74 15
265 2
124 6
9 24
135 17
49 17
249 1
133 10
81 26
51 21
37 28
251 2
152 8
83 26
195 5
1 61
59 26
288 1
52 13
183 8
168 6
190 2
254 1
96 23
12 21
8 25
30 13
147 9
206 2
127 9
