# degree frequency
258 3
9458 1
130 6
7085 1
607 1
77 21
101 10
178 5
220 2
201 2
352 1
230 1
275 1
1797 1
170 2
249 2
312 1
45 61
69 23
296 1
210 1
37 111
223 1
158 2
86 15
319 1
412 1
738 1
89 16
239 2
114 3
228 1
780 1
1 5045
79 27
83 13
165 3
351 1
571 1
238 1
2958 1
120 5
3324 1
510 1
19 394
33 134
265 3
372 2
103 10
589 1
277 1
350 1
10 1070
41 79
193 4
137 2
328 1
309 2
154 5
136 8
325 1
226 1
554 1
209 4
576 1
29 156
75 26
347 1
36 91
43 78
70 34
302 1
785 1
218 2
138 2
1316 1
234 1
115 11
122 7
1055 1
208 1
398 1
196 1
403 1
57 39
66 36
146 4
364 1
51 49
182 3
200 1
769 1
191 1
3 3670
5 2476
100 13
145 3
213 1
307 1
2343 1
174 3
24 241
78 17
104 17
119 7
577 1
389 1
618 1
1347 1
188 2
67 21
225 3
400 1
1264 1
477 1
526 1
150 2
232 1
12 804
17 479
241 2
493 1
905 1
340 2
284 1
112 4
1571 1
665 1
184 1
183 1
748 1
52 41
159 1
111 6
1568 1
282 2
245 1
331 1
118 6
62 30
58 41
304 3
2468 1
236 2
392 1
942 1
42 71
63 34
98 10
292 1
171 2
177 2
11 912
20 330
68 24
40 96
367 1
356 1
167 4
16 536
81 21
253 2
385 1
262 2
1368 1
15 560
323 1
155 5
204 2
967 1
534 1
7 1711
85 16
108 6
1507 1
106 8
305 1
259 1
207 2
134 9
135 3
684 1
255 2
572 1
27 203
32 160
1404 1
489 3
989 1
14 590
46 74
38 85
441 1
49 56
31 156
93 9
47 57
87 16
295 1
1485 1
127 8
107 8
110 8
163 4
928 1
982 1
116 11
113 10
635 1
519 1
308 1
469 1
25 218
74 25
529 1
202 2
152 3
34 121
133 6
91 14
186 4
140 3
251 1
290 2
318 1
99 10
336 1
456 1
181 2
286 1
151 8
280 1
501 1
95 8
82 19
413 1
142 6
518 1
345 1
243 1
467 1
299 2
320 2
212 1
73 20
584 1
64 23
84 12
478 1
266 3
237 1
48 57
21 317
59 45
144 7
121 6
1924 1
294 2
160 4
94 20
187 3
359 1
61 35
23 257
60 38
92 14
1240 1
179 5
131 2
39 85
88 19
176 4
189 2
1267 1
153 4
125 4
54 35
90 15
132 11
288 2
53 48
72 18
203 3
667 1
80 12
327 1
123 4
166 1
2 4620
9 1267
143 3
76 17
613 1
18 407
124 6
206 1
523 1
141 1
1016 1
6 1990
30 142
405 1
149 1
729 1
13 715
164 3
604 1
129 6
558 1
199 1
235 1
431 1
26 246
126 8
50 46
315 1
162 2
128 5
28 177
56 45
148 7
324 1
378 2
317 1
544 1
388 1
4 2837
233 3
97 12
248 1
205 1
303 2
65 28
71 26
22 296
44 94
197 3
423 1
147 5
172 2
194 2
267 2
257 1
109 6
168 4
102 10
689 1
157 2
933 1
139 3
365 1
313 1
35 103
117 8
96 12
349 1
105 7
297 2
8 1375
215 3
55 41
211 2
