# degree frequency
662 7
549 8
1101 4
772 6
1108 2
610 8
1363 1
647 7
543 15
505 14
1667 1
742 4
1819 1
1408 2
105 391
1970 2
194 101
1049 2
1113 2
7 137106
892 3
641 4
809 1
550 7
219 76
166 166
506 18
782 5
1247 2
1504 1
485 14
1651 2
42 3929
481 12
1762 1
883 2
1458 2
75 894
203 93
739 10
885 2
1012 3
1179 3
963 4
1055 1
233 57
177 127
451 13
694 7
478 13
1111 4
2422 1
611 5
94 529
298 33
1313 2
687 5
978 2
1258 2
2104 1
843 1
272 30
1409 1
1254 1
1114 1
1187 1
780 2
130 235
243 50
1542 2
996 2
999 2
1568 1
1270 1
791 7
989 1
33 7196
273 56
384 34
358 29
969 2
1648 1
856 4
998 2
53 2254
373 20
620 6
507 17
994 3
2557 1
2018 1
1253 1
820 6
911 5
2 425315
19 25200
158 154
1692 1
628 10
1546 1
577 12
2291 1
352 16
1259 2
255 60
1372 2
677 5
1678 1
381 27
733 6
404 20
678 7
1233 3
1220 1
878 5
714 4
51 2421
331 44
108 343
95 499
497 15
294 30
343 37
1403 1
56 1995
715 4
4174 1
1308 1
1112 1
1659 1
1444 1
1130 1
1154 1
1919 1
2010 1
433 21
412 19
541 13
2250 1
1561 1
1900 1
141 189
576 11
1209 1
1193 1
281 53
196 99
972 4
768 6
979 5
794 3
2180 1
946 3
744 10
136 215
159 144
282 36
798 5
335 37
1020 1
675 4
372 23
1121 2
2134 1
438 25
599 5
2945 1
2267 1
1904 1
605 13
639 4
2600 1
1118 2
2420 1
1491 1
858 5
423 21
597 5
1182 1
1522 1
1191 1
409 12
763 5
2742 1
1008 3
910 3
1795 1
1950 1
1909 1
363 26
664 3
376 18
4312 1
660 2
1183 2
1797 1
1235 1
398 16
135 209
774 5
2042 1
706 6
1473 2
1459 1
1603 1
231 67
629 5
1222 2
1293 1
1870 1
1532 1
1186 1
1380 1
123 254
240 47
476 16
949 2
1551 2
1269 1
1657 1
339 34
1041 4
345 27
902 3
2281 1
