# degree frequency
688 1
4741 1
1856 1
156 21
145 35
171 10
254 5
2655 1
283 3
2747 2
598 1
15 16463
96 95
243 6
393 2
641 1
574 1
2860 1
57 367
80 141
420 3
785 1
386 1
453 1
819 1
400 1
594 1
337 1
372 1
338 1
358 1
47 660
959 1
2768 1
9 34090
74 203
28 2510
143 33
150 34
194 14
4208 1
3875 1
29 2322
148 30
169 13
261 8
279 8
237 3
434 1
635 1
2411 1
2028 1
23 4988
404 2
229 9
775 1
41 876
77 144
601 3
4184 1
246 4
492 1
1005 1
4011 1
21 8473
70 197
193 15
137 30
343 4
1956 1
2337 1
1393 1
1 153407
43 802
158 18
872 1
462 2
746 1
348 1
396 1
401 2
394 2
3324 1
547 1
882 1
12 23373
19 12514
20 11846
61 306
64 261
1327 2
257 4
349 1
54 456
182 12
214 11
263 2
276 4
2057 1
265 4
416 2
1980 1
856 1
369 1
869 1
510 1
226 3
230 3
6332 1
3041 1
69 199
133 19
209 13
533 1
829 1
383 2
2122 1
796 1
328 2
4621 1
102 69
126 45
370 2
4220 1
5 50060
157 24
335 2
305 4
278 6
597 1
73 201
292 9
378 2
608 1
329 1
2567 1
354 2
163 18
124 40
307 2
250 4
100 113
526 2
191 13
379 3
586 1
468 5
5192 1
1583 1
62 266
252 7
202 13
2869 1
726 1
94 110
101 81
130 27
3115 1
364 4
916 1
445 1
397 1
291 6
439 1
142 41
463 1
149 18
479 3
633 2
480 5
255 7
4567 1
1177 1
408 1
92 103
299 4
123 52
692 1
318 3
699 1
203 13
658 1
197 13
432 2
297 3
424 2
2440 1
771 2
3402 1
221 8
605 1
274 5
317 3
662 2
914 1
220 8
1889 1
945 1
595 1
532 1
233 8
215 14
332 5
412 2
2879 1
418 1
387 2
3 75140
170 9
701 1
1857 1
1147 1
1059 1
2 107620
18 12078
286 1
121 43
371 5
268 3
490 1
1700 1
125 38
248 4
334 1
415 4
3303 1
459 3
4222 1
2771 1
529 1
602 3
253 3
660 1
68 200
247 6
155 14
5356 1
264 7
1127 1
679 1
1125 1
34 1374
183 23
172 16
469 3
543 1
3945 1
385 2
2155 1
2097 1
779 1
1123 1
52 447
192 10
99 77
377 7
173 12
1289 1
405 1
39 1090
79 167
241 9
1262 1
577 3
773 4
857 1
311 1
267 11
228 10
431 1
3162 1
350 2
1117 1
353 1
256 1
154 13
560 1
272 5
553 1
3052 1
503 1
63 268
1438 1
495 1
457 1
