# degree frequency
6 15300
40 453
118 1
1737 2
1228 1
430 1
514 1
142 3
18 1233
198 9
133 4
201 3
2349 1
407 1
262 1
98 9
589 9
282 2
161 3
268 1
428 1
1739 1
279 1
203 3
397 1
177 2
10721 1
382 1
109 7
83 33
536 1
234 1
73 44
53 48
235 3
210 2
467 2
7623 1
72 621
2647 1
617 1
214 5
184 4
750 1
240 1
191 1
4 19794
29 271
92 21
252 5
111 6
34 789
103 11
60 35
446 1
209 4
402 1
242 3
45 77
157 154
130 5
250 5
912 1
341 1
50 83
881 7
168 3
267 3
135 4
642 1
414 1
520 1
692 2
325 1
1894 1
275 3
3573 2
178 2
9 5466
91 16
272 2
86 15
350 1
163 1
99 11
1202 1
699 1
484 1
59 73
81 25
283 3
304 2
148 8
228 1
1431 1
300 2
3 21441
616 3
160 4
286 1
2168 1
113 9
55 39
380 1
934 1
505 1
253 2
23 438
140 2
314 1
215 3
534 1
4316 1
256 1
89 15
346 2
167 10
233 2
1222 1
1 161115
58 521
1145 1
102 15
158 2
545 1
372 1
425 1
146 1
176 3
117 3
337 9
136 3
128 4
530 2
17 1191
16 1776
182 2
885 7
93 11
74 19
619 10
150 4
14 2296
20 973
66 33
190 3
416 1
301 1
321 1
7026 1
47 110
399 1
559 1
429 3
475 1
651 1
1148 1
294 1
64 41
88 13
605 1
131 2
560 1
751 1
413 1
965 1
13 3194
127 4
874 1
552 2
1038 1
229 1
43 95
124 6
526 1
95 25
535 1
2660 1
1479 1
547 1
35 490
615 1
149 5
1233 1
97 9
752 1
3578 2
129 3
24 451
244 3
114 13
226 3
468 1
563 2
906 1
401 1
46 449
1269 1
21 632
189 5
78 23
759 1
151 1
205 4
22 999
42 759
115 13
70 42
38 129
322 2
389 2
238 1
80 10
79 14
307 1
538 1
230 1
27 717
590 4
223 2
783 1
844 1
25 441
26 337
557 2
288 2
398 1
312 1
1558 1
367 1
96 15
882 7
204 6
435 1
297 2
371 1
68 29
110 10
232 2
166 2
164 1
145 4
533 2
139 13
82 16
193 4
280 1
175 2
500 1
1897 1
156 1202
44 122
147 6
218 2
278 1
159 2
287 1
71 28
1230 2
181 4
183 3
383 1
179 4
529 5
637 1
31 529
258 4
219 2
550 1
1224 1
251 1
49 70
41 146
105 8
52 67
524 2
880 1
470 1
542 1
37 738
75 20
247 2
582 1
458 1
125 6
1195 5
384 1
162 3
185 2
614 1
295 3
311 1
106 10
271 1
220 3
126 8
30 970
56 503
90 22
202 3
212 1
365 1
259 2
2 34566
254 3
3564 2
700 1
498 4
469 1
951 1
315 1
10 4584
688 2
173 9
1102 1
375 1
7 7990
76 18
84 11
817 9
194 2
221 2
1027 1
361 1
54 495
19 1137
293 1
62 43
119 11
211 4
1675 1
206 5
39 162
108 7
155 3
378 1
519 1
138 5
180 3
1241 1
32 206
107 13
231 2
1033 1
502 2
694 1
137 2
496 1
63 28
208 1
1197 2
269 1
396 2
966 1
171 1
195 1
65 39
141 6
1149 1
683 1
4282 1
386 1
169 2
51 47
67 39
1200 2
132 6
104 7
270 4
760 1
870 1
170 3
69 33
455 1
324 2
477 1
1186 1
200 2
352 1
94 26
187 3
525 1
266 1
11 3497
48 474
85 18
100 28
249 1
1979 1
1239 1
116 12
264 2
292 1
243 5
199 4
273 1
207 1
12 3019
36 313
153 3
3449 1
586 3
227 2
61 141
174 7
347 1
265 1
120 9
57 48
87 44
101 7
528 3
488 1
2108 1
415 1
5 9994
8 6945
453 10
192 2
134 4
296 2
434 1
628 1
15 1756
33 459
77 18
121 9
501 2
122 5
865 1
1556 1
28 777
358 2
112 4
225 1
284 1
239 1
366 1
