# degree frequency
24 1069
1258 1
31 834
349 3
342 3
220 4
570 1
421 1
310 1
318 2
177 2
743 1
1061 1
100 67
95 36
184 2
261 1
18967 1
77 73
825 1
172 1
27 861
102 19
153 6
266 3
682 1
155 5
1202 1
1885 2
2687 1
1681 1
454 2
2641 1
30 847
344 2
871 2
3225 1
432 2
737 1
25 3541
21 1204
227 9
85 47
127 15
112 25
331 5
191 14
69 76
86 33
375 29
132 9
701 2
283 4
267 1
1780 1
26 936
18 1941
1217 1
826 1
2623 2
10337 1
104 28
236 4
178 1
238 1
668 1
8345 1
753 1
128 20
541 2
1222 3
453 3
358 2
708 1
142 5
152 8
291 2
876 2
694 1
468 3
2979 1
380 1
535 1
99 82
52 290
146 9
687 1
161 4
669 3
531 1
23 1538
1 13991
580 3
684 3
652 1
262 4
472 1
214 4
169 5
166 2
353 2
269 2
500 2
22 1157
324 3
397 2
1758 1
1242 1
338 2
1074 1
314 2
1176 1
1321 1
2093 1
1225 1
6 34523
10 5579
123 17
481 1
1239 1
334 1
354 1
39 444
386 11
80 73
632 1
1788 1
981 1
766 1
204 2
231 4
175 2
280 2
3 29496
115 15
106 22
98 35
1068 1
780 1
716 1
38 1609
553 5
2652 1
391 2
445 2
82 41
465 3
226 9
212 10
221 7
374 2
561 1
880 1
1899 1
2523 1
289 2
1771 1
1803 1
42 274
243 4
612 1
428 4
745 2
322 2
3576 1
1251 1
325 5
478 1
1211 2
1165 1
66 96
144 10
205 10
368 1
890 1
67 110
330 1
109 19
660 1
690 3
486 1
200 8
2092 1
584 1
1114 1
232 12
143 6
518 1
645 1
250 3
288 1
1021 3
277 2
302 1
2245 1
583 1
298 1
120 16
752 2
812 1
624 1
165 7
92 35
160 8
130 8
725 1
233 1
1844 1
340 3
504 1
1075 1
2171 1
223 3
259 3
2683 1
732 1
1099 1
150 13
381 1
778 1
438 1
1887 1
663 1
53 235
237 5
405 1
284 3
126 8
208 3
15 2869
186 1
419 8
1404 1
914 1
240 4
662 1
18931 1
224 5
658 3
137 8
683 2
661 2
229 3
48 364
696 3
157 21
319 4
136 8
332 3
664 1
91 44
693 5
460 1
225 1
1405 1
1792 1
38625 1
173 3
1047 1
19459 1
392 1
264 1
809 1
534 1
1184 1
94 27
8346 11
96 40
168 8
707 2
1084 1
290 1
1274 1
1198 3
771 3
2416 1
383 1
199 8
213 7
639 1
56 228
197 12
348 1
522 1
15285 1
681 1
869 1
2 30965
84 35
496 1
19385 1
449 1
70 78
887 1
846 1
333 5
2385 3
124 15
147 4
2976 1
83 45
59 110
489 1
113 20
2170 1
195 6
655 1
408 1
207 1
898 1
257 3
623 1
581 5
4907 1
90 35
2090 5
787 2
477 1
842 1
18990 1
667 1
114 29
272 1
187 1
246 2
376 1
1034 1
1768 3
303 1
1252 2
385 8
3608 1
297 1
313 1
19 4728
251 10
133 8
680 1
434 1
19004 1
526 1
78 60
18983 1
1182 2
702 1
1254 2
274 3
989 1
37 1915
118 8
163 4
201 10
254 1
626 2
6709 1
3098 1
7 17460
81 47
749 1
911 1
539 1
263 1
1194 3
111 11
631 2
413 1
273 2
1163 1
2300 1
1118 1
49 686
912 1
710 3
176 5
323 1
14 2462
76 67
181 2
93 31
159 6
292 1
452 2
74 54
239 4
247 4
141 11
149 10
198 5
18982 1
647 1
524 1
270 3
316 2
1441 1
1213 1
4 26101
33 916
320 2
249 2
285 1
362 1
525 1
1016 1
1892 1
13 2908
51 945
58 118
110 24
196 5
326 1
107 19
108 26
131 12
2953 1
2955 2
65 126
55 179
202 9
377 1
930 1
420 2
507 2
97 30
712 2
347 1
218 1
121 16
282 2
435 1
439 1
1186 1
629 1
79 66
286 2
276 6
695 2
43 324
339 9
650 2
145 7
306 2
190 25
103 26
281 1
1390 1
865 1
1096 1
885 2
117 18
3182 1
688 4
253 1
17 2610
12 7090
63 175
122 22
520 1
378 3
21923 1
125 9
424 2
1578 1
905 1
1156 1
162 2
1774 1
73 63
345 2
305 1
457 1
57 176
89 52
328 5
418 2
216 5
799 1
34 1204
41 330
71 87
203 3
217 1
