graph,vertices,edges,density,count_of_wcc,v_largest_wcc,count_of_scc,v_largest_scc,diameter_ds,percentile_ds_500,percentile_ds_1000,diameter_s_500,diameter_s_1000,percentile_s_500,percentile_s_1000,triangles,avg_clustering,global_clustering,avg_clustering_wcc,min_deg,avg_deg,max_deg,auc_random,auc_degree
CA-AstroPh,18772,396160,0.001124,290,0.953708,290,0.953708,13.94,5.63,5.46,4.94,5.66,4.78,5.28,1351441,0.6306,0.3179,0.6328,0.0,21.1,504.0,63.908,21.497750000000003
ca-coauthors-dblp,540487,15245730,0.000104,1,1.0,540487,2e-06,22.8,7.22,7.06,4.8,5.34,4.48,5.12,444095058,0.8019,0.6562,0.8019,1.0,56.41,3299.0,71.43075,45.98649999999999
CA-GrQc,5242,28980,0.001055,355,0.793209,355,0.793209,16.52,8.0,8.0,7.5,8.42,7.12,7.92,48260,0.5296,0.6297,0.5569,0.0,5.53,81.0,35.112249999999996,2.0380000000000003
com-orkut.ungraph,3072441,117185083,2.5e-05,1,1.0,3072441,0.0,8.7,5.0,5.0,3.65,3.85,3.5,3.6,627584181,0.1666,0.0413,0.1666,1.0,76.28,33313.0,77.70174999999999,54.87925
com-youtube.ungraph,1134890,2987624,5e-06,1,1.0,1134890,1e-06,24.0,7.0,7.0,4.02,4.14,3.38,3.2,3056386,0.0808,0.0062,0.0808,1.0,5.27,28754.0,45.924499999999995,3.1439760000000003
Email-EuAll,265214,420045,1e-05,15836,0.847738,231000,0.128964,14.0,5.0,5.0,2.78,3.16,2.62,3.0,267313,0.0671,0.0041,0.0791,0.0,2.75,7636.0,7.149800000000001,0.09066356
musae_git_edges,37700,0,0.000407,1,1.0,37700,2.7e-05,10.64,4.0,4.0,3.5,3.9,2.8,3.06,523810,0.1675,0.0124,0.1675,1.0,15.33,9458.0,65.7445,9.118
soc-wiki-Vote,889,2916,0.007383,1,1.0,889,0.001125,13.0,6.0,6.0,6.98,15.0,6.16,8.58,2119,0.1528,0.1273,0.1528,1.0,6.56,102.0,57.59325,11.21125
vk,3215720,0,3e-06,24337,0.983362,3215720,0.0,18.8,7.0,7.0,4.7,5.3,4.3,5.1,108030337,0.0494,0.1095,0.0499,1.0,10.83,6503.0,60.08925000000001,12.474499999999999
web-Google,875713,5105039,1.1e-05,2746,0.977263,371764,0.49653,23.96,8.63,8.64,4.58,4.98,3.58,4.02,13391903,0.5143,0.0552,0.519,1.0,9.87,6332.0,53.00000000000001,5.0912500000000005
web-NotreDame,325729,1497134,2.1e-05,1,1.0,203609,0.165684,46.0,9.99,10.0,4.8,5.02,3.86,3.8,8910005,0.2346,0.0874,0.2346,1.0,6.69,10721.0,38.471250000000005,0.19549999999999998
web-Stanford,281903,2312497,5e-05,365,0.905507,29914,0.533985,164.0,10.06,10.0,3.98,4.34,3.08,3.24,11329473,0.5976,0.0086,0.6189,1.0,14.14,38625.0,44.8905,4.047000000000001
Wiki-Vote,7115,103689,0.003981,24,0.993113,5816,0.182713,6.78,4.0,4.0,4.12,4.3,3.98,4.2,608389,0.1409,0.1255,0.1419,1.0,28.32,1065.0,62.43875,8.474499999999999
